"Bacteroides"	"Prevotella"	"Parabacteroides"	"Faecalibacterium"	"Unclassified_Lachnospiraceae"	"Lactobacillus"	"Enterococcus"	"Alistipes"	"Lachnospiracea_incertae_sedis"	"Clostridium_XI"	"Blautia"	"Erysipelotrichaceae_incertae_sedis"	"Roseburia"	"Escherichia_Shigella"	"Unclassified_Clostridiales"	"Unclassified_Bacteroidales"	"Unclassified_Ruminococcaceae"	"Sutterella"	"Akkermansia"	"Unclassified_Bacteria"	"Megamonas"	"Ruminococcus"	"Clostridium_XlVa"	"Unclassified_Lactobacillales"	"Veillonella"	"Unclassified_Firmicutes"	"Unclassified_Enterobacteriaceae"	"Dorea"	"Clostridium_sensu_stricto"	"Unclassified_Burkholderiales"	"Clostridium_IV"	"Gemmiger"	"Clostridium_XVIII"	"Flavonifractor"	"Streptococcus"	"Turicibacter"	"Odoribacter"	"Parasutterella"	"other"
8933	3	0	119	523	0	0	113	270	10	367	14	69	0	89	2	139	0	0	10	0	55	76	0	1	71	0	11	135	0	33	86	120	63	5	1	0	160	71
22205	9	3	878	114	0	0	1150	167	28	247	32	14	1	16	75	224	0	97	29	0	6	11	0	12	7	47	2	1	0	41	10	12	19	11	0	0	0	418
19596	3	6	201	237	0	0	1268	26	0	71	14	85	0	38	82	495	1	2	51	0	95	64	0	0	19	0	16	0	0	33	26	2	18	2	0	0	0	141
962	37	68	9	25	0	0	556	11	92	6	0	6	1	18	1	22	9	68	18	0	18	2	0	0	13	0	10	63	0	16	0	4	19	0	25	39	0	122
105	49	7	177	163	14	2	0	50	92	125	1018	55	7	64	5	18	3	0	15	0	5	20	392	0	35	2	16	0	0	0	2	4	7	41	0	0	0	148
1965	1	0	1	71	0	0	0	30	4	3	11	5	35	18	8	26	0	0	36	0	33	6	0	0	19	1	0	0	18	32	0	4	6	3	0	0	0	81
480	5	1	776	228	0	1	0	117	36	86	5	202	0	19	1	34	0	0	3	0	4	8	0	4	17	0	13	0	0	0	28	1	13	2	0	0	32	45
13891	4	1	25	177	10	1158	4	11	0	67	7	43	0	42	408	17	0	0	59	0	2	17	0	1	14	0	13	0	0	1	69	18	2	1	0	0	14	55
674	0	2	0	1	0	1713	0	0	0	0	15	1	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2247	394	61	56	1379	9	6	0	1251	1296	1078	2	124	0	151	8	14	0	0	19	0	54	44	2	3	43	42	22	0	0	15	15	1	3	54	297	0	0	149
444	0	1295	0	10	0	1	0	0	113	0	26	0	444	2	16	1	0	0	2	0	0	0	0	7	0	159	0	1	0	0	0	4	0	1	0	0	0	16
19127	2	5	39	22	0	68	0	10	8	0	4	7	0	0	26	25	0	0	4	0	11	2	0	0	0	0	2	37	0	5	2	1	1	1	0	0	0	53
1564	0	102	100	93	0	0	47	23	24	10	21	11	0	22	9	68	16	544	19	0	4	26	0	1	9	0	39	60	0	31	37	35	5	15	7	4	0	159
0	0	0	0	0	5193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1
3082	0	0	37	21	0	11	0	4	1	23	13	7	0	20	10	4	6	0	6	0	11	20	0	0	2	0	0	1	0	2	1	0	14	0	0	0	0	21
744	74	10	1207	911	18	1	0	144	1997	485	323	168	1181	201	11	21	1	0	30	1	37	280	1	159	18	91	406	17	0	7	11	95	9	169	13	1	0	337
4595	6411	123	300	790	0	0	0	405	20	225	4	59	0	140	27	8	468	0	24	0	21	56	0	0	38	0	8	8	0	0	34	7	1	1	56	0	0	75
60	0	2168	46	120	0	0	0	183	37	1	27	125	0	6	13	29	0	0	6	0	14	1	0	0	1	62	3	0	0	0	0	3	27	0	0	0	0	132
2411	1	20	25	9	0	0	78	9	5	3	0	2	0	2	3	29	0	0	7	0	119	2	0	0	2	0	1	0	0	24	0	1	0	0	1	0	0	24
160	4064	14	363	117	5	0	0	171	0	12	0	33	3	20	511	2	38	0	1	0	0	7	17	272	156	0	7	1	0	1	1	6	6	0	0	0	0	186
2402	0	3	51	3	0	1	0	0	0	1	0	1	0	2	15	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
12532	2	3	136	183	1	0	3021	286	69	41	12	36	0	20	37	77	0	0	40	0	112	14	1	0	14	4	12	1	1004	207	0	2	16	3	1	0	0	75
12497	2	584	1281	852	0	0	347	237	18	212	5	411	0	113	75	50	355	0	47	0	61	52	0	1	7	0	8	0	0	42	216	43	10	5	0	45	0	178
1199	6930	14	170	212	0	0	7	117	33	30	2	28	1	372	226	76	0	0	46	0	324	15	0	2	1	0	26	0	0	3	4	0	1	5	0	68	0	306
