".record.id","DietStatus","feature","index"
"SM1","before.diet","NE_2",0.0528805700808218
"SM11","after.diet","NE_2",0.0452326803643937
"SM12","before.diet","NE_2",0.0535895874180027
"SM13","before.diet","NE_2",0.0910390890024648
"SM14","before.diet","NE_2",0.129460605541246
"SM17","before.diet","NE_2",0.0442157432051163
"SM19","after.diet","NE_2",0.144241465162254
"SM2","before.diet","NE_2",0.0573094266488461
"SM23","after.diet","NE_2",0.201436152716464
"SM3","after.diet","NE_2",0.190862526918057
"SM33","before.diet","NE_2",0.148051808613194
"SM38","after.diet","NE_2",0.076959890061764
"SM41","before.diet","NE_2",0.0787037845647411
"SM45","after.diet","NE_2",0.425765762152392
"SM49","before.diet","NE_2",0.0452058206894614
"SM52","before.diet","NE_2",0.191976660280305
"SM53","after.diet","NE_2",0.111367125393394
"SM56","after.diet","NE_2",0.0806044839111881
"SM57","before.diet","NE_2",0.0490239714391308
"SM58","after.diet","NE_2",0.0799609167519131
"SM62","before.diet","NE_2",0.0643878642982304
"SM64","after.diet","NE_2",0.0725239985660017
"SM77","after.diet","NE_2",0.0664578994898102
"SM79","after.diet","NE_2",0.0663506184553489
"SM8","before.diet","NE_2",0.0492500515141397
"SM83","before.diet","NE_2",0.0528668104269536
"SM84","before.diet","NE_2",0.100587636489375
"SM86","after.diet","NE_2",0.146627445678529
"SM87","before.diet","NE_2",0.136604886464444
"SM88","after.diet","NE_2",0.0557783772947564
"SM9","after.diet","NE_2",0.101842642867484
"SM90","after.diet","NE_2",0.114147199767237
"SM96","before.diet","NE_2",0.071331805171792
