".record.id","DietStatus","feature","index"
"SM1","before.diet","N_0",31.4625
"SM11","after.diet","N_0",30.2925
"SM12","before.diet","N_0",25.0175
"SM13","before.diet","N_0",43.5875
"SM14","before.diet","N_0",41.375
"SM17","before.diet","N_0",34.1575
"SM19","after.diet","N_0",34
"SM2","before.diet","N_0",23.69
"SM23","after.diet","N_0",8.58
"SM3","after.diet","N_0",35.0325
"SM33","before.diet","N_0",20.7225
"SM38","after.diet","N_0",13.82
"SM41","before.diet","N_0",43.91
"SM45","after.diet","N_0",2.3625
"SM49","before.diet","N_0",25.775
"SM52","before.diet","N_0",48.605
"SM53","after.diet","N_0",27.555
"SM56","after.diet","N_0",24.3525
"SM57","before.diet","N_0",27
"SM58","after.diet","N_0",28.1675
"SM62","before.diet","N_0",16.73
"SM64","after.diet","N_0",26.835
"SM77","after.diet","N_0",30.325
"SM79","after.diet","N_0",31.8125
"SM8","before.diet","N_0",33.7675
"SM83","before.diet","N_0",28.1225
"SM84","before.diet","N_0",33.88
"SM86","after.diet","N_0",33.205
"SM87","before.diet","N_0",21.455
"SM88","after.diet","N_0",28.215
"SM9","after.diet","N_0",23.22
"SM90","after.diet","N_0",43.82
"SM96","before.diet","N_0",33.19
"SM1","before.diet","N_0.25",17.5225087897236
"SM11","after.diet","N_0.25",14.1387748603484
"SM12","before.diet","N_0.25",11.7302441886278
"SM13","before.diet","N_0.25",27.8280556383229
"SM14","before.diet","N_0.25",28.3568990306695
"SM17","before.diet","N_0.25",18.2135491697985
"SM19","after.diet","N_0.25",21.5549298387493
"SM2","before.diet","N_0.25",10.6331640522635
"SM23","after.diet","N_0.25",3.9584902970152
"SM3","after.diet","N_0.25",22.0157721903068
"SM33","before.diet","N_0.25",11.1648482893284
"SM38","after.diet","N_0.25",4.95578015926683
"SM41","before.diet","N_0.25",28.2254473805213
"SM45","after.diet","N_0.25",1.38557007599022
"SM49","before.diet","N_0.25",11.5291242934036
"SM52","before.diet","N_0.25",32.3390387662067
"SM53","after.diet","N_0.25",15.5283385696213
"SM56","after.diet","N_0.25",14.9058043062434
"SM57","before.diet","N_0.25",12.4682978660271
"SM58","after.diet","N_0.25",16.5073351406888
"SM62","before.diet","N_0.25",5.97239880428599
"SM64","after.diet","N_0.25",13.5139745553698
"SM77","after.diet","N_0.25",17.415064296956
"SM79","after.diet","N_0.25",17.6547526174237
"SM8","before.diet","N_0.25",18.5038888456372
"SM83","before.diet","N_0.25",14.6571026919069
"SM84","before.diet","N_0.25",19.9230805962953
"SM86","after.diet","N_0.25",20.3542962729469
"SM87","before.diet","N_0.25",12.3034228576637
"SM88","after.diet","N_0.25",14.9689696510043
"SM9","after.diet","N_0.25",12.5699269253005
"SM90","after.diet","N_0.25",29.1113886457999
"SM96","before.diet","N_0.25",18.8999663533608
"SM1","before.diet","N_0.5",9.20514655084081
"SM11","after.diet","N_0.5",6.15522078893124
"SM12","before.diet","N_0.5",5.25551769570554
"SM13","before.diet","N_0.5",17.5859413760103
"SM14","before.diet","N_0.5",19.6979688644516
"SM17","before.diet","N_0.5",8.86292920853808
"SM19","after.diet","N_0.5",14.1558430442743
"SM2","before.diet","N_0.5",4.7504261914302
"SM23","after.diet","N_0.5",2.53040249361285
"SM3","after.diet","N_0.5",14.8369020574845
"SM33","before.diet","N_0.5",6.94690087645254
"SM38","after.diet","N_0.5",2.0403568365302
"SM41","before.diet","N_0.5",17.6928063268788
"SM45","after.diet","N_0.5",1.11738349282384
"SM49","before.diet","N_0.5",4.64452674256941
"SM52","before.diet","N_0.5",22.7545740459384
"SM53","after.diet","N_0.5",9.13510483309387
"SM56","after.diet","N_0.5",9.00481577643145
"SM57","before.diet","N_0.5",5.50776022553744
"SM58","after.diet","N_0.5",9.74020121643486
"SM62","before.diet","N_0.5",2.40163981497249
"SM64","after.diet","N_0.5",6.93116162470525
"SM77","after.diet","N_0.5",9.77144339274446
"SM79","after.diet","N_0.5",9.72992207556712
"SM8","before.diet","N_0.5",9.40256615969276
"SM83","before.diet","N_0.5",7.24401687742457
"SM84","before.diet","N_0.5",11.9407447136752
"SM86","after.diet","N_0.5",13.1830663118522
"SM87","before.diet","N_0.5",7.91692470695989
"SM88","after.diet","N_0.5",7.63718507792755
"SM9","after.diet","N_0.5",7.29859555820704
"SM90","after.diet","N_0.5",19.7653205635229
"SM96","before.diet","N_0.5",10.7539152815349
"SM1","before.diet","N_1",3.17936033807779
"SM11","after.diet","N_1",2.09560305508559
"SM12","before.diet","N_1",1.95801265475075
"SM13","before.diet","N_1",7.96608064599011
"SM14","before.diet","N_1",10.6616217935479
"SM17","before.diet","N_1",2.76982487914905
"SM19","after.diet","N_1",7.87154451914023
"SM2","before.diet","N_1",1.92006381513142
"SM23","after.diet","N_1",1.92916889774202
"SM3","after.diet","N_1",9.20038326298886
"SM33","before.diet","N_1",4.28079914351403
"SM38","after.diet","N_1",1.13414825096148
"SM41","before.diet","N_1",7.58229606750022
"SM45","after.diet","N_1",1.01982953553255
