"feature","DietStatus","Drug.Before.Diet","mean","sd","median","incidence"
"N_0","after.diet","DrugBefore_NO",27.2304166666667,13.9815011190382,29.99,1
"N_0","after.diet","DrugBefore_YES",25.82125,8.38553170728541,27.885,1
"N_0","before.diet","DrugBefore_NO",37.3691666666667,8.92765768086269,37.57125,1
"N_0","before.diet","DrugBefore_YES",28.0211363636364,7.58468303256935,27,1
"N_0.25","after.diet","DrugBefore_NO",16.4639838739921,9.27164095502096,17.0810438790562,1
"N_0.25","after.diet","DrugBefore_YES",14.1755265159079,5.80196101668573,14.9373869786239,1
"N_0.25","before.diet","DrugBefore_NO",22.7601687810768,8.10978350193156,23.3640109958418,1
"N_0.25","before.diet","DrugBefore_YES",14.8827295388711,5.90280212809911,12.4682978660271,1
"N_0.5","after.diet","DrugBefore_NO",10.301210991805,6.2996356753769,9.73506164600099,1
"N_0.5","after.diet","DrugBefore_YES",8.12256591933135,4.06891216019979,8.3210004271795,1
"N_0.5","before.diet","DrugBefore_NO",14.157565319843,6.91444155422248,14.1699283287726,1
"N_0.5","before.diet","DrugBefore_YES",7.96535579450498,4.1194113109831,7.24401687742457,1
"N_1","after.diet","DrugBefore_NO",5.20004814500252,3.33674070173883,4.11547870245709,1
"N_1","after.diet","DrugBefore_YES",3.99630840130794,2.54061996878847,3.43307610208767,1
"N_1","before.diet","DrugBefore_NO",7.07325916721931,4.74427260338785,6.26848423604377,1
"N_1","before.diet","DrugBefore_YES",3.40840330540419,1.96185812643706,2.76982487914905,1
"N_2","after.diet","DrugBefore_NO",2.93173739022223,1.63236666261402,2.3012070343026,1
"N_2","after.diet","DrugBefore_YES",2.61189123667924,1.79521800590179,1.94470540077975,1
"N_2","before.diet","DrugBefore_NO",3.99984878070215,3.01619893758288,3.16158842361607,1
"N_2","before.diet","DrugBefore_YES",2.03341918359631,0.956840725479214,1.50685247280149,1
"N_4","after.diet","DrugBefore_NO",2.22748002187827,1.04816496568571,1.83502276399789,1
"N_4","after.diet","DrugBefore_YES",2.18836365004513,1.42618495415805,1.59107849706447,1
"N_4","before.diet","DrugBefore_NO",2.98505131505336,2.13895821868183,2.40139708861841,1
"N_4","before.diet","DrugBefore_YES",1.6832323507148,0.648342653867124,1.31787785167525,1
"N_8","after.diet","DrugBefore_NO",1.98806081009997,0.833978750581523,1.68583070959624,1
"N_8","after.diet","DrugBefore_YES",1.99004204973665,1.17806010916966,1.48897302773925,1
"N_8","before.diet","DrugBefore_NO",2.58050992297451,1.67826562164706,2.14814158007638,1
"N_8","before.diet","DrugBefore_YES",1.56243550428112,0.531005784296218,1.26692217879053,1
"N_Inf","after.diet","DrugBefore_NO",1.81129075915961,0.668352318170589,1.57913025907795,1
"N_Inf","after.diet","DrugBefore_YES",1.80504391603031,0.921598911639907,1.4166819579901,1
"N_Inf","before.diet","DrugBefore_NO",2.25754059813836,1.28001211070868,1.9488611661412,1
"N_Inf","before.diet","DrugBefore_YES",1.470366278841,0.436881753212988,1.23000207848575,1
