"feature","DietStatus","mean","sd","median","incidence"
"NE_0.25","after.diet",0.55597212060095,0.0776066588142178,0.571208518472241,1
"NE_0.25","before.diet",0.544101074937997,0.0877073934376703,0.548158768376385,1
"NE_0.5","after.diet",0.334002253891341,0.0880926995805432,0.329540758796683,1
"NE_0.5","before.diet",0.303755318735365,0.0997313516500463,0.291968935294843,1
"NE_1","after.diet",0.17985037743688,0.0894133446371853,0.158731096458052,1
"NE_1","before.diet",0.139607166561056,0.0718522383766602,0.100969907244809,1
"NE_2","after.diet",0.123759949096937,0.092871283561473,0.0912235633893361,1
"NE_2","before.diet",0.0833227130498979,0.0437172266627298,0.0643878642982304,1
"NE_4","after.diet",0.106512841613164,0.0937373888539141,0.0756416108465153,1
"NE_4","before.diet",0.0668436754660272,0.030096852707698,0.0551511366442948,1
"NE_8","after.diet",0.0994614576413457,0.0936538897467372,0.0695693223669041,1
"NE_8","before.diet",0.060745308216968,0.0238633152037136,0.0506193783001008,1
"NE_Inf","after.diet",0.0934733648323059,0.0937236881789615,0.0641752384006436,1
"NE_Inf","before.diet",0.0560304116601945,0.0190802128035277,0.0474600288347627,1
