"feature","DietStatus","Drug.Before.Diet","mean","sd","median","incidence"
"NE_0.25","after.diet","DrugBefore_NO",0.595370186877527,0.046745190065088,0.588082266477972,1
"NE_0.25","after.diet","DrugBefore_YES",0.532333280835004,0.0846661057728718,0.547774479461949,1
"NE_0.25","before.diet","DrugBefore_NO",0.59276286211728,0.0883838524591215,0.604239826245914,1
"NE_0.25","before.diet","DrugBefore_YES",0.517558281931116,0.0787815506860252,0.533439182552114,1
"NE_0.5","after.diet","DrugBefore_NO",0.38526760805384,0.0716556376641075,0.382625322978966,1
"NE_0.5","after.diet","DrugBefore_YES",0.303243041393841,0.0853112555987164,0.311425604653705,1
"NE_0.5","before.diet","DrugBefore_NO",0.358724584513343,0.109670192703969,0.364019103959655,1
"NE_0.5","before.diet","DrugBefore_YES",0.273772082856468,0.0842526345819581,0.259729449698854,1
"NE_1","after.diet","DrugBefore_NO",0.223194727297443,0.11154181485703,0.195755648262251,1
"NE_1","after.diet","DrugBefore_YES",0.153843767520541,0.066397353610003,0.143479812103442,1
"NE_1","before.diet","DrugBefore_NO",0.174273815279414,0.0863870457014741,0.160459033597436,1
"NE_1","before.diet","DrugBefore_YES",0.120698085441953,0.0584350512911646,0.0908747905669741,1
"NE_2","after.diet","DrugBefore_NO",0.155384767526105,0.135213304461255,0.10799492131736,1
"NE_2","after.diet","DrugBefore_YES",0.104785058039436,0.0561364423012416,0.0787821869864761,1
"NE_2","before.diet","DrugBefore_NO",0.0983946063597989,0.054059920879922,0.0811854470871284,1
"NE_2","before.diet","DrugBefore_YES",0.0751016803354064,0.0372294887288025,0.0535895874180027,1
"NE_4","after.diet","DrugBefore_NO",0.134697174158614,0.143510539208867,0.07886608417559,1
"NE_4","after.diet","DrugBefore_YES",0.0896022420858942,0.0485320894383155,0.0706179029131246,1
"NE_4","before.diet","DrugBefore_NO",0.0743538803586101,0.0367420541092301,0.0617962692163597,1
"NE_4","before.diet","DrugBefore_YES",0.0627472000700729,0.0268704758111505,0.0489744753020619,1
"NE_8","after.diet","DrugBefore_NO",0.127601013227094,0.146399934529472,0.0695693223669041,1
"NE_8","after.diet","DrugBefore_YES",0.0825777242898971,0.0432042304629141,0.068416454072328,1
"NE_8","before.diet","DrugBefore_NO",0.0650657611606751,0.0275726696122551,0.0555448506908484,1
"NE_8","before.diet","DrugBefore_YES",0.0583886975204004,0.0226648997723265,0.0476579080302795,1
"NE_Inf","after.diet","DrugBefore_NO",0.122332031359057,0.14858838315761,0.0631711819669748,1
"NE_Inf","after.diet","DrugBefore_YES",0.0761581649162551,0.0385491181013166,0.0668524991402556,1
"NE_Inf","before.diet","DrugBefore_NO",0.0577336305676893,0.0196790865613912,0.0516279336895426,1
"NE_Inf","before.diet","DrugBefore_YES",0.0551013831651974,0.0196510567891959,0.0453689507578687,1
