".record.id","DietStatus","feature","index"
"SM1","before.diet","N_0.25",17.5225087897236
"SM11","after.diet","N_0.25",14.1387748603484
"SM12","before.diet","N_0.25",11.7302441886278
"SM13","before.diet","N_0.25",27.8280556383229
"SM14","before.diet","N_0.25",28.3568990306695
"SM17","before.diet","N_0.25",18.2135491697985
"SM19","after.diet","N_0.25",21.5549298387493
"SM2","before.diet","N_0.25",10.6331640522635
"SM23","after.diet","N_0.25",3.9584902970152
"SM3","after.diet","N_0.25",22.0157721903068
"SM33","before.diet","N_0.25",11.1648482893284
"SM38","after.diet","N_0.25",4.95578015926683
"SM41","before.diet","N_0.25",28.2254473805213
"SM45","after.diet","N_0.25",1.38557007599022
"SM49","before.diet","N_0.25",11.5291242934036
"SM52","before.diet","N_0.25",32.3390387662067
"SM53","after.diet","N_0.25",15.5283385696213
"SM56","after.diet","N_0.25",14.9058043062434
"SM57","before.diet","N_0.25",12.4682978660271
"SM58","after.diet","N_0.25",16.5073351406888
"SM62","before.diet","N_0.25",5.97239880428599
"SM64","after.diet","N_0.25",13.5139745553698
"SM77","after.diet","N_0.25",17.415064296956
"SM79","after.diet","N_0.25",17.6547526174237
"SM8","before.diet","N_0.25",18.5038888456372
"SM83","before.diet","N_0.25",14.6571026919069
"SM84","before.diet","N_0.25",19.9230805962953
"SM86","after.diet","N_0.25",20.3542962729469
"SM87","before.diet","N_0.25",12.3034228576637
"SM88","after.diet","N_0.25",14.9689696510043
"SM9","after.diet","N_0.25",12.5699269253005
"SM90","after.diet","N_0.25",29.1113886457999
"SM96","before.diet","N_0.25",18.8999663533608
