".record.id","DietStatus","feature","index"
"SM1","before.diet","N_4",1.41001488108281
"SM11","after.diet","N_4",1.22642320362998
"SM12","before.diet","N_4",1.20910263455328
"SM13","before.diet","N_4",2.97896648747442
"SM14","before.diet","N_4",3.5346276154375
"SM17","before.diet","N_4",1.31787785167525
"SM19","after.diet","N_4",3.72976582688777
"SM2","before.diet","N_4",1.22217441872438
"SM23","after.diet","N_4",1.56418264052424
"SM3","after.diet","N_4",5.53436401302745
"SM33","before.diet","N_4",2.43607138694911
"SM38","after.diet","N_4",1.02337955340003
"SM41","before.diet","N_4",2.48475813112187
"SM45","after.diet","N_4",1.00376037960051
"SM49","before.diet","N_4",1.10297161840617
"SM52","before.diet","N_4",6.93975588197162
"SM53","after.diet","N_4",2.59473669523464
"SM56","after.diet","N_4",1.58593425382559
"SM57","before.diet","N_4",1.2079440660952
"SM58","after.diet","N_4",1.74418963283973
"SM62","before.diet","N_4",1.04950837471221
"SM64","after.diet","N_4",1.61475608982608
"SM77","after.diet","N_4",1.59622274030334
"SM79","after.diet","N_4",1.67873290164364
"SM8","before.diet","N_4",1.41095579694983
"SM83","before.diet","N_4",1.30370478514967
"SM84","before.diet","N_4",2.75106890440344
"SM86","after.diet","N_4",3.78351205302845
"SM87","before.diet","N_4",2.24253322371375
"SM88","after.diet","N_4",1.3601252576515
"SM9","after.diet","N_4",1.92585589515606
"SM90","after.diet","N_4",3.28257549514192
"SM96","before.diet","N_4",1.8238276897624
