"feature","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis",-0.0330025939256349,0.0459855664139565,-0.0125937898938481,0.214285714285714
"Unclassified_Bacteria",0.00197535558970114,0.00370354201439399,0.00152514246598196,0.642857142857143
"Erysipelotrichaceae_incertae_sedis",0.0300384397954061,0.100178450481324,0.00108421192630326,0.642857142857143
"Clostridium_XlVa",0.00361655356280779,0.00790092060625344,0.00204717430715215,0.714285714285714
"Clostridium_XVIII",0.00155979962496481,0.00528115176114643,0.000568605722624667,0.714285714285714
"Bacteroides",0.147576434239896,0.267079373085535,0.0260538163603812,0.714285714285714
"Clostridium_XI",0.011588058407049,0.0725784985024769,0.00204076313482556,0.642857142857143
"Roseburia",-0.0145134905656337,0.0285981248201629,-0.00335433013018109,0.428571428571429
"Clostridium_IV",0.00110119639284639,0.00324584137932366,0.000168283421548965,0.571428571428571
"Unclassified_Clostridiales",-0.00387902218162022,0.0124030723655205,-0.00150662234304336,0.428571428571429
"Unclassified_Lachnospiraceae",-0.0279447440767472,0.0723488806543144,-0.00759930060677525,0.5
"Prevotella",-0.0780440203346568,0.261887264569784,-0.000107707515585925,0.357142857142857
"Flavonifractor",0.000271811869719898,0.00379111352649589,0.000964842119307125,0.642857142857143
"Blautia",-0.0100092149936583,0.0447041639691785,-0.00191401043355492,0.357142857142857
"Faecalibacterium",-0.0407818406581128,0.13068723860717,-0.000856653684334239,0.5
"Escherichia_Shigella",0.0228620136588301,0.0551499590689806,0,0.428571428571429
"Unclassified_Bacteroidales",-0.000140517788142015,0.0299029879354087,0.000915288943670023,0.571428571428571
"Unclassified_Ruminococcaceae",0.00107721849037579,0.0115080017496853,0.00426943941956652,0.571428571428571
"Ruminococcus",0.000193745498854311,0.0149939065922692,-0.000698678197133969,0.428571428571429
"Unclassified_Firmicutes",-0.00271436909943171,0.0080470001495499,0.000122109188586577,0.5
"Dorea",0.00348074672236871,0.0116870257617076,-0.000171910845829188,0.428571428571429
"Clostridium_sensu_stricto",0.0034173409741987,0.0111099121853019,0,0.428571428571429
"Parabacteroides",-0.012138139850338,0.0568060593442547,-2.1865276329882e-05,0.357142857142857
"Veillonella",-0.00676008481807972,0.0218977831685667,-4.19576998718708e-05,0.285714285714286
"Streptococcus",0.00174215659372356,0.00701212101878334,-2.5691090318569e-05,0.428571428571429
"Alistipes",0.00545079072734116,0.073763971316466,0.000123984872574773,0.5
"Gemmiger",-0.00120857247454247,0.00305935424919238,0,0.285714285714286
"Enterococcus",-0.0421186600343538,0.179204427826529,0,0.285714285714286
"Sutterella",0.00160541822386507,0.0122604751075336,0,0.357142857142857
"Turicibacter",-0.00162948887794589,0.00972863882962773,0,0.357142857142857
"Lactobacillus",0.000406279520291685,0.00133662854425667,0,0.214285714285714
"Unclassified_Enterobacteriaceae",0.00330424171693241,0.0116327617784216,0,0.285714285714286
"Akkermansia",0.0141585882022059,0.0466967704736967,0,0.214285714285714
"Unclassified_Lactobacillales",0.0103544624819951,0.0387927068009737,0,0.142857142857143
"Megamonas",7.78173780229604e-06,2.9116596729899e-05,0,0.0714285714285714
"Odoribacter",0.00126760577496538,0.00525709692235562,0,0.142857142857143
"Unclassified_Burkholderiales",-0.00345160473268994,0.0129426864353966,0,0.0714285714285714
"Parasutterella",-0.000876901096284362,0.00378570409912198,0,0.0714285714285714
