"feature","Drug.Before.Diet","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis","DrugBefore_NO",-0.0213050484291746,0.0250162504589086,-0.01801206702635,0.25
"Lachnospiracea_incertae_sedis","DrugBefore_YES",-0.037681612124219,0.0525431456389242,-0.0111833934143785,0.2
"Unclassified_Bacteria","DrugBefore_NO",0.00220338219015788,0.00275707211284453,0.00226469112271544,0.75
"Unclassified_Bacteria","DrugBefore_YES",0.00188414494951844,0.00415284891027025,0.00129204455047575,0.6
"Erysipelotrichaceae_incertae_sedis","DrugBefore_NO",0.102298852575197,0.183594706963605,0.0172867429802324,0.5
"Erysipelotrichaceae_incertae_sedis","DrugBefore_YES",0.0011342746834897,0.00337571930045523,0.00108421192630326,0.7
"Clostridium_XlVa","DrugBefore_NO",0.00791318960860114,0.0146310932420726,0.00263459114385158,0.5
"Clostridium_XlVa","DrugBefore_YES",0.00189789914449046,0.00270658414963366,0.00204717430715215,0.8
"Clostridium_XVIII","DrugBefore_NO",3.25445405770101e-05,0.00890948811484161,0.000597937504554641,0.75
"Clostridium_XVIII","DrugBefore_YES",0.00217070165871992,0.0035178647294165,0.000477211276391276,0.7
"Bacteroides","DrugBefore_NO",0.139031448880885,0.2813244948955,0.0164332715328544,0.75
"Bacteroides","DrugBefore_YES",0.1509944283835,0.276780856281942,0.0625396955068692,0.7
"Clostridium_XI","DrugBefore_NO",0.0663202060796023,0.100507242798838,0.0346437631514077,0.75
"Clostridium_XI","DrugBefore_YES",-0.0103048006619722,0.04876106994625,0.00116236240198336,0.6
"Roseburia","DrugBefore_NO",-0.0203231511787048,0.0500683327465702,-0.00308999646694088,0.5
"Roseburia","DrugBefore_YES",-0.0121896263204053,0.018020234780387,-0.00335433013018109,0.4
"Clostridium_IV","DrugBefore_NO",-0.000803509237044905,0.00187135729477735,-4.99885560667373e-05,0.5
"Clostridium_IV","DrugBefore_YES",0.0018630786448029,0.00343412817980077,0.000310308973072466,0.6
"Unclassified_Clostridiales","DrugBefore_NO",-0.00214423640301245,0.0158079931134026,-0.00753309517899476,0.25
"Unclassified_Clostridiales","DrugBefore_YES",-0.00457293649306333,0.0117063117686778,-0.000433132307234323,0.5
"Unclassified_Lachnospiraceae","DrugBefore_NO",-1.33063558406567e-05,0.0765514491620308,0.00797320956196976,0.5
"Unclassified_Lachnospiraceae","DrugBefore_YES",-0.0391173191651098,0.0715676747445067,-0.00759930060677525,0.5
"Prevotella","DrugBefore_NO",-0.304390438540938,0.356698671275543,-0.30081844245058,0.25
"Prevotella","DrugBefore_YES",0.0124945469478558,0.157409324658782,-5.13821805693102e-05,0.4
"Flavonifractor","DrugBefore_NO",0.000772236815371247,0.00507056200315789,0.0012806616096212,0.75
"Flavonifractor","DrugBefore_YES",7.1641891459359e-05,0.00346905150709089,0.000554903324136819,0.6
"Blautia","DrugBefore_NO",-0.00441373261666934,0.0624724240688491,0.00486842870855829,0.5
"Blautia","DrugBefore_YES",-0.0122474079444538,0.0395758982691522,-0.00191401043355492,0.3
"Faecalibacterium","DrugBefore_NO",-0.0596988765134032,0.201423195489917,-0.00151835764430019,0.5
"Faecalibacterium","DrugBefore_YES",-0.0332150263159966,0.104515342591296,-0.000856653684334239,0.5
"Escherichia_Shigella","DrugBefore_NO",0.0327060115823629,0.0636781754490876,0.00130551399658438,0.75
"Escherichia_Shigella","DrugBefore_YES",0.018924414489417,0.054601932882754,0,0.3
"Unclassified_Bacteroidales","DrugBefore_NO",-0.0202401736018954,0.0445618741350996,-0.0125045753334895,0.25
"Unclassified_Bacteroidales","DrugBefore_YES",0.00789934453735935,0.0194502000569392,0.00117413844006301,0.7
"Unclassified_Ruminococcaceae","DrugBefore_NO",-0.00954063704180103,0.0133707748815545,-0.00991444686222918,0.25
