"feature","Drug.Before.Diet","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis","DrugBefore_NO",-2.27916773246254,2.99460253967997,-1.63030673653449,0.25
"Lachnospiracea_incertae_sedis","DrugBefore_YES",-2.46897980756791,18.6967548771393,-1.66828376972605,0.2
"Unclassified_Bacteria","DrugBefore_NO",1.63602633839331,2.45118190222864,0.937033217854861,0.75
"Unclassified_Bacteria","DrugBefore_YES",4.14028828498128,11.5573814038008,0.650067641344107,0.6
"Erysipelotrichaceae_incertae_sedis","DrugBefore_NO",3.72726556383582,32.152655526572,2.53757993728474,0.5
"Erysipelotrichaceae_incertae_sedis","DrugBefore_YES",-5.54553189910698,16.0777065565531,1.19521410350324,0.7
"Clostridium_XlVa","DrugBefore_NO",1.02397969169659,3.01184327740003,0.765822288613446,0.5
"Clostridium_XlVa","DrugBefore_YES",-2.20003061671975,11.2891237300025,0.89026879209907,0.8
"Clostridium_XVIII","DrugBefore_NO",9.44645067525723,19.6289854887547,0.955009104791549,0.75
"Clostridium_XVIII","DrugBefore_YES",-2.15951465991677,19.1288374061484,1.49874933230598,0.7
"Bacteroides","DrugBefore_NO",0.493943668769305,1.0028014082718,0.342286019662179,0.75
"Bacteroides","DrugBefore_YES",1.34194154237802,2.64019270120242,0.184496460908848,0.7
"Clostridium_XI","DrugBefore_NO",2.44095677541332,32.748179664744,4.34990015410306,0.75
"Clostridium_XI","DrugBefore_YES",-3.51663691540935,21.8113250888654,0.995576422384706,0.6
"Roseburia","DrugBefore_NO",-0.902997718851857,3.85334545921864,-0.610829754707598,0.5
"Roseburia","DrugBefore_YES",-11.6779917872699,19.0473392838505,-1.42389196945078,0.4
"Clostridium_IV","DrugBefore_NO",-0.148748897888797,26.2059659817812,0.395281446061714,0.5
"Clostridium_IV","DrugBefore_YES",7.35499792259394,15.2118677346286,0.715471170719883,0.6
"Unclassified_Clostridiales","DrugBefore_NO",-0.16487157177073,2.0889954899152,-0.903441344766741,0.25
"Unclassified_Clostridiales","DrugBefore_YES",3.11607981905487,12.4572418414034,-0.0772247597143441,0.5
"Unclassified_Lachnospiraceae","DrugBefore_NO",-0.267430145034181,2.67482271422209,-0.031421132330439,0.5
"Unclassified_Lachnospiraceae","DrugBefore_YES",-4.50983613743801,13.2226404915844,0.0438215448835191,0.5
"Prevotella","DrugBefore_NO",-3.26579078538042,3.42925014667588,-4.14010027074688,0.25
"Prevotella","DrugBefore_YES",-6.10442872641651,21.0878734690215,-0.657156043809857,0.4
"Flavonifractor","DrugBefore_NO",0.302879762188221,4.01281878692034,1.74369312484665,0.75
"Flavonifractor","DrugBefore_YES",-2.17833845121642,20.5707111017812,0.798488676109463,0.6
"Blautia","DrugBefore_NO",0.153750708191727,4.93719558539154,0.454560863419868,0.5
"Blautia","DrugBefore_YES",2.64840863182647,20.7255010810632,-1.24058526973596,0.3
"Faecalibacterium","DrugBefore_NO",-1.64624023146591,4.58359918750652,-0.868466186322576,0.5
"Faecalibacterium","DrugBefore_YES",-0.477050379464077,18.5053379867905,-0.0391882867802464,0.5
"Escherichia_Shigella","DrugBefore_NO",11.7577283513222,15.6178268062748,6.40202632992892,0.75
"Escherichia_Shigella","DrugBefore_YES",5.50690715960256,26.4355889750855,0,0.3
"Unclassified_Bacteroidales","DrugBefore_NO",-1.80693580523255,5.12597139751229,-3.77573094212168,0.25
"Unclassified_Bacteroidales","DrugBefore_YES",4.53801914422607,11.0527568181959,0.626605495562955,0.7
"Unclassified_Ruminococcaceae","DrugBefore_NO",-0.756148531072622,3.57957874993312,-1.759811755845,0.25
"Unclassified_Ruminococcaceae","DrugBefore_YES",4.51960310383983,12.2394159940446,1.33374041856695,0.7
"Ruminococcus","DrugBefore_NO",7.00478870198472,19.5644707747736,-2.19599178470718,0.25
"Ruminococcus","DrugBefore_YES",0.436477231378564,18.6213628913334,0.164893927193523,0.5
"Unclassified_Firmicutes","DrugBefore_NO",-0.545330908542528,3.377790137434,-1.66289676974154,0.25
"Unclassified_Firmicutes","DrugBefore_YES",0.187341229080726,23.5102787507419,2.05433309098187,0.6
"Dorea","DrugBefore_NO",0.816325094419069,3.09276653588327,1.02311255562687,0.5
"Dorea","DrugBefore_YES",-13.1578297510148,24.6968811757839,-16.2166297781551,0.4
"Clostridium_sensu_stricto","DrugBefore_NO",10.9298202724199,34.2938504987774,18.1397422766552,0.5
"Clostridium_sensu_stricto","DrugBefore_YES",1.22930683889755,29.3428706256859,0,0.4
"Parabacteroides","DrugBefore_NO",-1.28502914248427,1.47434833846012,-1.23258622470892,0.25
"Parabacteroides","DrugBefore_YES",-5.66826419778329,14.5307499839629,0,0.4
