"rownames","Prob(selection)"
"Lachnospiracea_incertae_sedis",0.81
"Clostridium_XlVa",0.5075
"Bacteroides",0.3975
"Clostridium_XVIII",0.30375
"Escherichia_Shigella",0.2625
"Unclassified_Bacteria",0.25625
"Roseburia",0.24
"Clostridium_sensu_stricto",0.235
"Sutterella",0.185
"Unclassified_Ruminococcaceae",0.17875
"Prevotella",0.155
"Enterococcus",0.14375
"Erysipelotrichaceae_incertae_sedis",0.14125
"Gemmiger",0.14
"Flavonifractor",0.1375
"Odoribacter",0.11875
"Megamonas",0.11
"Alistipes",0.1025
"Lactobacillus",0.0975
"Unclassified_Bacteroidales",0.0925
"Unclassified_Firmicutes",0.09125
"Unclassified_Lactobacillales",0.08875
"Clostridium_IV",0.08875
"Unclassified_Burkholderiales",0.0875
"Clostridium_XI",0.08625
"Parabacteroides",0.06875
"Ruminococcus",0.06125
"Akkermansia",0.05125
"Blautia",0.04
"Parasutterella",0.0375
"Unclassified_Clostridiales",0.035
"Faecalibacterium",0.03
"Veillonella",0.03
"Streptococcus",0.02625
"Turicibacter",0.0225
"Unclassified_Enterobacteriaceae",0.02125
"Dorea",0.02125
"Unclassified_Lachnospiraceae",0.00625
