".record.id","DietStatus","feature","index"
"SM1","before.diet","NE_0.25",0.675224533850809
"SM11","after.diet","NE_0.25",0.669112769187967
"SM12","before.diet","NE_0.25",0.669734740992448
"SM13","before.diet","NE_0.25",0.665405614657905
"SM14","before.diet","NE_0.25",0.658779886844551
"SM17","before.diet","NE_0.25",0.641943043085596
"SM19","after.diet","NE_0.25",0.701305197171702
"SM2","before.diet","NE_0.25",0.592830696852799
"SM23","after.diet","NE_0.25",0.45368657317603
"SM3","after.diet","NE_0.25",0.71838580696897
"SM33","before.diet","NE_0.25",0.549580699357978
"SM38","after.diet","NE_0.25",0.623518518272462
"SM41","before.diet","NE_0.25",0.712579159785212
"SM45","after.diet","NE_0.25",0.596980756859316
"SM49","before.diet","NE_0.25",0.620601313782673
"SM52","before.diet","NE_0.25",0.680771766254891
"SM53","after.diet","NE_0.25",0.662614421191227
"SM56","after.diet","NE_0.25",0.584998341084386
"SM57","before.diet","NE_0.25",0.582124984031504
"SM58","after.diet","NE_0.25",0.584348861930232
"SM62","before.diet","NE_0.25",0.592782144500283
"SM64","after.diet","NE_0.25",0.617932532820336
"SM77","after.diet","NE_0.25",0.702345130798503
"SM79","after.diet","NE_0.25",0.653329238823851
"SM8","before.diet","NE_0.25",0.660043229514339
"SM83","before.diet","NE_0.25",0.613473786133803
"SM84","before.diet","NE_0.25",0.73711235110427
"SM86","after.diet","NE_0.25",0.685658617460103
"SM87","before.diet","NE_0.25",0.689050105712028
"SM88","after.diet","NE_0.25",0.65779170825855
"SM9","after.diet","NE_0.25",0.679516056722832
"SM90","after.diet","NE_0.25",0.73489488690738
"SM96","before.diet","NE_0.25",0.638894152378685
