".record.id","DietStatus","feature","index"
"SM1","before.diet","NE_0.5",0.435532735439326
"SM11","after.diet","NE_0.5",0.433476813131413
"SM12","before.diet","NE_0.5",0.430130319564808
"SM13","before.diet","NE_0.5",0.419087407892793
"SM14","before.diet","NE_0.5",0.391738016778004
"SM17","before.diet","NE_0.5",0.387489246922703
"SM19","after.diet","NE_0.5",0.468911802669463
"SM2","before.diet","NE_0.5",0.321108055078042
"SM23","after.diet","NE_0.5",0.212071713136576
"SM3","after.diet","NE_0.5",0.502170547008115
"SM33","before.diet","NE_0.5",0.30127929495436
"SM38","after.diet","NE_0.5",0.390815225631578
"SM41","before.diet","NE_0.5",0.488753164414248
"SM45","after.diet","NE_0.5",0.484864739584524
"SM49","before.diet","NE_0.5",0.369942305955558
"SM52","before.diet","NE_0.5",0.442168480589315
"SM53","after.diet","NE_0.5",0.42416651915322
"SM56","after.diet","NE_0.5",0.304825883675977
"SM57","before.diet","NE_0.5",0.30962780057324
"SM58","after.diet","NE_0.5",0.322318493937968
"SM62","before.diet","NE_0.5",0.353379080313454
"SM64","after.diet","NE_0.5",0.357560274816832
"SM77","after.diet","NE_0.5",0.474679706012306
"SM79","after.diet","NE_0.5",0.400366906427121
"SM8","before.diet","NE_0.5",0.426811452639267
"SM83","before.diet","NE_0.5",0.354581852599301
"SM84","before.diet","NE_0.5",0.541437448571944
"SM86","after.diet","NE_0.5",0.447685790723136
"SM87","before.diet","NE_0.5",0.474938512453557
"SM88","after.diet","NE_0.5",0.411896455587033
"SM9","after.diet","NE_0.5",0.463640905030027
"SM90","after.diet","NE_0.5",0.528583129442479
"SM96","before.diet","NE_0.5",0.369601615382178
