"feature","DietStatus","mean","sd","median","incidence"
"N_0","after.diet",124.5746875,58.4221598573335,131.7875,1
"N_0","before.diet",129.203088235294,40.7005919560128,135.2125,1
"N_0.25","after.diet",83.5987637767242,43.5629052958357,86.4904522435554,1
"N_0.25","before.diet",85.0521678625165,31.1674789392144,89.766619312879,1
"N_0.5","after.diet",54.2909038080005,31.335027769893,55.1815085678294,1
"N_0.5","before.diet",53.6407930522428,22.9878474465411,52.469900810249,1
"N_1","after.diet",24.5726437481941,16.2981529124458,24.9692446656733,1
"N_1","before.diet",23.0913536566472,12.7811919943938,20.3751239505713,1
"N_2","after.diet",10.3162185241072,7.16172590623851,9.67831262937342,1
"N_2","before.diet",9.93499987089007,5.91586453591156,8.85445849962413,1
"N_4","after.diet",6.10305256929346,3.89612600500908,5.40162883614644,1
"N_4","before.diet",6.30508599946976,3.34259530244311,5.77290471439773,1
"N_8","after.diet",4.78351882192572,2.75223959539229,4.26973912348138,1
"N_8","before.diet",5.15624484558383,2.55032850654133,4.85081438400468,1
"N_Inf","after.diet",3.89639178056227,1.99557605682007,3.56114736472586,1
"N_Inf","before.diet",4.26629387457856,1.92037524922606,4.17184660928215,1
