"feature","DietStatus","Drug.Before.Diet","mean","sd","median","incidence"
"N_0","after.diet","DrugBefore_NO",123.58625,72.655242562908,138.8175,1
"N_0","after.diet","DrugBefore_YES",125.16775,52.4869621833471,131.7875,1
"N_0","before.diet","DrugBefore_NO",140.744583333333,31.5853154732016,143.71625,1
"N_0","before.diet","DrugBefore_YES",122.907727272727,45.0347269123305,133.0325,1
"N_0.25","after.diet","DrugBefore_NO",84.3494021014726,53.1691899715739,92.2015288477331,1
"N_0.25","after.diet","DrugBefore_YES",83.1483807818753,39.8966411288173,86.4904522435554,1
"N_0.25","before.diet","DrugBefore_NO",92.0201805701687,23.7368778326464,93.7578732489171,1
"N_0.25","before.diet","DrugBefore_YES",81.2514336583425,35.0359393432651,86.8443146904746,1
"N_0.5","after.diet","DrugBefore_NO",55.8958648306458,37.9413812910238,59.2184256230066,1
"N_0.5","after.diet","DrugBefore_YES",53.3279271944133,28.8786518034358,54.7175153728955,1
"N_0.5","before.diet","DrugBefore_NO",56.3007741949967,16.7351528481529,56.7460083399438,1
"N_0.5","before.diet","DrugBefore_YES",52.1898942471044,26.4369480093728,52.469900810249,1
"N_1","after.diet","DrugBefore_NO",26.1146329161882,19.9489364548876,26.9430885209616,1
"N_1","after.diet","DrugBefore_YES",23.6474502473976,14.8017276891429,23.6352849335731,1
"N_1","before.diet","DrugBefore_NO",21.3714473270923,8.88249213289156,20.4234271297388,1
"N_1","before.diet","DrugBefore_YES",24.029484381859,14.8047935472886,20.3751239505713,1
"N_2","after.diet","DrugBefore_NO",10.9035995496927,9.06390361947421,9.70854682111963,1
"N_2","after.diet","DrugBefore_YES",9.96378990875596,6.28287679262045,9.67831262937342,1
"N_2","before.diet","DrugBefore_NO",8.28800417734243,4.77234307091468,7.25827095009174,1
"N_2","before.diet","DrugBefore_YES",10.8333611582797,6.48791035285392,9.49721856630395,1
"N_4","after.diet","DrugBefore_NO",6.24094441310246,4.97374668036789,5.29996758912955,1
"N_4","after.diet","DrugBefore_YES",6.02031746300806,3.39646305506204,5.71561868938856,1
"N_4","before.diet","DrugBefore_NO",5.37913359465932,3.30576546537436,4.43426269569245,1
"N_4","before.diet","DrugBefore_YES",6.81015094754818,3.40846509999632,6.48145149788302,1
"N_8","after.diet","DrugBefore_NO",4.79721033287444,3.49919599623108,4.1941346475515,1
"N_8","after.diet","DrugBefore_YES",4.77530391535648,2.41289773151488,4.65150253273029,1
"N_8","before.diet","DrugBefore_NO",4.49547498791473,2.72054873654246,3.61253219307528,1
"N_8","before.diet","DrugBefore_YES",5.51666476794878,2.51020421813218,5.27600926890054,1
"N_Inf","after.diet","DrugBefore_NO",3.85714088196279,2.49725786993619,3.50579743556216,1
"N_Inf","after.diet","DrugBefore_YES",3.91994231972196,1.78071716377669,3.88014076515111,1
"N_Inf","before.diet","DrugBefore_NO",3.77875685163317,2.08886372504841,3.07190354195575,1
"N_Inf","before.diet","DrugBefore_YES",4.53222315982149,1.87041821343845,4.53728061677829,1
