"feature","mean","sd","median","incidence"
"N_4",0.576837575301012,3.41147922148406,0.892708547862,0.785714285714286
"N_8",0.671984338409997,2.46157322110895,1.052129128763,0.785714285714286
"N_Inf",0.599894028294732,1.75525099800247,0.897967975620719,0.785714285714286
"N_2",0.159360766918893,6.12461528806613,1.50355350618148,0.714285714285714
"NE_4",0.00404044694989228,0.0189923522295435,0.00278627917890278,0.714285714285714
"NE_8",0.00403665608578264,0.0157214309110445,0.00565004919311268,0.714285714285714
"NE_Inf",0.0031466562552063,0.0134562175727257,0.00398521419700418,0.642857142857143
"N_0",1.80839285714286,44.0947346260031,7.82125,0.642857142857143
"N_0.25",-0.0777668129956464,33.9629851384071,7.82645259200203,0.642857142857143
"N_0.5",-1.21735270030828,24.8749109184776,6.64478518367589,0.642857142857143
"N_1",-1.07538720243325,13.2863289083683,2.21126683084192,0.714285714285714
"NE_0.25",0.00280643417105489,0.0606270659951078,0.013833427289484,0.642857142857143
"NE_0.5",-0.000836758540429745,0.0706067408267603,0.0188548691271177,0.571428571428571
"NE_1",-0.00182502331598717,0.0545746583574027,0.00847915734274073,0.642857142857143
"NE_2",0.00284973301202081,0.0304914018715793,0.00258011219660765,0.571428571428571
