".record.id","DietStatus","feature","Richness"
"SM1","before.diet","1",1.00000000000008
"SM11","after.diet","1",0.999999999999762
"SM12","before.diet","1",1.00000000000016
"SM13","before.diet","1",0.999999999999987
"SM14","before.diet","1",1.00000000000007
"SM17","before.diet","1",1.00000000000004
"SM19","after.diet","1",0.999999999999952
"SM2","before.diet","1",0.999999999999823
"SM23","after.diet","1",0.999999999999989
"SM3","after.diet","1",1.00000000000029
"SM33","before.diet","1",1.00000000000002
"SM38","after.diet","1",1.0000000000001
"SM41","before.diet","1",0.999999999999815
"SM45","after.diet","1",1
"SM49","before.diet","1",1.00000000000001
"SM52","before.diet","1",1.00000000000004
"SM53","after.diet","1",0.999999999999991
"SM56","after.diet","1",1.00000000000011
"SM57","before.diet","1",1.00000000000005
"SM58","after.diet","1",0.999999999999939
"SM62","before.diet","1",1.00000000000002
"SM64","after.diet","1",1.00000000000007
"SM77","after.diet","1",1.00000000000004
"SM79","after.diet","1",1.00000000000026
"SM8","before.diet","1",1.00000000000001
"SM83","before.diet","1",1.00000000000007
"SM84","before.diet","1",0.999999999999982
"SM86","after.diet","1",0.999999999999876
"SM87","before.diet","1",0.999999999999943
"SM88","after.diet","1",0.999999999999988
"SM9","after.diet","1",0.999999999999968
"SM90","after.diet","1",0.999999999999973
"SM96","before.diet","1",0.999999999999896
"SM1","before.diet","893.586206896552",105.984630787663
"SM11","after.diet","893.586206896552",97.546444315758
"SM12","before.diet","893.586206896552",101.152696964648
"SM13","before.diet","893.586206896552",101.275688508376
"SM14","before.diet","893.586206896552",112.410746764945
"SM17","before.diet","893.586206896552",92.3165661424607
"SM19","after.diet","893.586206896552",118.748042607804
"SM2","before.diet","893.586206896552",70.5626041447273
"SM23","after.diet","893.586206896552",18.7486726886415
"SM3","after.diet","893.586206896552",135.944707052103
"SM33","before.diet","893.586206896552",36.612294424972
"SM38","after.diet","893.586206896552",57.4451810803231
"SM41","before.diet","893.586206896552",131.686406461161
"SM45","after.diet","893.586206896552",2.10031576244317
"SM49","before.diet","893.586206896552",74.6532019849278
"SM52","before.diet","893.586206896552",122.488653763194
"SM53","after.diet","893.586206896552",87.0635596425625
"SM56","after.diet","893.586206896552",55.4394415442787
"SM57","before.diet","893.586206896552",72.5126970744529
"SM58","after.diet","893.586206896552",60.0621183539555
"SM62","before.diet","893.586206896552",34.8102629984057
"SM64","after.diet","893.586206896552",82.0287821007594
"SM77","after.diet","893.586206896552",127.401309577848
"SM79","after.diet","893.586206896552",107.722456974325
"SM8","before.diet","893.586206896552",78.2208836387643
"SM83","before.diet","893.586206896552",76.976251236109
"SM84","before.diet","893.586206896552",121.08411771654
"SM86","after.diet","893.586206896552",110.339130897614
"SM87","before.diet","893.586206896552",93.0106469328369
"SM88","after.diet","893.586206896552",96.9840526570567
"SM9","after.diet","893.586206896552",81.660177094231
"SM90","after.diet","893.586206896552",143.528604523809
"SM96","before.diet","893.586206896552",96.1596059614568
"SM1","before.diet","1786.1724137931",141.118559299552
"SM11","after.diet","1786.1724137931",130.828600157716
"SM12","before.diet","1786.1724137931",135.661229992917
"SM13","before.diet","1786.1724137931",135.984928446313
"SM14","before.diet","1786.1724137931",150.939189057288
"SM17","before.diet","1786.1724137931",125.058821780299
"SM19","after.diet","1786.1724137931",155.962620099509
"SM2","before.diet","1786.1724137931",94.4829417489405
"SM23","after.diet","1786.1724137931",24.7140451966707
"SM3","after.diet","1786.1724137931",183.18988136113
"SM33","before.diet","1786.1724137931",47.4379233284827
"SM38","after.diet","1786.1724137931",74.3977596752518
"SM41","before.diet","1786.1724137931",177.121888334379
"SM45","after.diet","1786.1724137931",2.34016345381707
"SM49","before.diet","1786.1724137931",99.4595044835079
"SM52","before.diet","1786.1724137931",169.645679687489
"SM53","after.diet","1786.1724137931",114.14252665634
"SM56","after.diet","1786.1724137931",71.0903456307797
"SM57","before.diet","1786.1724137931",100.491975842332
"SM58","after.diet","1786.1724137931",81.3517319508018
"SM62","before.diet","1786.1724137931",42.8136012145654
"SM64","after.diet","1786.1724137931",113.581931335098
"SM77","after.diet","1786.1724137931",172.722562063942
"SM79","after.diet","1786.1724137931",150.39470468532
"SM8","before.diet","1786.1724137931",101.463228009902
"SM83","before.diet","1786.1724137931",103.864642980531
"SM84","before.diet","1786.1724137931",157.303870975458
"SM86","after.diet","1786.1724137931",146.123955533285
"SM87","before.diet","1786.1724137931",123.226577348661
"SM88","after.diet","1786.1724137931",129.458347787247
"SM9","after.diet","1786.1724137931",106.570928259096
"SM90","after.diet","1786.1724137931",191.19845368492
"SM96","before.diet","1786.1724137931",130.009442761
"SM1","before.diet","2161",152.12683986227
"SM11","after.diet","2161",141.502617354335
"SM12","before.diet","2161",146.674891861573
"SM13","before.diet","2161",146.862310237337
"SM14","before.diet","2161",162.508072064028
"SM17","before.diet","2161",135.523719427894
"SM19","after.diet","2161",167
"SM2","before.diet","2161",101.879094960256
"SM23","after.diet","2161",26.7319434579726
"SM3","after.diet","2161",198.294487918001
"SM33","before.diet","2161",50.4905917711163
"SM38","after.diet","2161",79.4156909782074
"SM41","before.diet","2161",191.49353416042
"SM45","after.diet","2161",2.41439477241053
"SM49","before.diet","2161",107.180977158419
"SM52","before.diet","2161",184.737387708587
"SM53","after.diet","2161",122.433370899657
"SM56","after.diet","2161",76.3460130097932
"SM57","before.diet","2161",109.079325439452
"SM58","after.diet","2161",88.0223989946713
"SM62","before.diet","2161",45.1803666550434
"SM64","after.diet","2161",123.795296510054
"SM77","after.diet","2161",187.414026133445
"SM79","after.diet","2161",164.228028968419
"SM8","before.diet","2161",108.503814916138
"SM83","before.diet","2161",112.354768507125
"SM84","before.diet","2161",169.141746448796
"SM86","after.diet","2161",157.091091584389
"SM87","before.diet","2161",133.08861075865
"SM88","after.diet","2161",139.662760453406
"SM9","after.diet","2161",114.198354820809
"SM90","after.diet","2161",206.34196465799
"SM96","before.diet","2161",140.579642739054
"SM1","before.diet","2240",154.274908989803
"SM11","after.diet","2240",143.595258648922
"SM12","before.diet","2240",148.831357285706
"SM13","before.diet","2240",149
"SM14","before.diet","2240",164.722370345976
"SM17","before.diet","2240",137.573203898652
"SM19","after.diet","2240",NA
"SM2","before.diet","2240",103.314480259043
"SM23","after.diet","2240",27.1381664865901
"SM3","after.diet","2240",201.248860469799
"SM33","before.diet","2240",51.0560184023418
"SM38","after.diet","2240",80.3793108391824
"SM41","before.diet","2240",194.291639199835
"SM45","after.diet","2240",2.42973137774328
"SM49","before.diet","2240",108.681839525994
"SM52","before.diet","2240",187.681476153193
"SM53","after.diet","2240",124.036491770757
"SM56","after.diet","2240",77.3842917020178
"SM57","before.diet","2240",110.739183694688
"SM58","after.diet","2240",89.3223682350811
"SM62","before.diet","2240",45.635230332958
"SM64","after.diet","2240",125.800446229873
"SM77","after.diet","2240",190.303945881206
"SM79","after.diet","2240",166.936016910754
"SM8","before.diet","2240",109.85922728919
"SM83","before.diet","2240",114.008816068963
"SM84","before.diet","2240",171.470597506307
"SM86","after.diet","2240",159.217541806448
"SM87","before.diet","2240",135.028447070939
"SM88","after.diet","2240",141.655936453248
"SM9","after.diet","2240",115.656997147833
"SM90","after.diet","2240",209.315552537076
"SM96","before.diet","2240",142.62843552352
"SM1","before.diet","2411",158.753068786291
"SM11","after.diet","2411",147.966560140282
"SM12","before.diet","2411",153.33323051635
"SM13","before.diet","2411",NA
"SM14","before.diet","2411",169.289644108841
"SM17","before.diet","2411",141.853439729383
"SM19","after.diet","2411",NA
"SM2","before.diet","2411",106.298081203019
"SM23","after.diet","2411",28
"SM3","after.diet","2411",207.411549798047
"SM33","before.diet","2411",52.1974345189249
"SM38","after.diet","2411",82.3729698255166
"SM41","before.diet","2411",200.113583727173
"SM45","after.diet","2411",2.4627780432868
"SM49","before.diet","2411",111.802723014867
"SM52","before.diet","2411",193.813554979228
"SM53","after.diet","2411",127.362321769517
"SM56","after.diet","2411",79.5568058967695
"SM57","before.diet","2411",114.184317148662
"SM58","after.diet","2411",92.0317538543971
"SM62","before.diet","2411",46.5772725819946
"SM64","after.diet","2411",129.993030419386
"SM77","after.diet","2411",196.351386584943
"SM79","after.diet","2411",172.584457298142
"SM8","before.diet","2411",112.663343226932
"SM83","before.diet","2411",117.451641810043
"SM84","before.diet","2411",176.341683930767
"SM86","after.diet","2411",163.638272599496
"SM87","before.diet","2411",139.088947153277
"SM88","after.diet","2411",145.813234540228
"SM9","after.diet","2411",118.661463256884
"SM90","after.diet","2411",215.538086364611
"SM96","before.diet","2411",146.881051796725
"SM1","before.diet","2417",158.906203490468
"SM11","after.diet","2417",148.116235402013
"SM12","before.diet","2417",153.487312512852
"SM13","before.diet","2417",NA
"SM14","before.diet","2417",169.444640719677
"SM17","before.diet","2417",142
"SM19","after.diet","2417",NA
"SM2","before.diet","2417",106.39989450598
"SM23","after.diet","2417",NA
"SM3","after.diet","2417",207.622342875701
"SM33","before.diet","2417",52.2355186399446
"SM38","after.diet","2417",82.4407923439096
"SM41","before.diet","2417",200.312353138668
"SM45","after.diet","2417",2.46393497305317
"SM49","before.diet","2417",111.909231368037
"SM52","before.diet","2417",194.023081765986
"SM53","after.diet","2417",127.475657223547
"SM56","after.diet","2417",79.6312329029255
"SM57","before.diet","2417",114.301785679084
"SM58","after.diet","2417",92.1244018081203
"SM62","before.diet","2417",46.6093528299514
"SM64","after.diet","2417",130.136696514621
"SM77","after.diet","2417",196.558714890877
"SM79","after.diet","2417",172.77763236295
"SM8","before.diet","2417",112.758693727655
"SM83","before.diet","2417",117.569217785754
"SM84","before.diet","2417",176.508606727649
"SM86","after.diet","2417",163.789169143587
"SM87","before.diet","2417",139.228206602696
"SM88","after.diet","2417",145.955446288232
"SM9","after.diet","2417",118.763296275683
"SM90","after.diet","2417",215.751464004005
"SM96","before.diet","2417",147.025996323287
"SM1","before.diet","2424",159.084533498451
"SM11","after.diet","2424",148.290552278579
"SM12","before.diet","2424",153.666756380458
"SM13","before.diet","2424",NA
"SM14","before.diet","2424",169.62503975751
"SM17","before.diet","2424",NA
"SM19","after.diet","2424",NA
"SM2","before.diet","2424",106.518441234274
"SM23","after.diet","2424",NA
"SM3","after.diet","2424",207.867820539344
"SM33","before.diet","2424",52.2797864631517
"SM38","after.diet","2424",82.5197450753196
"SM41","before.diet","2424",200.543796941756
"SM45","after.diet","2424",2.4652845551509
