"feature","mean","sd","median","incidence"
"N_4",0.229172758583613,0.664113727117225,0.275931127279438,0.785714285714286
"N_8",0.25499433748282,0.594462250616306,0.323907569940725,0.785714285714286
"N_Inf",0.250101913041297,0.524291671412392,0.287575260200546,0.785714285714286
"N_2",0.157701040581864,0.790598082188243,0.20640166927181,0.714285714285714
"NE_4",0.124687121670372,0.617181746454947,0.0759101727685063,0.714285714285714
"NE_8",0.15051878195042,0.617439755370288,0.179350838794588,0.714285714285714
"NE_Inf",0.145104604869664,0.609030670542924,0.18989603521529,0.642857142857143
"N_0",0.10451793984578,0.701752880797745,0.0852341360036077,0.642857142857143
"N_0.25",0.115845173169817,0.841251349960063,0.108322181394529,0.642857142857143
"N_0.5",0.115838472930214,0.942196530498183,0.140150346159415,0.642857142857143
"N_1",0.0998314949586852,0.93100665850543,0.147073067657267,0.714285714285714
"NE_0.25",0.0112419166294735,0.147721822055923,0.0289979170972016,0.642857142857143
"NE_0.5",0.011160757731003,0.275477459752217,0.0613255591951997,0.571428571428571
"NE_1",-0.0046400857883891,0.453812956204354,0.0886475465690992,0.642857142857143
"NE_2",0.0531984109128436,0.603903582757293,0.0447454044631259,0.571428571428571
