"feature","Drug.Before.Diet","mean","sd","median","incidence"
"N_4","DrugBefore_NO",-0.153302539699802,1.11590527346508,-0.148760806663552,0.5
"N_4","DrugBefore_YES",0.382162877896979,0.361888355065372,0.329858414028782,0.9
"N_8","DrugBefore_NO",-0.061483067970403,1.03175097780276,-0.118060518585712,0.5
"N_8","DrugBefore_YES",0.381585299664109,0.305431393642415,0.339118752502226,0.9
"N_Inf","DrugBefore_NO",-0.0173304600096818,0.915930396031478,-0.103210857026838,0.5
"N_Inf","DrugBefore_YES",0.357074862261689,0.270013364045035,0.322887409770366,0.9
"N_2","DrugBefore_NO",-0.342979919119726,1.19025995159394,-0.315149466148053,0.5
"N_2","DrugBefore_YES",0.3579734244625,0.524045908727692,0.20640166927181,0.8
"NE_4","DrugBefore_NO",-0.114983274032318,0.806068953820498,-0.234838559432129,0.5
"NE_4","DrugBefore_YES",0.220555279951448,0.545787595954111,0.215115951884599,0.8
"NE_8","DrugBefore_NO",-0.0226959950137682,0.779805689374225,-0.204083023990092,0.5
"NE_8","DrugBefore_YES",0.219804692736095,0.573847107003068,0.210728718020519,0.8
"NE_Inf","DrugBefore_NO",0.0216726414966966,0.715701888596605,-0.129929706246834,0.5
"NE_Inf","DrugBefore_YES",0.194477390218851,0.596278509863329,0.18989603521529,0.7
"N_0","DrugBefore_NO",-0.0380242739322789,0.722103490112152,-0.159737667268788,0.5
"N_0","DrugBefore_YES",0.161534825357004,0.724481396106338,0.0852341360036077,0.7
"N_0.25","DrugBefore_NO",-0.0759899937430542,0.908274424446607,-0.201422085872963,0.5
"N_0.25","DrugBefore_YES",0.192579239934966,0.851089396932125,0.108322181394529,0.7
"N_0.5","DrugBefore_NO",-0.15140578272832,1.10263987653686,-0.255303000370796,0.5
"N_0.5","DrugBefore_YES",0.222736175193628,0.91245411932552,0.140150346159415,0.7
"N_1","DrugBefore_NO",-0.352472265573753,1.27336724107291,-0.36647484196867,0.5
"N_1","DrugBefore_YES",0.280752999171661,0.76434584307337,0.147073067657267,0.8
"NE_0.25","DrugBefore_NO",-0.0383496408180272,0.188735213003605,-0.0419714380251058,0.5
"NE_0.25","DrugBefore_YES",0.0310785396084738,0.134597106199226,0.0289979170972016,0.7
"NE_0.5","DrugBefore_NO",-0.114115327222773,0.390796977742329,-0.0958028730721583,0.5
"NE_0.5","DrugBefore_YES",0.0612711917125132,0.221230905413024,0.0613255591951997,0.6
"NE_1","DrugBefore_NO",-0.315181921362502,0.615311820683939,-0.358272984630107,0.5
"NE_1","DrugBefore_YES",0.119576648441256,0.333571878416409,0.131415186485089,0.7
"NE_2","DrugBefore_NO",-0.305142565023516,0.741811642904695,-0.401217985281892,0.25
"NE_2","DrugBefore_YES",0.196534801287387,0.513285086004217,0.129826301943048,0.7
