".record.id","DietStatus","feature","index"
"SM1","before.diet","NE_0.25",0.675224533850809
"SM11","after.diet","NE_0.25",0.669112769187967
"SM12","before.diet","NE_0.25",0.669734740992448
"SM13","before.diet","NE_0.25",0.665405614657905
"SM14","before.diet","NE_0.25",0.658779886844551
"SM17","before.diet","NE_0.25",0.641943043085596
"SM19","after.diet","NE_0.25",0.701305197171702
"SM2","before.diet","NE_0.25",0.592830696852799
"SM23","after.diet","NE_0.25",0.45368657317603
"SM3","after.diet","NE_0.25",0.71838580696897
"SM33","before.diet","NE_0.25",0.549580699357978
"SM38","after.diet","NE_0.25",0.623518518272462
"SM41","before.diet","NE_0.25",0.712579159785212
"SM45","after.diet","NE_0.25",0.596980756859316
"SM49","before.diet","NE_0.25",0.620601313782673
"SM52","before.diet","NE_0.25",0.680771766254891
"SM53","after.diet","NE_0.25",0.662614421191227
"SM56","after.diet","NE_0.25",0.584998341084386
"SM57","before.diet","NE_0.25",0.582124984031504
"SM58","after.diet","NE_0.25",0.584348861930232
"SM62","before.diet","NE_0.25",0.592782144500283
"SM64","after.diet","NE_0.25",0.617932532820336
"SM77","after.diet","NE_0.25",0.702345130798503
"SM79","after.diet","NE_0.25",0.653329238823851
"SM8","before.diet","NE_0.25",0.660043229514339
"SM83","before.diet","NE_0.25",0.613473786133803
"SM84","before.diet","NE_0.25",0.73711235110427
"SM86","after.diet","NE_0.25",0.685658617460103
"SM87","before.diet","NE_0.25",0.689050105712028
"SM88","after.diet","NE_0.25",0.65779170825855
"SM9","after.diet","NE_0.25",0.679516056722832
"SM90","after.diet","NE_0.25",0.73489488690738
"SM96","before.diet","NE_0.25",0.638894152378685
"SM1","before.diet","NE_0.5",0.435532735439326
"SM11","after.diet","NE_0.5",0.433476813131413
"SM12","before.diet","NE_0.5",0.430130319564808
"SM13","before.diet","NE_0.5",0.419087407892793
"SM14","before.diet","NE_0.5",0.391738016778004
"SM17","before.diet","NE_0.5",0.387489246922703
"SM19","after.diet","NE_0.5",0.468911802669463
"SM2","before.diet","NE_0.5",0.321108055078042
"SM23","after.diet","NE_0.5",0.212071713136576
"SM3","after.diet","NE_0.5",0.502170547008115
"SM33","before.diet","NE_0.5",0.30127929495436
"SM38","after.diet","NE_0.5",0.390815225631578
"SM41","before.diet","NE_0.5",0.488753164414248
"SM45","after.diet","NE_0.5",0.484864739584524
"SM49","before.diet","NE_0.5",0.369942305955558
"SM52","before.diet","NE_0.5",0.442168480589315
"SM53","after.diet","NE_0.5",0.42416651915322
"SM56","after.diet","NE_0.5",0.304825883675977
"SM57","before.diet","NE_0.5",0.30962780057324
"SM58","after.diet","NE_0.5",0.322318493937968
"SM62","before.diet","NE_0.5",0.353379080313454
"SM64","after.diet","NE_0.5",0.357560274816832
"SM77","after.diet","NE_0.5",0.474679706012306
"SM79","after.diet","NE_0.5",0.400366906427121
"SM8","before.diet","NE_0.5",0.426811452639267
"SM83","before.diet","NE_0.5",0.354581852599301
"SM84","before.diet","NE_0.5",0.541437448571944
"SM86","after.diet","NE_0.5",0.447685790723136
"SM87","before.diet","NE_0.5",0.474938512453557
"SM88","after.diet","NE_0.5",0.411896455587033
"SM9","after.diet","NE_0.5",0.463640905030027
"SM90","after.diet","NE_0.5",0.528583129442479
"SM96","before.diet","NE_0.5",0.369601615382178
"SM1","before.diet","NE_1",0.191401913623226
"SM11","after.diet","NE_1",0.197019712392637
"SM12","before.diet","NE_1",0.186309261134219
"SM13","before.diet","NE_1",0.166343007704259
"SM14","before.diet","NE_1",0.119534826738472
"SM17","before.diet","NE_1",0.150192589564722
"SM19","after.diet","NE_1",0.198445471006407
"SM2","before.diet","NE_1",0.10626240564445
"SM23","after.diet","NE_1",0.0948846080886626
"SM3","after.diet","NE_1",0.256466878146272
"SM33","before.diet","NE_1",0.131137374669411
"SM38","after.diet","NE_1",0.194510721485371
"SM41","before.diet","NE_1",0.226969915386694
"SM45","after.diet","NE_1",0.443511222895306
"SM49","before.diet","NE_1",0.160886034474745
"SM52","before.diet","NE_1",0.198868032101767
"SM53","after.diet","NE_1",0.186403780423701
"SM56","after.diet","NE_1",0.0792898029728261
"SM57","before.diet","NE_1",0.104393751380988
"SM58","after.diet","NE_1",0.115282770562944
"SM62","before.diet","NE_1",0.155252481101078
"SM64","after.diet","NE_1",0.130594980819643
"SM77","after.diet","NE_1",0.219520743993537
"SM79","after.diet","NE_1",0.155281045933061
"SM8","before.diet","NE_1",0.197095311887785
"SM83","before.diet","NE_1",0.140162683047389
"SM84","before.diet","NE_1",0.310650260059908
"SM86","after.diet","NE_1",0.187409430357848
"SM87","before.diet","NE_1",0.255382780380944
"SM88","after.diet","NE_1",0.175511341435203
"SM9","after.diet","NE_1",0.249079925509852
"SM90","after.diet","NE_1",0.283423874716899
"SM96","before.diet","NE_1",0.109968382586996
