"feature","DietStatus","mean","sd","median","incidence"
"NE_0.25","after.diet",0.645401213602116,0.0689306155221949,0.660203064724889,1
"NE_0.25","before.diet",0.645937188755281,0.049216934494592,0.658779886844551,1
"NE_0.5","after.diet",0.414252181622985,0.0823471932529142,0.428821666142316,1
"NE_0.5","before.diet",0.401035693536594,0.0656393899157035,0.391738016778004,1
"NE_1","after.diet",0.197914769421261,0.0867043432569804,0.190960075921609,1
"NE_1","before.diet",0.171224177146297,0.0560180675934318,0.160886034474745,1
"NE_2","after.diet",0.100663250339362,0.0942179426136157,0.0793097095706481,1
"NE_2","before.diet",0.0750790603353985,0.0295268048817515,0.0721999346926352,1
"NE_4","after.diet",0.072201058684361,0.0985054443859117,0.0493940246463163,1
"NE_4","before.diet",0.0485502008711722,0.0168055004882146,0.0490286346581931,1
"NE_8","after.diet",0.0632869198662763,0.100230709926102,0.0400153283745765,1
"NE_8","before.diet",0.0401043382562582,0.013077684103791,0.0391223565748131,1
"NE_Inf","after.diet",0.0572506466545867,0.101549244423535,0.0329258145570723,1
"NE_Inf","before.diet",0.0336064257664204,0.0102901794730235,0.0326594504646796,1
