"feature","DietStatus","Drug.Before.Diet","mean","sd","median","incidence"
"NE_0.25","after.diet","DrugBefore_NO",0.658395833069219,0.059025110776627,0.666422647773342,1
"NE_0.25","after.diet","DrugBefore_YES",0.637604441921854,0.0761800283948447,0.660203064724889,1
"NE_0.25","before.diet","DrugBefore_NO",0.649454224417195,0.0308287829189479,0.659411558179445,1
"NE_0.25","before.diet","DrugBefore_YES",0.644018805666964,0.0582152364986257,0.641943043085596,1
"NE_0.5","after.diet","DrugBefore_NO",0.44478099618193,0.0728521404383998,0.466276353849745,1
"NE_0.5","after.diet","DrugBefore_YES",0.395934892887618,0.0857849053938042,0.418031487370126,1
"NE_0.5","before.diet","DrugBefore_NO",0.395085838059933,0.0445706878792969,0.405412712335398,1
"NE_0.5","before.diet","DrugBefore_YES",0.404281069251136,0.0765999211918333,0.387489246922703,1
"NE_1","after.diet","DrugBefore_NO",0.240837385104078,0.116481033546833,0.22376269825813,1
"NE_1","after.diet","DrugBefore_YES",0.17216120001157,0.055014061049018,0.186906605390774,1
"NE_1","before.diet","DrugBefore_NO",0.149678661110621,0.0431651749599241,0.142938917221365,1
"NE_1","before.diet","DrugBefore_YES",0.18297627680212,0.0604877961466995,0.160886034474745,1
"NE_2","after.diet","DrugBefore_NO",0.142437147585564,0.148838042553734,0.0915392110164625,1
"NE_2","after.diet","DrugBefore_YES",0.075598911991641,0.0250309465886075,0.0793097095706481,1
"NE_2","before.diet","DrugBefore_NO",0.0580442782970073,0.0254115568253322,0.0530213939057872,1
"NE_2","before.diet","DrugBefore_YES",0.0843707596290665,0.0283368734601907,0.0742566577911198,1
"NE_4","after.diet","DrugBefore_NO",0.112481652543681,0.159992683808603,0.0515235454495472,1
"NE_4","after.diet","DrugBefore_YES",0.0480327023687691,0.0148522064341393,0.0493940246463163,1
"NE_4","before.diet","DrugBefore_NO",0.0374551006444654,0.0167051125133989,0.0351708845866791,1
"NE_4","before.diet","DrugBefore_YES",0.0546020737221033,0.0140783852654957,0.0526650916658769,1
"NE_8","after.diet","DrugBefore_NO",0.103326817513092,0.163704808647322,0.0397980511770236,1
"NE_8","after.diet","DrugBefore_YES",0.039262981278187,0.0120459750715786,0.0400153283745765,1
"NE_8","before.diet","DrugBefore_NO",0.0312737062837794,0.0134673640509062,0.0300890715232582,1
"NE_8","before.diet","DrugBefore_YES",0.044921046604883,0.0105189155012555,0.0460420755519853,1
"NE_Inf","after.diet","DrugBefore_NO",0.0974238107022419,0.166229560624324,0.0319475639726745,1
"NE_Inf","after.diet","DrugBefore_YES",0.0331467482259935,0.0106933191288618,0.0329258145570723,1
"NE_Inf","before.diet","DrugBefore_NO",0.0264284032442494,0.0102509662359011,0.0261631915968041,1
"NE_Inf","before.diet","DrugBefore_YES",0.0375217107785137,0.00831279186306696,0.0403157974196742,1
