".record.id","DietStatus","feature","index"
"SM1","before.diet","N_0",152.1925
"SM11","after.diet","N_0",141.7875
"SM12","before.diet","N_0",146.6975
"SM13","before.diet","N_0",146.8775
"SM14","before.diet","N_0",162.6425
"SM17","before.diet","N_0",135.2125
"SM19","after.diet","N_0",167
"SM2","before.diet","N_0",101.525
"SM23","after.diet","N_0",26.775
"SM3","after.diet","N_0",198.055
"SM33","before.diet","N_0",50.5275
"SM38","after.diet","N_0",79.305
"SM41","before.diet","N_0",191.485
"SM45","after.diet","N_0",2.4
"SM49","before.diet","N_0",107.3325
"SM52","before.diet","N_0",184.3025
"SM53","after.diet","N_0",122.3
"SM56","after.diet","N_0",76.26
"SM57","before.diet","N_0",109.1425
"SM58","after.diet","N_0",88.045
"SM62","before.diet","N_0",45.2225
"SM64","after.diet","N_0",123.8475
"SM77","after.diet","N_0",186.905
"SM79","after.diet","N_0",163.6325
"SM8","before.diet","N_0",108.565
"SM83","before.diet","N_0",112.5425
"SM84","before.diet","N_0",168.5975
"SM86","after.diet","N_0",156.715
"SM87","before.diet","N_0",133.0325
"SM88","after.diet","N_0",139.7275
"SM9","after.diet","N_0",114.0025
"SM90","after.diet","N_0",206.4375
"SM96","before.diet","N_0",140.555
