".record.id","DietStatus","feature","index"
"SM1","before.diet","N_0.25",102.617038990342
"SM11","after.diet","N_0.25",94.8481827004011
"SM12","before.diet","N_0.25",98.1849602734227
"SM13","before.diet","N_0.25",97.7491271849552
"SM14","before.diet","N_0.25",107.17597270577
"SM17","before.diet","N_0.25",86.8443146904746
"SM19","after.diet","N_0.25",117.117967927675
"SM2","before.diet","N_0.25",60.2138326175894
"SM23","after.diet","N_0.25",12.1403249535721
"SM3","after.diet","N_0.25",142.331269051675
"SM33","before.diet","N_0.25",27.7849986614738
"SM38","after.diet","N_0.25",49.4478427560261
"SM41","before.diet","N_0.25",136.479494318173
"SM45","after.diet","N_0.25",1.39457716553605
"SM49","before.diet","N_0.25",66.6034195623515
"SM52","before.diet","N_0.25",125.544386921518
"SM53","after.diet","N_0.25",81.1024872288638
"SM56","after.diet","N_0.25",44.6027186197068
"SM57","before.diet","N_0.25",63.5033150799224
"SM58","after.diet","N_0.25",51.4520954845944
"SM62","before.diet","N_0.25",26.8225254179656
"SM64","after.diet","N_0.25",76.4941356746517
"SM77","after.diet","N_0.25",131.176768149992
"SM79","after.diet","N_0.25",106.932714068988
"SM8","before.diet","N_0.25",71.6711446783007
"SM83","before.diet","N_0.25",69.0724122546163
"SM84","before.diet","N_0.25",124.179797040427
"SM86","after.diet","N_0.25",107.461661425617
"SM87","before.diet","N_0.25",91.6734939525986
"SM88","after.diet","N_0.25",91.878417258247
"SM9","after.diet","N_0.25",77.4703436264785
"SM90","after.diet","N_0.25",151.728714335564
"SM96","before.diet","N_0.25",89.766619312879
