".record.id","DietStatus","feature","index"
"SM1","before.diet","N_1",28.9330047104898
"SM11","after.diet","N_1",27.8473208378221
"SM12","before.diet","N_1",27.186316622933
"SM13","before.diet","N_1",24.4366301871354
"SM14","before.diet","N_1",19.433523092199
"SM17","before.diet","N_1",20.3751239505713
"SM19","after.diet","N_1",33.1403936580699
"SM2","before.diet","N_1",10.8059367190371
"SM23","after.diet","N_1",2.53289622764602
"SM3","after.diet","N_1",50.8738433948
"SM33","before.diet","N_1",6.6332440468688
"SM38","after.diet","N_1",15.4168938667079
"SM41","before.diet","N_1",43.5278101656298
"SM45","after.diet","N_1",1.02014865529827
"SM49","before.diet","N_1",17.2453399609377
"SM52","before.diet","N_1",36.6895372442436
"SM53","after.diet","N_1",22.7997835155167
"SM56","after.diet","N_1",6.0513746774295
"SM57","before.diet","N_1",11.3541264877508
"SM58","after.diet","N_1",10.1306043864862
"SM62","before.diet","N_1",7.0216990235283
"SM64","after.diet","N_1",16.1414865957055
"SM77","after.diet","N_1",40.9337225981758
"SM79","after.diet","N_1",25.4677029797171
"SM8","before.diet","N_1",21.4133311672787
"SM83","before.diet","N_1",15.7860099309573
"SM84","before.diet","N_1",52.29623122514
"SM86","after.diet","N_1",29.4063944085434
"SM87","before.diet","N_1",33.965422075642
"SM88","after.diet","N_1",24.4707863516296
"SM9","after.diet","N_1",28.4184740622061
"SM90","after.diet","N_1",58.5104737553514
"SM96","before.diet","N_1",15.44972555266
