"rownames","Prob(selection)"
"Clostridium_XlVa.Otu0236",0.44125
"Lachnospiracea_incertae_sedis.Otu0113",0.2675
"Lachnospiraceae.Otu0790",0.25625
"Roseburia.Otu2084",0.23875
"Lachnospiracea_incertae_sedis.Otu2746",0.21875
"Lachnospiracea_incertae_sedis.Otu0778",0.17375
"Lachnospiraceae.Otu2512",0.16875
"Bacteroides.Otu1201",0.16
"Lachnospiraceae.Otu2222",0.1475
"Bacteroides.Otu2460",0.14625
"Bacteroides.Otu2375",0.11375
"Bacteroides.Otu2120",0.11125
"Bacteroides.Otu2625",0.10875
"Bacteroides.Otu0863",0.1075
"Bacteroides.Otu2520",0.1025
"Roseburia.Otu2728",0.1
"Lachnospiracea_incertae_sedis.Otu1990",0.09125
"Bacteroides.Otu0786",0.08375
"Parabacteroides.Otu1378",0.0825
"Bacteroides.Otu0752",0.075
"Bacteroides.Otu0848",0.07
"Escherichia_Shigella.Otu2393",0.0625
"Sutterella.Otu0171",0.0625
"Bacteroides.Otu2654",0.05875
"Bacteroides.Otu0069",0.05625
"Bacteroides.Otu2765",0.055
"Blautia.Otu2475",0.05375
"Faecalibacterium.Otu0067",0.05125
"Bacteroides.Otu2069",0.05
"Gemmiger.Otu0907",0.05
"Bacteroides.Otu2437",0.0475
"Clostridium_XI.Otu1804",0.04625
"Bacteroides.Otu0661",0.04625
"Bacteroides.Otu2104",0.045
"Bacteroides.Otu1800",0.045
"Faecalibacterium.Otu0751",0.04375
"Bacteroides.Otu1669",0.04375
"Bacteroides.Otu2343",0.04125
"Blautia.Otu0620",0.04125
"Bacteroides.Otu0006",0.04
"Bacteroides.Otu0001",0.0375
"Bacteroides.Otu0929",0.0375
"Alistipes.Otu2508",0.0375
"Prevotella.Otu1987",0.03625
"Lachnospiraceae.Otu2599",0.03625
"Erysipelotrichaceae_incertae_sedis.Otu0818",0.035
"Bacteroides.Otu2416",0.03375
"Bacteroides.Otu2431",0.0325
"Dorea.Otu1142",0.0325
"Bacteroides.Otu0877",0.03
"Bacteroides.Otu0763",0.0275
"Lactobacillus.Otu1332",0.02625
"Alistipes.Otu1466",0.02625
"Lachnospiracea_incertae_sedis.Otu0651",0.02625
"Parabacteroides.Otu1107",0.025
"Bacteroides.Otu1411",0.025
"Lactobacillales.Otu0504",0.0225
"Bacteroides.Otu1854",0.02125
"Bacteroides.Otu0312",0.02125
"Roseburia.Otu1051",0.02
"Bacteroidales.Otu1168",0.02
"Bacteroides.Otu1260",0.02
"Bacteroides.Otu1565",0.02
"Prevotella.Otu2666",0.01875
"Akkermansia.Otu1935",0.01625
"Bacteroides.Otu0775",0.01625
"Prevotella.Otu0634",0.01625
"Prevotella.Otu2227",0.01625
"Bacteroides.Otu2534",0.01625
"Bacteroidales.Otu0696",0.015
"Blautia.Otu2495",0.015
"Lachnospiraceae.Otu0898",0.015
"Lachnospiraceae.Otu1734",0.015
"Bacteroides.Otu2566",0.015
"Bacteroides.Otu2216",0.01375
"Prevotella.Otu2327",0.0125
"Bacteroides.Otu2383",0.0125
"Parabacteroides.Otu1736",0.01125
"Prevotella.Otu1563",0.01125
"Bacteroides.Otu2038",0.00875
"Bacteroides.Otu2482",0.00875
"Prevotella.Otu2602",0.0075
"Clostridium_XI.Otu2681",0.0075
"Bacteroides.Otu1624",0.0075
"Bacteroides.Otu0480",0.00375
"Bacteroides.Otu2065",0.0025
"Prevotella.Otu1633",0.0025
"Megamonas.Otu2657",0.0025
"Prevotella.Otu2501",0.0025
"Prevotella.Otu1319",0.0025
"Enterococcus.Otu1019",0.00125
"Bacteroides.Otu1976",0.00125
"Turicibacter.Otu0468",0.00125
"Prevotella.Otu1994",0
"Prevotella.Otu1803",0
"Sutterella.Otu1997",0
"Clostridiales.Otu1597",0
"Bacteria.Otu0435",0
"Burkholderiales.Otu0023",0
"Prevotella.Otu0882",0
"Prevotella.Otu0773",0
