"Bacteroidetes"	"Firmicutes"	"Proteobacteria"	"Verrucomicrobia"	"Unclassified_Bacteria"	"Actinobacteria"	"Fusobacteria"	"Cyanobacteria_Chloroplast"	"TM7"	"Lentisphaerae"
9052	2225	253	0	10	8	0	0	0	1
23519	2156	83	97	29	1	0	0	1	0
21005	1507	27	2	51	0	0	0	0	0
1691	449	11	68	18	2	0	1	0	0
170	2373	17	0	15	66	0	0	0	0
1980	343	54	0	36	4	0	0	0	0
487	1594	77	0	3	0	0	0	0	0
14308	1670	91	0	59	3	0	0	0	0
679	1732	0	0	0	0	0	0	0	0
2710	6043	61	0	19	6	0	0	0	0
1755	169	616	0	2	0	0	0	0	0
19160	291	5	0	4	2	0	0	0	0
1727	690	58	544	19	67	0	0	0	0
0	5207	1	0	0	0	0	0	0	0
3092	209	7	0	6	3	0	0	0	0
902	6747	1451	0	30	19	29	0	1	0
11164	2179	534	0	24	3	0	0	0	0
2242	753	63	0	6	0	0	0	0	0
2513	253	1	0	7	4	0	0	0	0
4775	1336	61	0	1	1	0	0	0	0
2420	68	0	2	0	1	0	0	0	0
15596	1314	1008	0	40	4	0	0	0	0
13556	3554	591	0	47	6	0	0	0	0
8681	1461	25	0	46	3	2	0	0	0
2225	363	29	18	59	2	1	0	0	0
3006	597	5	0	29	5	0	0	0	0
9129	813	339	1	16	3	0	0	0	1
11	3142	23	0	21	26	0	0	0	0
2278	187	159	0	4	0	0	0	0	0
9838	1517	326	0	34	15	0	0	0	0
1613	705	106	0	6	1	0	0	0	0
1497	847	51	7	14	8	0	0	0	0
8400	3277	229	22	1190	44	0	0	1	0
