"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","DietStatus_before.diet_vs_after.diet","SE_Intercept","SE_Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","SE_DietStatus_before.diet_vs_after.diet","WaldStatistic_Intercept","WaldStatistic_Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","WaldStatistic_DietStatus_before.diet_vs_after.diet","WaldPvalue_Intercept","WaldPvalue_Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","WaldPvalue_DietStatus_before.diet_vs_after.diet","betaConv","betaIter","deviance","maxCooks","replace"
"Megamonas",49.542615221719,-12.4259250335211,2.95789284068991,-4.20093820255598,NA,NA,49.542615221719,80973.7329674111,FALSE,33,96,3.6030762619129,33,8,FALSE,33,8.08898692557141,-26.6632669811726,-12.4259250335211,2.82013297272137,3.06173025014721,2.95789284068991,2.86829982976502,-8.7085617617328,-4.20093820255598,0.00412684242290515,3.0775463620569e-18,2.65811145974401e-05,TRUE,100,34.6823319902142,23.0808860285906,TRUE
"Lachnospiracea_incertae_sedis",93.7215535336996,-2.41098574378205,0.625961203733232,-3.85165363189114,0.000117322889152197,0.00316771800710932,93.7215535336996,14838.9408207816,FALSE,1.47833769391702,10,2.89633227587173,1.51616162522847,6,FALSE,1.51616162522847,6.8785287478287,0.634183938782449,-2.41098574378205,0.602785490580123,0.649437274105878,0.625961203733232,11.4112380860541,0.976512996818008,-3.85165363189114,3.67461385627548e-30,0.328810310452785,0.000117322889152197,TRUE,7,342.052876374555,0.0194194853688654,FALSE
"Escherichia_Shigella",10.7002417653538,4.94881252720412,1.8234494274881,2.71398397597535,0.00664793817859963,0.0819758029498518,10.7002417653538,2364.97718756142,FALSE,13.1375087321159,7,6.60671247265625,12.2531466303669,8,FALSE,12.2531466303669,0.267017275716436,-2.40629197918014,4.94881252720412,1.75816898860782,1.87773394617848,1.8234494274881,0.151872361215898,-1.28148717984109,2.71398397597535,0.879287607944795,0.200022600099514,0.00664793817859963,TRUE,37,95.5881976291569,1.20361262440568,TRUE
"Roseburia",40.2029074193399,-1.70011177083131,0.651893936219454,-2.60795763907671,0.00910842254998353,0.0819758029498518,40.2029074193399,2707.47768364382,FALSE,1.56390223688462,9,4.02014039729087,1.62061379934738,9,FALSE,1.62061379934738,6.1676200093685,-0.293860215703835,-1.70011177083131,0.625092938331734,0.674453202870309,0.651893936219454,9.8667248198785,-0.435701416278013,-2.60795763907671,5.80284215266105e-23,0.663053378042293,0.00910842254998353,TRUE,6,299.560592567457,0.091095169029912,FALSE
"Unclassified_Bacteria",32.5307176796912,1.39144059953392,0.625907954177097,2.22307543824601,0.0262107135505995,0.176922316466547,32.5307176796912,5661.6473980037,FALSE,1.4099646510057,12,4.47242013981646,1.46852441763446,8,FALSE,1.46852441763446,4.73667775984358,-1.25938431328516,1.39144059953392,0.599861727400566,0.645391984569789,0.625907954177097,7.8962826656227,-1.9513479302422,2.22307543824601,2.87344624279203e-15,0.0510156710370035,0.0262107135505995,TRUE,9,280.339421532577,0.598638264641494,FALSE
"Clostridium_XlVa",23.0732195596426,1.21151898067124,0.577505558137284,2.09784817410059,0.0359185593912244,0.193960220712612,23.0732195596426,640.537462655221,FALSE,1.16915114050569,8,5.26486736203056,1.23818380221511,9,FALSE,1.23818380221511,3.84708354375902,-0.0864698417541902,1.21151898067124,0.557819285162055,0.596985644865442,0.577505558137284,6.89664851340051,-0.144844088794933,2.09784817410059,5.32436995457351e-12,0.884833971428314,0.0359185593912244,TRUE,5,270.915334143818,0.108908797980167,FALSE
"Unclassified_Lachnospiraceae",146.297570861271,-1.08397599209657,0.575660872665378,-1.88301141100251,0.0596988215583196,0.268644697012438,146.297570861271,19688.8411374384,FALSE,1.25701179807559,9,3.17160297007414,1.29743552565498,8,FALSE,1.29743552565498,7.6838627535363,-0.0401701607647562,-1.08397599209657,0.555862876528246,0.59742277571341,0.575660872665378,13.8233062109264,-0.067239084945811,-1.88301141100251,1.8440196478675e-43,0.94639137022671,0.0596988215583196,TRUE,6,391.037069469978,0.0459019134479958,FALSE
"Unclassified_Burkholderiales",3.38122942800085,4.86602222490431,2.93811553574826,1.65617116335252,NA,NA,3.38122942800085,213.503340998247,FALSE,33,12,8.59657879106547,33,8,FALSE,33,-1.63102036789648,-1.24757159439955,4.86602222490431,2.85152419753109,3.04493862928803,2.93811553574826,-0.57198194892004,-0.409719782986646,1.65617116335252,0.56733420386275,0.682011516274521,0.097687161212052,TRUE,30,45.2704247307739,60.9132054440853,TRUE
"Akkermansia",19.2252979651352,3.20502354877731,2.13324934974678,1.50241393447876,0.132990239862669,0.508113788720725,19.2252979651352,5862.3351401646,FALSE,19.8361747031147,10,5.68304405761796,17.7318789455762,8,FALSE,17.7318789455762,0.577322191351819,1.85026967375144,3.20502354877731,2.08117814069732,2.21919754932129,2.13324934974678,0.277401621736418,0.833756181065233,1.50241393447876,0.781471736506958,0.404418392340147,0.132990239862669,TRUE,100,120.644306050317,1.04802192309687,FALSE
"Erysipelotrichaceae_incertae_sedis",42.9433749583729,1.42014547280763,0.986105573266099,1.44015560940797,NA,NA,42.9433749583729,24032.2249837079,FALSE,3.77299089046816,12,3.88530617939687,3.77658388462145,6,FALSE,3.77658388462145,4.96933977415438,-1.18232920489587,1.42014547280763,0.950940207435596,1.02169765126123,0.986105573266099,5.22571212711178,-1.15722024361743,1.44015560940797,1.73486096796312e-07,0.247182389022533,0.149823378998091,TRUE,43,255.543308123087,4.56894422758153,TRUE
"Blautia",56.345508435264,-1.041912789194,0.731244966887043,-1.42484780938663,0.154201198847789,0.508113788720725,56.345508435264,7199.4385834625,FALSE,2.04588759276361,11,3.36097114674954,2.0803858325317,8,FALSE,2.0803858325317,6.31181544544332,-0.0623421258364559,-1.041912789194,0.705226983168863,0.758416957157206,0.731244966887043,8.9500481349733,-0.0822003322158494,-1.42484780938663,3.55327378711064e-19,0.934487409271058,0.154201198847789,TRUE,10,321.394006219872,0.149451438282911,FALSE
"Clostridium_XVIII",7.85721324781004,0.968954829481164,0.705090879881854,1.37422686511492,0.169371262906908,0.508113788720725,7.85721324781004,85.4378099361611,FALSE,1.64713159996583,11,6.83715847709632,1.75840723503848,11,FALSE,1.75840723503848,2.65283170639273,-0.31738966814249,0.968954829481164,0.677385983379107,0.72560611439797,0.705090879881854,3.9162778260619,-0.437413166516418,1.37422686511492,8.99266112962524e-05,0.661811737165606,0.169371262906908,TRUE,6,205.577163707963,0.36865432023463,FALSE
"Ruminococcus",26.882560091742,-1.06668501453723,0.783380504114013,-1.36164355499711,NA,NA,26.882560091742,3325.99726229525,FALSE,2.28110120888765,11,4.90385925318222,2.34632901761992,7,FALSE,2.34632901761992,5.5311318124374,-0.600515993784033,-1.06668501453723,0.751823782484093,0.810388452589261,0.783380504114013,7.35695244191671,-0.741022397179196,-1.36164355499711,1.88156345401139e-13,0.45867986035999,0.173310402680689,TRUE,14,268.804514577452,8.75797853170895,TRUE
"Faecalibacterium",213.857887044972,-0.663643172596021,0.722533858342489,-0.918494219936536,0.358360183628371,0.820782622007699,213.857887044972,56681.8438148913,FALSE,2.00376590999474,9,4.5763677823381,2.0571339643941,9,FALSE,2.0571339643941,8.13694530754118,-0.152727550074801,-0.663643172596021,0.698631992399035,0.750307969243573,0.722533858342489,11.6469692142206,-0.203553149287184,-0.918494219936536,2.37765320022397e-31,0.83870270796587,0.358360183628371,TRUE,7,409.932023597238,0.0923004475561846,FALSE
"Lactobacillus",3.45033294535001,-1.3847291682038,1.51283193898994,-0.915322536836668,0.360022331204402,0.820782622007699,3.45033294535001,178.737094554662,FALSE,8.09351008681376,7,8.5261784638602,8.14497140820353,5,FALSE,8.14497140820353,3.65503085747051,-3.97022460424312,-1.3847291682038,1.41530543529914,1.54501616501674,1.51283193898994,2.58250322955763,-2.56969777672203,-0.915322536836668,0.00980864441583106,0.010178727161449,0.360022331204402,TRUE,16,99.7491591160822,0.659545271183486,FALSE
"Unclassified_Clostridiales",47.7834460992675,-0.508444721180834,0.605031576395402,-0.840360637390194,0.400706212229107,0.820782622007699,47.7834460992675,5879.98966913829,FALSE,1.3503949249352,9,3.67314436874535,1.39680522140725,8,FALSE,1.39680522140725,6.59997963442588,-1.49579676535448,-0.508444721180834,0.579637587715045,0.625028136701977,0.605031576395402,11.3863900035249,-2.39316708724058,-0.840360637390194,4.88824957232123e-30,0.016703632326796,0.400706212229107,TRUE,7,313.4081439021,0.948213856107796,FALSE
"Unclassified_Firmicutes",16.0480326304395,-0.626353855378811,0.75449475468701,-0.830163299993575,0.406446461899081,0.820782622007699,16.0480326304395,1274.74679909632,FALSE,2.00227331223667,9,6.04121184750716,2.09650193026933,10,FALSE,2.09650193026933,5.03650369181227,-1.55758836743412,-0.626353855378811,0.715862137864749,0.775495656341115,0.75449475468701,7.03557769773241,-2.00850688807597,-0.830163299993575,1.9843710125048e-12,0.0445894548315017,0.406446461899081,TRUE,10,235.930124660797,0.220029930268524,FALSE
"Parabacteroides",65.6496691754745,0.871144380905756,1.0906308473802,0.798752742963697,NA,NA,65.6496691754745,26744.0673648554,FALSE,4.74313354238776,8,3.11563244188801,4.67826679698402,8,FALSE,4.67826679698402,5.06406634748183,0.618525620291204,0.871144380905756,1.05576905625234,1.13281150332688,1.0906308473802,4.79656636789275,0.546009303820357,0.798752742963697,1.61408494858275e-06,0.585059541845807,0.424433797281269,TRUE,23,277.178725765151,8.55505129331701,TRUE
"Dorea",9.34016589486288,0.556786288303609,0.710492756512177,0.783662160099822,0.433238371472467,0.820782622007699,9.34016589486288,286.119819408684,FALSE,1.65412094884905,11,6.71833628647766,1.77627983249597,12,FALSE,1.77627983249597,3.72137706047835,-1.55369100041371,0.556786288303609,0.670221927361725,0.72657174453201,0.710492756512177,5.55245495343199,-2.13838621183164,0.783662160099822,2.81685319031708e-08,0.0324854106124308,0.433238371472467,TRUE,8,209.747124476484,0.85231375895174,FALSE
"Unclassified_Enterobacteriaceae",2.31652898096715,-1.60320645619608,2.19441594489275,-0.730584582165178,NA,NA,2.31652898096715,47.1967071955722,FALSE,20.1793037339004,6,9.85248154001941,18.3953206854545,9,FALSE,18.3953206854545,2.55183327018872,-0.813906087424105,-1.60320645619608,2.10608471131582,2.27135564649032,2.19441594489275,1.21164797240962,-0.358334939172448,-0.730584582165178,0.22564716275009,0.72009267405743,0.465032932189217,TRUE,37,84.1185468046383,10.727644806407,TRUE
"Flavonifractor",10.2814540046122,0.480230216947957,0.745983918150357,0.643754114885844,0.519734892576958,0.820782622007699,10.2814540046122,182.330118659466,FALSE,1.93979728069569,10,6.64356705423244,2.04571835247535,9,FALSE,2.04571835247535,2.67259758058743,0.654753659885813,0.480230216947957,0.723715844189273,0.773399381533956,0.745983918150357,3.69288250636733,0.846591910362248,0.643754114885844,0.000221726479815762,0.397222624534205,0.519734892576958,TRUE,9,219.083457673037,0.312556805695292,FALSE
"Clostridium_sensu_stricto",11.9146025356956,0.964610438455334,1.54869693601711,0.622852939152892,0.53338116605813,0.820782622007699,11.9146025356956,787.69711848579,FALSE,9.5427188699266,10,6.49052450791928,9.3154497938701,8,FALSE,9.3154497938701,1.6412052724609,1.96988919304537,0.964610438455334,1.50876882319656,1.61170815951134,1.54869693601711,1.08777782734386,1.22223690524879,0.622852939152892,0.27669320017161,0.221618051458428,0.53338116605813,TRUE,29,154.175599630659,1.93483342166777,FALSE
"Prevotella",697.121845988633,-0.87339277140602,1.52811510262777,-0.571549073694856,0.56762750512074,0.820782622007699,697.121845988633,3527892.53442669,FALSE,9.21058823458412,11,10.1563320118997,9.23941077140408,7,FALSE,9.23941077140408,10.0180445207151,-0.379533033547342,-0.87339277140602,1.47869390009338,1.58753121948396,1.52811510262777,6.77492787390448,-0.239071225113111,-0.571549073694856,1.2446833888794e-11,0.811050353910637,0.56762750512074,TRUE,100,303.432710493569,0.0823081301455743,FALSE
"Unclassified_Ruminococcaceae",45.5139857896521,0.350788584501482,0.654249012299924,0.536169834278132,0.591841179636854,0.820782622007699,45.5139857896521,3145.69007586888,FALSE,1.61045258616633,11,3.76885369834675,1.65597728405002,9,FALSE,1.65597728405002,4.79600715638763,0.751461551032182,0.350788584501482,0.633536099421429,0.679273224196377,0.654249012299924,7.57021921997428,1.10627288735134,0.536169834278132,3.72594927317863e-14,0.268608423261443,0.591841179636854,TRUE,7,313.699022778038,0.14812803743751,FALSE
"Unclassified_Bacteroidales",74.9139796259628,0.436118698054738,0.86944177088605,0.501607712739967,0.61594349299389,0.820782622007699,74.9139796259628,19098.3220584147,FALSE,2.95848458372178,11,2.98246785757275,2.95925494996492,5,FALSE,2.95925494996492,6.7796423679312,-1.45159766728163,0.436118698054738,0.83909378196787,0.901716246784394,0.86944177088605,8.07971947072634,-1.60981647215315,0.501607712739967,6.49159320456276e-16,0.107437928094245,0.61594349299389,TRUE,20,314.654928955207,0.334111122929605,FALSE
