"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Parabacteroides.Otu1736"	"Faecalibacterium.Otu0067"	"Lactobacillus.Otu1332"	"Bacteroides.Otu2038"	"Enterococcus.Otu1019"	"Bacteroides.Otu0863"	"Bacteroides.Otu2654"	"Bacteroides.Otu0848"	"Prevotella.Otu1987"	"Bacteroides.Otu0929"	"Bacteroides.Otu2065"	"Bacteroides.Otu2431"	"Bacteroides.Otu2625"	"Prevotella.Otu1633"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Bacteroides.Otu0069"	"Bacteroides.Otu1201"	"Clostridium_XI.Otu1804"	"Alistipes.Otu2508"	"Bacteroides.Otu0661"	"Bacteroides.Otu0786"	"Bacteroides.Otu2765"	"Bacteroides.Otu0006"	"Escherichia_Shigella.Otu2393"	"Alistipes.Otu1466"	"Blautia.Otu2475"	"Faecalibacterium.Otu0751"	"Bacteroides.Otu0480"	"Bacteroides.Otu2343"	"Akkermansia.Otu1935"	"Megamonas.Otu2657"	"Bacteroides.Otu2437"	"Bacteroides.Otu2104"	"Lachnospiracea_incertae_sedis.Otu0651"	"Prevotella.Otu2602"	"Bacteroides.Otu2216"	"Lactobacillales.Otu0504"	"Prevotella.Otu1994"	"Lachnospiracea_incertae_sedis.Otu0778"	"Clostridium_XI.Otu2681"	"Bacteroides.Otu0877"	"Prevotella.Otu1803"	"Bacteroides.Otu2375"	"Roseburia.Otu1051"	"Bacteroides.Otu1624"	"Sutterella.Otu0171"	"Prevotella.Otu2501"	"Prevotella.Otu1319"	"Bacteroidales.Otu0696"	"Bacteroides.Otu2120"	"Lachnospiraceae.Otu2512"	"Sutterella.Otu1997"	"Roseburia.Otu2728"	"Lachnospiraceae.Otu2222"	"Clostridium_XlVa.Otu0236"	"Blautia.Otu2495"	"Bacteroides.Otu2460"	"Clostridiales.Otu1597"	"Bacteroidales.Otu1168"	"Bacteria.Otu0435"	"Lachnospiracea_incertae_sedis.Otu0113"	"Parabacteroides.Otu1378"	"Lachnospiraceae.Otu2599"	"Lachnospiracea_incertae_sedis.Otu1990"	"Dorea.Otu1142"	"Bacteroides.Otu2069"	"Gemmiger.Otu0907"	"Bacteroides.Otu1976"	"Bacteroides.Otu2416"	"Burkholderiales.Otu0023"	"Lachnospiracea_incertae_sedis.Otu2746"	"Prevotella.Otu2666"	"Lachnospiraceae.Otu0898"	"Bacteroides.Otu1669"	"Lachnospiraceae.Otu0790"	"Bacteroides.Otu2482"	"Roseburia.Otu2084"	"Prevotella.Otu1563"	"Bacteroides.Otu0775"	"Parabacteroides.Otu1107"	"Prevotella.Otu0882"	"Turicibacter.Otu0468"	"Prevotella.Otu0634"	"Prevotella.Otu2327"	"Bacteroides.Otu1854"	"Bacteroides.Otu0312"	"Prevotella.Otu0773"	"Lachnospiraceae.Otu1734"	"Bacteroides.Otu0752"	"Bacteroides.Otu2383"	"Bacteroides.Otu0763"	"Bacteroides.Otu1411"	"Blautia.Otu0620"	"Bacteroides.Otu1260"	"Prevotella.Otu2227"	"Bacteroides.Otu1565"	"Bacteroides.Otu2534"	"Bacteroides.Otu1800"	"Bacteroides.Otu2566"	"other"
384	1158	0	71	0	1823	0	1848	26	68	0	1011	0	345	14	0	11	24	310	10	6	673	30	12	232	0	96	123	39	0	29	0	0	0	14	1	0	0	0	0	150	0	43	0	85	14	2	0	0	0	0	0	2	0	0	0	60	75	14	0	0	0	4	0	1	1	4	12	86	0	0	0	0	0	10	25	36	46	39	0	1	0	0	1	0	0	0	160	0	2	7	170	17	1	53	9	0	0	0	0	0	2061
5902	3478	0	490	0	560	0	39	414	425	1	1264	1	1385	951	0	27	1206	178	26	353	683	0	649	825	1	726	176	189	1	0	89	0	708	244	1	0	0	0	0	0	1	115	0	337	5	6	0	0	0	0	83	0	0	5	0	7	16	150	0	3	0	1	0	1	82	0	0	10	0	60	0	66	0	49	113	0	37	1	0	303	0	0	0	1	0	1	0	0	4	106	4	71	150	14	78	0	36	97	217	124	2540
5338	3397	3	101	0	489	0	31	777	253	0	743	1	464	1177	0	12	1256	495	0	698	423	0	401	641	0	435	31	41	0	1	2	0	125	137	0	0	0	0	0	1	0	74	1	230	5	3	1	0	0	0	75	3	0	0	3	45	6	165	0	7	0	14	0	6	1	14	0	25	0	71	0	2	0	11	89	98	6	79	0	58	0	0	0	0	1	2	0	0	7	153	3	71	386	24	87	0	25	294	168	169	2637
48	33	30	2	0	1	0	537	0	20	0	6	0	39	0	1	0	4	78	70	486	3	3	7	6	1	44	2	0	42	3	66	0	11	3	0	0	0	0	0	0	21	1	0	1	0	0	9	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	31	1	1	10	7	0	0	1	0	2	0	1	0	0	0	0	0	5	0	0	25	36	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	535
0	1	2	106	2	1	2	31	0	1	4	0	0	0	0	41	1018	0	11	91	0	0	0	9	0	7	0	69	31	0	0	0	0	0	7	0	0	0	392	0	29	0	15	0	0	44	0	3	3	0	5	1	2	0	0	15	17	7	0	0	0	0	3	2	52	0	8	0	2	0	0	0	0	0	26	0	2	0	6	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	18	0	0	0	0	0	0	550
420	45	0	1	0	18	0	0	26	89	0	9	0	1	7	1	11	52	1	4	0	1	607	3	26	35	0	2	0	0	316	0	0	0	3	0	0	0	0	0	15	0	1	0	3	5	0	0	0	0	0	5	0	0	0	0	5	0	1	0	5	0	0	0	3	2	0	90	0	0	62	18	1	0	0	1	31	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	6	0	0	16	0	1	462
79	2	0	631	0	9	1	4	6	51	0	35	0	45	0	0	5	15	0	32	0	16	45	8	2	0	0	57	77	0	46	0	0	0	9	1	0	0	0	0	65	1	14	0	0	18	0	0	0	0	0	0	2	0	145	86	5	6	8	0	0	0	8	0	13	0	4	7	28	0	8	0	0	0	1	0	0	0	25	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	5	0	0	0	0	0	531
115	2642	0	16	10	9	1158	48	6654	141	0	72	0	69	1696	0	7	8	144	0	0	68	362	38	7	0	0	33	4	0	238	0	0	0	20	0	0	0	0	0	0	0	69	0	11	26	2	0	0	0	0	1	0	0	0	1	13	24	169	0	393	0	3	0	41	0	13	72	69	0	7	0	0	0	2	42	0	0	17	0	1	0	0	0	0	0	18	0	0	38	7	7	5	20	5	1	0	3	5	45	0	1442
532	0	0	0	0	8	1711	0	0	0	0	0	11	0	0	0	15	58	0	0	0	0	0	0	19	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34
502	5	56	33	0	75	5	137	7	334	36	85	0	10	2	91	2	200	105	1238	0	58	0	367	60	0	0	435	4	0	0	0	0	0	187	11	1	0	2	0	1	47	3	0	38	28	0	0	63	0	0	7	549	0	2	3	27	62	1	0	0	0	187	0	61	503	21	0	15	0	2	0	430	47	4	0	2	0	39	0	0	0	0	296	0	0	0	2	0	35	1	7	10	2	149	7	0	0	0	0	4	2136
