"Bacteroidetes"	"Firmicutes"	"Proteobacteria"	"Unclassified_Bacteria"	"Verrucomicrobia"	"Actinobacteria"	"Fusobacteria"	"TM7"	"Cyanobacteria_Chloroplast"	"Lentisphaerae"
9052	2225	253	10	0	8	0	0	0	1
2261	6855	60	41	0	216	0	0	0	0
7129	5339	378	27	0	128	0	0	0	0
23519	2156	83	29	97	1	0	1	0	0
21005	1507	27	51	2	0	0	0	0	0
1691	449	11	18	68	2	0	0	1	0
170	2373	17	15	0	66	0	0	0	0
2406	3632	33	16	0	67	0	0	0	0
1980	343	54	36	0	4	0	0	0	0
4287	1557	100	6	0	6	1	0	0	0
487	1594	77	3	0	0	0	0	0	0
14308	1670	91	59	0	3	0	0	0	0
3378	2453	78	28	0	8	0	2	0	0
1593	943	32	18	0	19	0	0	0	0
679	1732	0	0	0	0	0	0	0	0
6739	679	323	30	0	4	0	0	0	0
1637	1928	11	30	0	0	0	0	0	0
2231	158	0	4	0	1	0	0	0	0
2710	6043	61	19	0	6	0	0	0	0
435	3878	1585	143	0	98	8	7	0	0
1755	169	616	2	0	0	0	0	0	0
1	3081	23	2	0	0	0	0	0	0
19160	291	5	4	0	2	0	0	0	0
15393	753	249	69	0	7	2	0	0	0
7876	2001	916	12	4	2	0	0	0	0
1727	690	58	19	544	67	0	0	0	0
8547	3221	222	17	0	8	0	0	0	0
9701	2913	683	107	0	12	1	2	0	0
0	5207	1	0	0	0	0	0	0	0
3092	209	7	6	0	3	0	0	0	0
9883	1230	670	12	0	3	0	0	0	0
0	3450	309	44	0	0	0	0	0	0
3204	903	367	3	0	3	0	3	0	0
902	6747	1451	30	0	19	29	1	0	0
11164	2179	534	24	0	3	0	0	0	0
2461	568	5	3	0	5	0	0	0	0
2242	753	63	6	0	0	0	0	0	0
2513	253	1	7	0	4	0	0	0	0
4775	1336	61	1	0	1	0	0	0	0
154	2440	15	7	3	50	0	1	0	0
2496	196	41	1	0	0	204	0	0	0
2420	68	0	0	2	1	0	0	0	0
15596	1314	1008	40	0	4	0	0	0	0
2723	4358	57	16	0	124	0	1	0	0
15536	1459	0	6	0	0	0	0	0	0
547	2268	344	34	0	10	0	6	0	0
5388	897	140	9	0	0	0	0	0	0
11720	906	17	13	88	0	21	0	0	0
16966	2238	5	46	553	4	0	0	0	0
7	2923	1	8	0	6	0	0	0	0
13556	3554	591	47	0	6	0	0	0	0
8681	1461	25	46	0	3	2	0	0	0
2225	363	29	59	18	2	1	0	0	0
31254	1324	75	27	0	21	1	0	0	0
3006	597	5	29	0	5	0	0	0	0
9129	813	339	16	1	3	0	0	0	1
11	3142	23	21	0	26	0	0	0	0
2278	187	159	4	0	0	0	0	0	0
9838	1517	326	34	0	15	0	0	0	0
1613	705	106	6	0	1	0	0	0	0
1497	847	51	14	7	8	0	0	0	0
9798	3037	627	58	0	43	0	1	0	0
3824	427	45	18	0	0	0	0	0	0
5786	1613	16	17	0	4	0	0	0	0
8400	3277	229	1190	22	44	0	1	0	0
17043	1614	1163	45	0	12	459	6	0	0
5845	2346	109	70	0	7	31	1	0	0
