"Bacteroidales"	"Clostridiales"	"Lactobacillales"	"Erysipelotrichales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Pasteurellales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Verrucomicrobiales"	"Bifidobacteriales"	"Rhizobiales"	"Fusobacteriales"	"Coriobacteriales"	"Unclassified_Bacilli"	"Unclassified_Proteobacteria"	"Bacillales"	"Campylobacterales"	"Actinomycetales"	"Unclassified_Bacteroidetes"	"Desulfovibrionales"	"Pseudomonadales"	"Unclassified_Clostridia"	"TM7_order_incertae_sedis"	"Unclassified_Alphaproteobacteria"	"Flavobacteriales"	"Unclassified_Gammaproteobacteria"	"Chloroplast_order_incertae_sedis"	"Unclassified_Actinobacteria"	"Unclassified_Betaproteobacteria"	"Sphingomonadales"	"Victivallales"	"Caulobacterales"
9051	1974	5	143	28	1	160	3	10	71	0	7	86	0	1	0	0	0	3	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0
2260	6695	4	71	43	4	0	49	41	40	0	205	0	0	10	0	0	1	7	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
7129	5257	4	59	2	366	0	12	27	17	0	122	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23514	1792	17	141	197	50	0	20	29	7	97	0	10	0	1	1	0	1	0	0	5	0	2	0	1	0	0	1	0	0	0	0	0	0
20964	1423	2	17	45	0	1	0	51	19	2	0	26	0	0	0	0	0	0	0	41	0	0	1	0	0	0	0	0	0	0	0	0	0
1691	374	0	30	32	2	9	0	18	13	68	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
168	797	503	1023	0	9	3	3	15	35	0	27	2	0	21	12	0	3	0	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2406	3518	30	58	8	5	0	0	16	18	0	60	24	0	6	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1978	251	3	68	1	36	18	0	36	19	0	1	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4286	569	74	60	773	84	0	11	6	80	0	3	4	1	1	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0
487	1546	3	6	14	2	32	15	3	17	0	0	28	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14308	455	1174	25	1	0	14	0	59	14	0	0	69	0	3	0	1	1	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0
3378	2334	16	74	9	16	6	0	28	13	0	2	40	0	3	0	0	2	2	3	0	14	0	5	2	0	0	0	0	0	0	0	0	0
1591	753	8	22	156	1	27	2	18	1	0	3	0	0	16	2	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
679	4	1713	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6737	632	5	19	16	2	287	9	30	7	0	3	21	0	0	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1637	1805	28	5	35	0	0	10	30	55	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2231	142	0	15	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2710	5502	72	301	117	43	0	0	19	43	0	3	15	0	1	4	3	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
425	3739	47	67	1	510	0	1070	143	22	0	92	3	8	0	0	1	2	0	6	10	0	0	0	7	0	0	1	0	0	0	0	0	0
1755	127	2	30	9	605	0	1	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1	2235	2	760	11	18	2	2	2	66	0	0	0	0	0	2	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
19160	217	69	5	0	0	0	0	4	0	0	1	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
