"Bacteroidales"	"Clostridiales"	"Lactobacillales"	"Erysipelotrichales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Pasteurellales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Verrucomicrobiales"	"Bifidobacteriales"	"Rhizobiales"	"Fusobacteriales"	"other"
9051	1974	5	143	28	1	160	3	10	71	0	7	86	0	10
2260	6695	4	71	43	4	0	49	41	40	0	205	0	0	21
7129	5257	4	59	2	366	0	12	27	17	0	122	0	0	6
23514	1792	17	141	197	50	0	20	29	7	97	0	10	0	12
20964	1423	2	17	45	0	1	0	51	19	2	0	26	0	42
1691	374	0	30	32	2	9	0	18	13	68	0	0	0	3
168	797	503	1023	0	9	3	3	15	35	0	27	2	0	56
2406	3518	30	58	8	5	0	0	16	18	0	60	24	0	11
1978	251	3	68	1	36	18	0	36	19	0	1	0	0	6
4286	569	74	60	773	84	0	11	6	80	0	3	4	1	6
487	1546	3	6	14	2	32	15	3	17	0	0	28	0	8
14308	455	1174	25	1	0	14	0	59	14	0	0	69	0	12
3378	2334	16	74	9	16	6	0	28	13	0	2	40	0	31
1591	753	8	22	156	1	27	2	18	1	0	3	0	0	23
679	4	1713	15	0	0	0	0	0	0	0	0	0	0	0
6737	632	5	19	16	2	287	9	30	7	0	3	21	0	7
1637	1805	28	5	35	0	0	10	30	55	0	0	0	0	1
2231	142	0	15	0	0	0	0	4	1	0	0	0	0	1
2710	5502	72	301	117	43	0	0	19	43	0	3	15	0	14
425	3739	47	67	1	510	0	1070	143	22	0	92	3	8	27
1755	127	2	30	9	605	0	1	2	0	0	0	0	0	11
1	2235	2	760	11	18	2	2	2	66	0	0	0	0	8
19160	217	69	5	0	0	0	0	4	0	0	1	2	0	4
15389	714	3	24	5	0	220	9	69	5	0	1	13	2	19
7876	1660	5	16	311	0	900	1	12	9	4	2	0	0	15
1726	535	15	75	55	0	16	1	19	9	544	65	37	0	8
8547	3075	3	8	124	1	116	88	17	10	0	8	11	0	7
9701	2623	4	64	208	0	524	3	107	13	0	12	150	1	9
0	0	5207	0	0	0	0	1	0	0	0	0	0	0	0
3092	173	11	20	1	0	6	0	6	2	0	1	1	0	4
9882	1076	11	69	45	241	409	12	12	29	0	2	7	0	3
0	2687	6	171	325	220	0	76	44	250	0	0	0	0	24
3204	883	2	14	1	317	1	1	3	3	0	1	0	0	53
902	5916	213	436	160	1342	1	76	30	18	0	11	11	29	34
11164	2073	1	67	0	0	468	29	24	38	0	1	34	0	5
2461	525	0	1	37	1	0	4	3	4	0	5	0	0	1
2242	651	0	30	71	62	0	0	6	1	0	0	0	0	1
2513	245	0	4	2	0	0	0	7	2	0	4	0	0	1
4749	741	22	6	312	3	38	15	1	156	0	0	1	0	130
154	2130	24	102	105	11	1	0	7	79	3	21	0	0	33
2490	188	1	3	0	0	0	41	1	4	0	0	0	204	6
2420	63	4	0	0	0	0	0	0	0	2	0	0	0	2
15596	1262	9	16	9	4	1004	0	40	14	0	4	0	0	4
2723	4105	7	236	2	16	0	36	16	5	0	124	0	0	9
15535	1218	1	238	0	0	0	0	6	2	0	0	0	0	1
547	1885	37	296	27	22	0	319	34	20	0	0	1	0	21
5388	791	1	19	86	113	21	1	9	0	0	0	0	0	5
11712	685	16	50	145	4	0	0	13	10	88	0	0	21	21
16966	1980	3	234	10	0	3	0	46	11	553	1	0	0	5
7	2392	196	292	0	0	0	0	8	3	0	0	0	0	47
13555	3411	5	48	82	0	355	2	47	7	0	5	216	0	21
8680	1443	9	4	4	1	0	12	46	1	0	2	4	2	10
2225	349	4	7	1	0	20	0	59	2	18	0	0	1	11
31248	953	75	101	192	57	0	0	27	2	0	17	2	1	27
3006	570	0	18	8	4	0	0	29	1	0	2	0	0	4
9125	596	1	89	121	3	318	0	16	6	1	0	2	0	24
9	2865	26	4	228	1	0	18	21	18	0	25	0	0	8
2278	185	1	0	1	0	152	0	4	0	0	0	5	0	2
9836	1463	1	35	2	2	143	1	34	13	0	15	180	0	5
1613	193	4	0	508	0	105	0	6	0	0	0	0	0	2
1497	725	1	40	7	1	45	4	14	74	7	4	1	0	4
9797	2721	19	76	207	0	484	0	58	11	0	33	103	0	55
3824	349	0	12	29	5	0	0	18	37	0	0	0	0	40
5786	1441	1	106	8	0	0	0	17	56	0	2	16	0	3
8393	3110	19	83	31	0	216	0	1190	19	22	43	0	0	37
17043	1217	11	36	304	64	0	1070	45	41	0	4	0	459	48
5845	2091	3	138	17	31	64	0	70	97	0	2	7	31	13
