"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","visit","SE_Intercept","SE_visit","WaldStatistic_Intercept","WaldStatistic_visit","WaldPvalue_Intercept","WaldPvalue_visit","betaConv","betaIter","deviance","maxCooks","replace"
"Pasteurellales",15.1339170335892,1.42816497064562,0.362092519030021,3.94419905296971,8.00671329160892e-05,0.00112093986082525,15.1339170335892,2547.89792109496,FALSE,4.67779127342563,14,9.73018748910227,5.02909700858706,11,FALSE,5.02909700858706,-0.172162744607719,1.42816497064562,0.928751992042368,0.362092519030021,-0.185369986910203,3.94419905296971,0.852938847416745,8.00671329160892e-05,TRUE,14,364.473449539828,NA,TRUE
"Lactobacillales",48.3835848670513,-0.975789773639361,0.279760931913852,-3.48794153266489,0.000486754506224246,0.00340728154356972,48.3835848670513,24300.8114842116,FALSE,3.11578704971656,13,3.26980578188485,3.12278097572188,9,FALSE,3.12278097572188,7.46449787442967,-0.975789773639361,0.701636298378375,0.279760931913852,10.638699696241,-3.48794153266489,1.96857316944449e-26,0.000486754506224246,TRUE,14,555.147278620454,NA,TRUE
"Unclassified_Bacteria",28.7516167266105,-0.560172095247545,0.168557271416083,-3.32333390628258,0.000889483745167887,0.00415092414411681,28.7516167266105,3489.59166846767,FALSE,1.02479521633456,13,2.58323955988357,1.09048042529675,12,FALSE,1.09048042529675,5.9571451987903,-0.560172095247545,0.421625273329554,0.168557271416083,14.1290040602809,-3.32333390628258,2.5167847433255e-45,0.000889483745167887,TRUE,5,573.721303593302,NA,FALSE
"Clostridiales",1267.41283901744,0.349686181485873,0.126918249602782,2.75520803808981,0.00586548271678274,0.0205291895087396,1267.41283901744,899017.80218221,FALSE,0.65287973512909,11,0.672626103729574,0.654153886265239,8,FALSE,0.654153886265239,9.4603924354987,0.349686181485873,0.319752281488079,0.126918249602782,29.5866299732764,2.75520803808981,2.22053512411071e-192,0.00586548271678274,TRUE,4,1079.13341159334,NA,FALSE
"Verrucomicrobiales",2.87126943838608,-1.59066629530356,0.796328339462407,-1.99750054905417,0.0457708348750716,0.1281583376502,2.87126943838608,141.792780902274,FALSE,24.6719613542215,8,0.0294659412517381,24.6719613542215,12,TRUE,6.30536767364657,4.21859167754215,-1.59066629530356,1.98504364420455,0.796328339462407,2.12518837550931,-1.99750054905417,0.0335708976189039,0.0457708348750716,TRUE,15,129.031542561681,NA,TRUE
"Burkholderiales",79.1823972225791,-0.79909493275619,0.436865629009161,-1.82915496137471,0.0673763973372199,0.146514842286805,79.1823972225791,36440.4955299509,FALSE,8.09466943046969,11,4.63836540913794,7.7343658160383,10,FALSE,7.7343658160383,7.88212714069452,-0.79909493275619,1.09947380328667,0.436865629009161,7.16899949515159,-1.82915496137471,7.55478354760123e-13,0.0673763973372199,TRUE,38,491.843057863025,NA,TRUE
"Fusobacteriales",2.9188121606601,1.41110058116234,0.787785837739129,1.79122359601191,0.0732574211434024,0.146514842286805,2.9188121606601,328.656677903282,FALSE,24.4875067948027,11,0.031476003963374,24.4875067948027,12,TRUE,7.32806376267448,-2.08327088996497,1.41110058116234,2.00257031202067,0.787785837739129,-1.04029849911381,1.79122359601191,0.298201241287668,0.0732574211434024,TRUE,29,134.179353947214,NA,TRUE
"Bifidobacteriales",9.1367329471485,0.482239804395167,0.31571865822943,1.52743523965165,0.126652819241072,0.221642433671875,9.1367329471485,422.609737240178,FALSE,3.8690371744262,13,3.96735296931055,3.87755742051111,9,FALSE,3.87755742051111,2.01068053995783,0.482239804395167,0.801835529419381,0.31571865822943,2.50759721437361,1.52743523965165,0.01215551395906,0.126652819241072,TRUE,11,376.297922442418,NA,FALSE
"Enterobacteriales",21.4086424843932,0.467825502984037,0.363207119137222,1.28804056510602,0.197731842807572,0.307582866589556,21.4086424843932,2845.14357957322,FALSE,5.35388920259226,11,4.59671891954575,5.28858587818597,9,FALSE,5.28858587818597,3.252818933898,0.467825502984037,0.917315547653042,0.363207119137222,3.54601962456688,1.28804056510602,0.000391097080507046,0.197731842807572,TRUE,19,428.103035224402,NA,TRUE
"Rhizobiales",11.5114350039113,-0.466765691642584,0.397380416036342,-1.17460668117046,0.240152109096605,0.336212952735246,11.5114350039113,708.353974859923,FALSE,6.08153392715104,12,8.27051823160132,6.27320800918733,10,FALSE,6.27320800918733,4.50688015297423,-0.466765691642584,0.998530763211589,0.397380416036342,4.51351157021812,-1.17460668117046,6.37629693394768e-06,0.240152109096605,TRUE,18,363.638930811095,NA,FALSE
"Unclassified_Firmicutes",18.236718506406,0.190037913950034,0.205860046723648,0.923141313599068,0.355933567284077,0.453006358361553,18.236718506406,745.4618148443,FALSE,1.46205883626779,13,7.33985488480686,1.64548500442144,9,FALSE,1.64548500442144,3.75561152969353,0.190037913950034,0.52110564094562,0.205860046723648,7.20700609357911,0.923141313599068,5.71954449767733e-13,0.355933567284077,TRUE,6,524.145810562155,NA,FALSE
"Erysipelotrichales",55.7269708499301,0.155892912624275,0.183966995761966,0.847396088513528,0.39677438397625,0.462903447972291,55.7269708499301,5771.35383177412,FALSE,1.25791831032129,12,3.78473670338841,1.35060975355936,12,FALSE,1.35060975355936,5.43637151876255,0.155892912624275,0.464236698294305,0.183966995761966,11.7103441816143,0.847396088513528,1.12820705166903e-31,0.39677438397625,TRUE,5,672.106096427177,NA,TRUE
"Bacteroidales",7439.01436656735,-0.116797617538161,0.222036702414414,-0.526028428039646,0.598868455282268,0.64493525953475,7439.01436656735,134311123.272833,FALSE,2.00571501751521,14,2.00453832737031,2.00572450997135,5,FALSE,2.00572450997135,13.11810783339,-0.116797617538161,0.559219541598134,0.222036702414414,23.4578852446772,-0.526028428039646,1.09833898906569e-121,0.598868455282268,TRUE,7,1302.67484248218,NA,FALSE
"Selenomonadales",70.7790595841449,0.120908298731469,0.27843429186547,0.43424356217548,0.664111582542408,0.664111582542408,70.7790595841449,30894.674527032,FALSE,3.0652458872871,12,4.44725255481077,3.13349434946177,12,FALSE,3.13349434946177,5.86807745319111,0.120908298731469,0.701680627980346,0.27843429186547,8.36288935335332,0.43424356217548,6.12006064209508e-17,0.664111582542408,TRUE,11,642.542798361329,NA,FALSE
