"feature","visit","Drug.Before.Diet","mean","sd","median","incidence"
"Bacteroidales",1,"DrugBefore_NO",0.64914475903477,0.320266322067798,0.789950722363473,1
"Bacteroidales",1,"DrugBefore_YES",0.8116430513425,0.126950163505773,0.825370675453048,1
"Bacteroidales",2,"DrugBefore_NO",0.549230031495782,0.314059677862457,0.663512957630605,0.857142857142857
"Bacteroidales",2,"DrugBefore_YES",0.648882283003208,0.32952171204283,0.783212162564899,1
"Bacteroidales",3,"DrugBefore_NO",0.413230491673535,0.435799392762149,0.376383249087054,0.833333333333333
"Bacteroidales",3,"DrugBefore_YES",0.709937239966471,0.259553759133684,0.823303412617768,1
"Bacteroidales",4,"DrugBefore_NO",0.409264804865974,0.289751664935997,0.422465419368398,1
"Bacteroidales",4,"DrugBefore_YES",0.680252457042672,0.302484030376459,0.722930173634399,1
"Clostridiales",1,"DrugBefore_NO",0.212417254226936,0.191196211341253,0.148183663064781,1
"Clostridiales",1,"DrugBefore_YES",0.114866458823657,0.0761953321058296,0.0881929445644348,1
"Clostridiales",2,"DrugBefore_NO",0.207235975345901,0.241665950949071,0.120019436345967,0.857142857142857
"Clostridiales",2,"DrugBefore_YES",0.234209680945537,0.290364787387496,0.136908359306098,1
"Clostridiales",3,"DrugBefore_NO",0.450985480698024,0.359709961537686,0.477604805114238,1
"Clostridiales",3,"DrugBefore_YES",0.239381271587012,0.254161258778497,0.131892862528433,1
"Clostridiales",4,"DrugBefore_NO",0.464741094380066,0.215883358947582,0.53610766982628,1
"Clostridiales",4,"DrugBefore_YES",0.232583810154059,0.204971349767729,0.195469110962069,1
"Lactobacillales",1,"DrugBefore_NO",0.0293036050793179,0.0610414870443972,0.00146328467417082,0.9
"Lactobacillales",1,"DrugBefore_YES",0.00122965288617844,0.0015603299367675,0.000432937916702745,0.846153846153846
"Lactobacillales",2,"DrugBefore_NO",0.145731525355842,0.376635292840448,0.00164541341011929,1
"Lactobacillales",2,"DrugBefore_YES",0.073184826109373,0.223950813089394,0.00057889171593489,0.9
"Lactobacillales",3,"DrugBefore_NO",0.0130029100116552,0.0264522908834169,0.00105922746798869,0.833333333333333
"Lactobacillales",3,"DrugBefore_YES",0.000664079612701091,0.000547068100538643,0.00067820233480055,0.75
"Lactobacillales",4,"DrugBefore_NO",0.00425427895641292,0.00467112276594901,0.00275929294236263,1
"Lactobacillales",4,"DrugBefore_YES",0.00159955348929345,0.00277153716805545,0.000307668640873779,1
"Erysipelotrichales",1,"DrugBefore_NO",0.0486851632623643,0.119780831794338,0.00905828853365524,1
