"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Faecalibacterium"	"Parabacteroides"	"Lachnospiracea_incertae_sedis"	"Alistipes"	"Blautia"	"Roseburia"	"Unclassified_Clostridiales"	"Lactobacillus"	"Clostridium_XI"	"Erysipelotrichaceae_incertae_sedis"	"Enterococcus"	"Unclassified_Ruminococcaceae"	"Sutterella"	"Escherichia_Shigella"	"Megamonas"	"Ruminococcus"	"Clostridium_XlVa"	"Haemophilus"	"Unclassified_Bacteroidales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Clostridium_XVIII"	"Veillonella"	"Dorea"	"Akkermansia"	"Unclassified_Clostridiaceae_1"	"Clostridium_IV"	"Clostridium_sensu_stricto"	"Streptococcus"	"Turicibacter"	"Klebsiella"	"Unclassified_Lactobacillales"	"Bifidobacterium"	"Unclassified_Enterobacteriaceae"	"Flavonifractor"	"Barnesiella"	"Gemmiger"	"Phascolarctobacterium"	"Oscillibacter"	"Unclassified_Burkholderiales"	"Odoribacter"	"Fusobacterium"	"Butyricicoccus"	"Parasutterella"	"Coprobacillus"	"Anaerovorax"	"Paraprevotella"	"Cellulosilyticum"	"Unclassified_Prevotellaceae"	"Acidaminococcus"	"Coprococcus"	"Unclassified_Bacilli"	"Unclassified_Fusobacteriaceae"	"Unclassified_Proteobacteria"	"Weissella"	"Clostridium_XlVb"	"Dialister"	"Campylobacter"	"Collinsella"	"Unclassified_Bacillales"	"Megasphaera"	"Unclassified_Acidaminococcaceae"	"Eggerthella"	"Holdemania"	"Unclassified_Bacteroidetes"	"Pseudoflavonifractor"	"Porphyromonas"	"Unclassified_Erysipelotrichaceae"	"Acetobacterium"	"Anaerobacter"	"Unclassified_Veillonellaceae"	"Unclassified_Actinomycetales"	"Unclassified_Selenomonadales"	"Bilophila"	"Butyricimonas"	"Unclassified_Clostridia"	"Clostridium_III"	"Catenibacterium"	"Rothia"	"Enterobacter"	"TM7_genus_incertae_sedis"	"Anaerotruncus"	"Subdoligranulum"	"Unclassified_Porphyromonadaceae"	"Lactococcus"	"Gemella"	"Moraxella"	"Peptoniphilus"	"Pseudomonas"	"Granulicatella"	"Eubacterium"	"Hespellia"	"Finegoldia"	"Anaerostipes"	"Unclassified_Pasteurellaceae"	"Anaerofustis"	"Staphylococcus"	"Anaerococcus"	"Corynebacterium"	"Allisonella"	"Atopobium"	"Abiotrophia"	"Unclassified_Pseudomonadaceae"	"Desulfovibrio"	"Unclassified_Alphaproteobacteria"	"Mogibacterium"	"Unclassified_Peptostreptococcaceae"	"Unclassified_Clostridiales_Incertae_Sedis_XI"	"Unclassified_Gammaproteobacteria"	"Solobacterium"	"Asaccharobacter"	"Erysipelothrix"	"Parvimonas"	"Unclassified_Corynebacteriaceae"	"Streptophyta"	"Howardella"	"Pseudobutyrivibrio"	"Cloacibacterium"	"Clostridium_XIX"	"Scardovia"	"Unclassified_Actinobacteria"	"Unclassified_Flavobacteriales"	"Filifactor"	"Unclassified_Betaproteobacteria"	"Acidovorax"	"Murdochiella"	"Sphingopyxis"	"Pasteurella"	"Victivallis"	"Leuconostoc"	"Unclassified_Coriobacteriaceae"	"Unclassified_Desulfovibrionaceae"	"Citrobacter"	"Diaphorobacter"	"Unclassified_Phyllobacteriaceae"	"Aggregatibacter"	"Gordonibacter"	"Soehngenia"	"Acinetobacter"	"Unclassified_Rikenellaceae"	"Catonella"	"Syntrophococcus"	"Brevundimonas"	"Slackia"
8933	3	523	119	0	270	113	367	69	89	0	10	14	0	139	0	0	0	55	76	3	2	10	71	120	1	11	0	1	33	135	5	1	0	0	7	0	63	0	86	0	0	0	0	0	6	160	0	1	0	0	0	0	0	0	0	0	0	1	19	3	0	0	0	0	1	0	1	0	0	7	0	0	8	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2230	0	2459	1279	0	1192	27	252	499	255	0	240	66	0	35	0	3	0	63	281	44	0	41	40	5	42	46	0	9	5	15	4	0	0	0	205	1	16	0	0	0	11	0	0	0	23	0	0	0	0	0	0	0	5	0	0	0	0	0	0	7	8	0	1	0	2	0	1	0	3	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	2	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7046	1	1701	1054	0	1062	81	242	406	164	0	138	44	0	33	0	341	0	34	254	12	1	27	17	12	0	27	0	0	15	0	4	1	3	0	122	22	25	0	0	0	14	0	0	0	81	0	2	0	0	1	0	0	3	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22205	9	114	878	3	167	1150	247	14	16	0	28	32	0	224	0	1	0	6	11	20	75	29	7	12	12	2	97	8	41	1	11	0	2	0	0	47	19	1	10	101	0	0	0	0	3	0	96	0	63	0	6	0	0	1	0	0	0	0	1	0	0	1	81	1	1	1	5	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	2	2	6	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19596	3	237	201	6	26	1268	71	85	38	0	0	14	0	495	1	0	0	95	64	0	82	51	19	2	0	16	2	0	33	0	2	0	0	0	0	0	18	0	26	33	31	0	0	0	1	0	0	0	7	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	41	4	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
962	37	25	9	68	11	556	6	6	18	0	92	0	0	22	9	1	0	18	2	0	1	18	13	4	0	10	68	6	16	63	0	25	1	0	0	0	19	27	0	31	7	0	39	0	1	0	0	32	0	0	0	0	7	0	0	0	0	2	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	49	163	177	7	50	0	125	55	64	14	92	1018	2	18	3	7	0	5	20	3	5	15	35	4	0	16	0	0	0	0	41	0	0	392	27	2	7	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	3	12	0	0	54	2	0	0	0	1	0	0	21	0	2	0	2	0	0	0	0	5	0	0	0	0	0	0	13	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2394	0	974	1122	11	503	0	154	310	149	4	135	14	0	71	0	4	0	5	28	0	0	16	18	24	1	12	0	0	2	0	26	0	0	0	60	1	17	0	24	0	3	0	0	0	30	0	0	0	0	0	0	0	0	0	0	4	0	1	7	0	0	0	0	0	6	6	0	0	1	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1965	1	71	1	0	30	0	3	5	18	0	4	11	0	26	0	35	0	33	6	0	8	36	19	4	0	0	0	0	32	0	3	0	0	0	1	1	6	0	0	0	3	18	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	8	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3894	2	314	33	351	38	31	23	23	48	0	17	45	10	23	0	32	744	7	3	11	3	6	80	13	9	5	0	0	11	0	62	0	0	0	3	52	13	2	4	20	1	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
