"rownames","q","p-value"
"2 - 1","N_0","0.3298"
"3 - 1","N_0","1"
"4 - 1","N_0","1"
"2 - 1","N_0.25","0.6802"
"3 - 1","N_0.25","1"
"4 - 1","N_0.25","1"
"2 - 1","N_0.5","0.9532"
"3 - 1","N_0.5","0.9762"
"4 - 1","N_0.5","0.9986"
"2 - 1","N_1","1"
"3 - 1","N_1","0.8032"
"4 - 1","N_1","0.9128"
"2 - 1","N_2","1"
"3 - 1","N_2","0.7026"
"4 - 1","N_2","0.7354"
"2 - 1","N_4","1"
"3 - 1","N_4","0.7638"
"4 - 1","N_4","0.6818"
"2 - 1","N_8","1"
"3 - 1","N_8","0.7846"
"4 - 1","N_8","0.6832"
"2 - 1","N_Inf","1"
"3 - 1","N_Inf","0.7758"
"4 - 1","N_Inf","0.7042"
