"feature","visit","Drug.Before.Diet","mean","sd","median","incidence"
"N_0",1,"DrugBefore_NO",36.325,8.01276004951547,35.75,1
"N_0",1,"DrugBefore_YES",28.9001923076923,7.93160998405132,27.06,1
"N_0",2,"DrugBefore_NO",28.7735714285714,13.3698705005838,31.7325,1
"N_0",2,"DrugBefore_YES",25.686,8.34112445790268,27.8375,1
"N_0",3,"DrugBefore_NO",33.7795833333333,7.00930335637335,34.87375,1
"N_0",3,"DrugBefore_YES",30.464375,6.48432061509035,31.83875,1
"N_0",4,"DrugBefore_NO",34.1045833333333,6.28108478223839,31.755,1
"N_0",4,"DrugBefore_YES",28.5771428571429,6.80320687687239,28.435,1
"N_0.25",1,"DrugBefore_NO",21.3513120879897,7.14437323397603,19.2911390220769,1
"N_0.25",1,"DrugBefore_YES",15.6956647589474,6.04253871316817,14.6495675137049,1
"N_0.25",2,"DrugBefore_NO",17.1060310362806,8.62125916325438,17.6243784622973,1
"N_0.25",2,"DrugBefore_YES",14.1232032466842,5.79193878827475,14.942209686915,1
"N_0.25",3,"DrugBefore_NO",21.3833091515277,5.45559163427639,21.4461714767742,1
"N_0.25",3,"DrugBefore_YES",17.1067230531146,5.11190418052372,17.5410554531323,1
"N_0.25",4,"DrugBefore_NO",20.8441264079258,4.28357527481223,19.7496924117757,1
"N_0.25",4,"DrugBefore_YES",16.0712431923184,5.3754607555081,17.3989938463297,1
"N_0.5",1,"DrugBefore_NO",12.7696799522072,6.0463585665816,10.3077816487705,1
"N_0.5",1,"DrugBefore_YES",8.59731862903979,4.19616709202958,7.92109222259039,1
"N_0.5",2,"DrugBefore_NO",10.417297144522,5.753970077224,9.75415584016937,1
"N_0.5",2,"DrugBefore_YES",8.10795858770467,4.06764544844598,8.32386602210173,1
"N_0.5",3,"DrugBefore_NO",14.0348893453738,4.99273201257869,14.265623271074,1
"N_0.5",3,"DrugBefore_YES",9.87850589414259,4.15483870512975,9.76214201810713,1
"N_0.5",4,"DrugBefore_NO",13.4016358287629,3.62646058138492,12.9540010743089,1
"N_0.5",4,"DrugBefore_YES",9.32312720469277,4.23613629709983,9.96510351929715,1
"N_1",1,"DrugBefore_NO",6.12485261910779,4.02365669006883,4.43427407998166,1
"N_1",1,"DrugBefore_YES",3.68925099044003,1.94402063789828,3.17298727089136,1
"N_1",2,"DrugBefore_NO",5.06132942660643,3.06698401619262,4.21145593546433,1
"N_1",2,"DrugBefore_YES",3.9965487371518,2.54001985365807,3.43594432702646,1
"N_1",3,"DrugBefore_NO",7.71145923143164,4.26903590845636,6.88515442279352,1
"N_1",3,"DrugBefore_YES",4.77708815049434,2.82913735978038,4.45001912650342,1
"N_1",4,"DrugBefore_NO",7.45669993149881,3.24333588426821,7.32751095729916,1
"N_1",4,"DrugBefore_YES",4.44867698009344,2.6744748047045,3.7519275705364,1
"N_2",1,"DrugBefore_NO",3.47004121086423,2.4527438729751,2.64631914735313,1
"N_2",1,"DrugBefore_YES",2.11356491307681,0.89912035602226,1.65916691479546,1
"N_2",2,"DrugBefore_NO",2.83165462415119,1.51348562570869,2.23346655240887,1
"N_2",2,"DrugBefore_YES",2.61213839547257,1.79384133579987,1.94636124237025,1
"N_2",3,"DrugBefore_NO",4.58943696116469,2.90729295062974,3.89656788321849,1
"N_2",3,"DrugBefore_YES",2.89104826664619,1.83818389358535,2.3139304906507,1
"N_2",4,"DrugBefore_NO",4.75311491701877,2.64659398485999,4.35418156376459,1
"N_2",4,"DrugBefore_YES",2.62747891008044,1.61161581566048,2.24741517425046,1
"N_4",1,"DrugBefore_NO",2.64365746343053,1.7167511348243,2.22028406230786,1
"N_4",1,"DrugBefore_YES",1.72067994039543,0.600365428470949,1.40892283551414,1
"N_4",2,"DrugBefore_NO",2.16163812742388,0.972611689568798,1.76195543924563,1
"N_4",2,"DrugBefore_YES",2.18786540338171,1.42359969288847,1.59182767582713,1
"N_4",3,"DrugBefore_NO",3.32118877024878,1.83269282645255,2.97729751341494,1
"N_4",3,"DrugBefore_YES",2.28195225166905,1.35240150352377,1.81906391057033,1
"N_4",4,"DrugBefore_NO",3.6709748555731,2.12662422738218,3.15690568096644,1
"N_4",4,"DrugBefore_YES",2.05795036607361,1.03826036222648,1.7450356876648,1
"N_8",1,"DrugBefore_NO",2.33362493647923,1.34886251901243,2.0873850937736,1
"N_8",1,"DrugBefore_YES",1.59183775574043,0.49094270814085,1.34157603834886,1
"N_8",2,"DrugBefore_NO",1.93680508674856,0.773329179141431,1.62565951230854,1
"N_8",2,"DrugBefore_YES",1.98928010078882,1.17499059632499,1.4895729586224,1
"N_8",3,"DrugBefore_NO",2.82410850260806,1.37587124991126,2.61648136526747,1
"N_8",3,"DrugBefore_YES",2.05860186397942,1.14120915008419,1.67154409115368,1
"N_8",4,"DrugBefore_NO",3.15950070067522,1.72985431721159,2.71057951641462,1
"N_8",4,"DrugBefore_YES",1.85477949576563,0.802986775024655,1.61159964158958,1
"N_Inf",1,"DrugBefore_NO",2.08948189823079,1.03649846705065,1.8998034256381,1
"N_Inf",1,"DrugBefore_YES",1.49558770929096,0.404268847138655,1.2931844593836,1
"N_Inf",2,"DrugBefore_NO",1.77150761303605,0.61915303845605,1.52984076203824,1
"N_Inf",2,"DrugBefore_YES",1.80448173551726,0.919257014867821,1.41718083644743,1
"N_Inf",3,"DrugBefore_NO",2.4562817970759,1.05805366832164,2.31972717164346,1
"N_Inf",3,"DrugBefore_YES",1.87991946268906,0.943398928405266,1.56750680756459,1
"N_Inf",4,"DrugBefore_NO",2.71196383164875,1.31945369483687,2.39242552013539,1
"N_Inf",4,"DrugBefore_YES",1.70462963382761,0.633971149989499,1.51825074367847,1
