"N_0"	"N_0.25"	"N_0.5"	"N_1"	"N_2"	"N_4"	"N_8"	"N_Inf"	"NE_0.25"	"NE_0.5"	"NE_1"	"NE_2"	"NE_4"	"NE_8"	"NE_Inf"
31.5725	17.538121954394	9.19509955243955	3.17298727089136	1.65916691479546	1.40892283551414	1.34157603834886	1.2931844593836	0.557003729522109	0.292868710904185	0.101420654339001	0.053077727637232	0.0450751777804985	0.0429215276346427	0.041374034433433
34.15	21.5428960536475	14.5349472104573	8.83039167872465	6.06538344438182	4.92180934195607	4.38935408815139	3.83352036016564	0.632635796301747	0.427957827868349	0.260668389839853	0.179245955695243	0.145556171952179	0.129854940439632	0.113398192689251
28.435	17.3989938463297	10.9876499389314	5.56567605417509	3.05857417623233	2.26139561911028	2.01513662374264	1.84611088302516	0.611295262469829	0.38586002297387	0.195429668805465	0.107356247475675	0.079358776530174	0.0707134445400646	0.0647798474249198
29.85	13.9632171401528	6.0999280905314	2.08953467524447	1.35101872923871	1.22591962234978	1.19075544724393	1.16504475388194	0.467912604605698	0.204821679945576	0.0703782661826525	0.0454901391305123	0.0412673002283537	0.0400804278165101	0.0392126982412916
25.0625	11.7239929385685	5.24470384234278	1.95480935108852	1.32153349380963	1.2084256437787	1.17617937725161	1.15255697807886	0.468388470352499	0.209791306431739	0.0782033952891397	0.0528371854938525	0.0483075608883826	0.0470163127899949	0.0460704334104071
43.61	27.8349561665105	17.583425625474	7.95968411034793	3.96129641968878	2.9778935787797	2.62167944932255	2.32771105062462	0.638552278830048	0.403564101870216	0.18279347646447	0.0909583671288962	0.0683573431846924	0.0601738243494128	0.0534239342358349
41.315	28.3381696846123	19.6962349808703	10.6655177558281	5.34548669343118	3.53605771262165	2.97231499219525	2.59406379462266	0.685716038064787	0.47654441873149	0.258037817069209	0.129284782704358	0.0854818864508735	0.0718442267032316	0.0626976288989615
31.8125	19.5466304021678	12.6132477997907	7.07794182352686	4.53033875224935	3.43863111411752	2.94457045885881	2.57371674116556	0.61387768297351	0.395793637028937	0.221877637873971	0.141942060843219	0.107748207241159	0.0922795044537008	0.0806646762495973
34.13	18.1925028445217	8.85312206772221	2.76882019262158	1.50679603500056	1.31785126020535	1.2669003827989	1.22998363045844	0.53316086616947	0.259502681723297	0.0811584612793085	0.0441536091294893	0.0386128397558534	0.0371187868093246	0.0360362931496834
38.05	20.9592159459614	11.0995545843529	4.21145593546433	2.22246685259626	1.76195543924563	1.62565951230854	1.52984076203824	0.55059369864537	0.291546012889532	0.110668252336298	0.0584210190010593	0.0463252079178505	0.0427472862408355	0.0402318779005482
34	21.5549298387493	14.1558430442743	7.87154451914023	4.90420981551665	3.72976582688777	3.21376917231578	2.78479381443299	0.633968524669092	0.4163483248316	0.231516015268829	0.144241465162254	0.109698994908463	0.0945226227151703	0.0819057004244996
