"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","visit","SE_Intercept","SE_visit","WaldStatistic_Intercept","WaldStatistic_visit","WaldPvalue_Intercept","WaldPvalue_visit","betaConv","betaIter","deviance","maxCooks","replace"
"Prevotella",265.290102134059,-1.89373178573864,0.433094339382372,-4.3725618497791,1.2279701275562e-05,0.000515747453573605,265.290102134059,1121489.97873625,FALSE,7.71309100062702,13,3.89452353993844,7.59123938772594,10,FALSE,7.59123938772594,11.0657527845629,-1.89373178573864,1.08911754678623,0.433094339382372,10.1602924470511,-4.3725618497791,2.98180697176721e-24,1.2279701275562e-05,TRUE,100,493.185803850731,NA,TRUE
"Enterococcus",32.4846640039146,-2.52996519966908,0.622940953153148,-4.06132425049778,4.87951444414143e-05,0.000757149660613936,32.4846640039146,46100.5275667588,FALSE,16.0837567664391,8,4.6114828044892,15.0546306156528,7,FALSE,15.0546306156528,8.9499297740387,-2.52996519966908,1.5462451548915,0.622940953153148,5.78816997144719,-4.06132425049778,7.11573894736731e-09,4.87951444414143e-05,TRUE,100,216.491037154952,NA,TRUE
"Haemophilus",11.4371353390551,1.4590946165845,0.361408310120687,4.03724700214352,5.40821186152812e-05,0.000757149660613936,11.4371353390551,1588.57447326689,FALSE,4.89499754184986,11,7.77743589378103,4.97956668907418,11,FALSE,4.97956668907418,-0.467493347480765,1.4590946165845,0.929790001926822,0.361408310120687,-0.502794552008485,4.03724700214352,0.615108724369104,5.40821186152812e-05,TRUE,17,342.24142291717,NA,TRUE
"Roseburia",66.9942741696736,0.610121370749798,0.175320714673828,3.48003013725382,0.000501357382312684,0.00526425251428318,66.9942741696736,4531.42867842349,FALSE,1.19712542991892,12,2.76988534798078,1.22142708560551,9,FALSE,1.22142708560551,4.53604937840278,0.610121370749798,0.444376762187117,0.175320714673828,10.2076655765648,3.48003013725382,1.83219820329598e-24,0.000501357382312684,TRUE,6,684.269692421441,NA,FALSE
"Lachnospiracea_incertae_sedis",145.189178988212,0.67018707397719,0.206280191257297,3.24891629143999,0.00115845563114601,0.00973102730162649,145.189178988212,25422.3080445907,FALSE,1.7056262130967,15,2.29920267593986,1.71668658682477,9,FALSE,1.71668658682477,5.51030942332843,0.67018707397719,0.520785853985855,0.206280191257297,10.5807586384213,3.24891629143999,3.65982776749939e-26,0.00115845563114601,TRUE,7,775.940620444417,NA,FALSE
"Unclassified_Bacteria",31.6447391627339,-0.55593959701575,0.178862124967829,-3.10820190197195,0.00188229428394616,0.0115240250159784,31.6447391627339,5934.82931790962,FALSE,1.21156774721622,13,4.67161182896251,1.24924861467868,12,FALSE,1.24924861467868,6.09392668286268,-0.55593959701575,0.449666241051841,0.178862124967829,13.5521107135105,-3.10820190197195,7.69842064408839e-42,0.00188229428394616,TRUE,7,585.92389070573,NA,FALSE
"Unclassified_Clostridiaceae_1",5.2246511913938,1.22807562706105,0.395868346633456,3.10223244041827,0.0019206708359964,0.0115240250159784,5.2246511913938,305.6401533694,FALSE,5.78539841671309,9,9.1786933449353,5.90699682228665,9,FALSE,5.90699682228665,-0.838074054979063,1.22807562706105,1.02066978512787,0.395868346633456,-0.821102051996244,3.10223244041827,0.411588141306677,0.0019206708359964,TRUE,17,271.163417866,NA,TRUE
"Unclassified_Lachnospiraceae",257.823653771622,0.437697520824313,0.149626063919682,2.92527591355518,0.00344150936748306,0.0180679241792861,257.823653771622,49665.6351601711,FALSE,0.873510226058885,12,3.77409619870967,0.903998735059649,10,FALSE,0.903998735059649,6.94217547179961,0.437697520824313,0.377553688954232,0.149626063919682,18.3872537202018,2.92527591355518,1.66187589298526e-75,0.00344150936748306,TRUE,4,869.942140306949,NA,FALSE
"Unclassified_Bacteroidales",45.9580443369631,-0.702442491203936,0.270157799065862,-2.60011924006194,0.00931913728133335,0.043489307312889,45.9580443369631,9640.42369779457,FALSE,2.91415671123553,12,3.70910458994151,2.92834042827761,9,FALSE,2.92834042827761,6.89748948336836,-0.702442491203936,0.67960265413503,0.270157799065862,10.1492974481496,-2.60011924006194,3.33757379296834e-24,0.00931913728133335,TRUE,8,572.820598435922,NA,TRUE
"Unclassified_Ruminococcaceae",47.926905103364,-0.446567778126785,0.18156997304507,-2.45948033497772,0.0139138320006843,0.0584380944028739,47.926905103364,5389.54940500264,FALSE,1.27954941566838,12,3.59966048968728,1.3087236199635,12,FALSE,1.3087236199635,6.50120908092376,-0.446567778126785,0.457217168346444,0.18156997304507,14.2190834706313,-2.45948033497772,6.97605987587612e-46,0.0139138320006843,TRUE,6,644.546972485768,NA,FALSE
"Akkermansia",3.3319035062634,-1.74343888771215,0.77747444495059,-2.24243883388726,0.0249330243285649,0.0951988201636113,3.3319035062634,153.370419949119,FALSE,25.9782368739202,7,10.6192039323406,23.4824790204033,8,FALSE,23.4824790204033,4.74367780781831,-1.74343888771215,1.93721988660175,0.77747444495059,2.44870385681392,-2.24243883388726,0.0143371272959827,0.0249330243285649,TRUE,17,129.067474418757,NA,TRUE
"Escherichia_Shigella",9.14821752789708,0.878278837335583,0.448129429694419,1.95987761378333,0.0500100967443815,0.156102325722601,9.14821752789708,754.825557127691,FALSE,7.91176233280116,11,8.03579776072298,7.91649253242025,6,FALSE,7.91649253242025,0.850363975531014,0.878278837335583,1.13926894136457,0.448129429694419,0.746411970568149,1.95987761378333,0.455418590279131,0.0500100967443815,TRUE,19,290.35697966519,NA,TRUE
"Unclassified_Burkholderiales",2.82806118703043,-1.92025349126237,0.986312846614734,-1.94690102420661,0.0515466018410733,0.156102325722601,2.82806118703043,225.398327459498,FALSE,49.8238398218833,9,11.1843376223267,38.348496024916,10,FALSE,38.348496024916,4.35904144128349,-1.92025349126237,2.46733380132973,0.986312846614734,1.76670114069456,-1.94690102420661,0.0772782922470781,0.0515466018410733,TRUE,23,84.0994597966616,NA,TRUE
"Klebsiella",1.28515477991704,1.05227138390899,0.545230400432148,1.92995728608486,0.0536121304334803,0.156102325722601,1.28515477991704,38.6843764447091,FALSE,10.9016930491858,13,12.8571994982447,11.0839715752129,6,FALSE,11.0839715752129,-2.61203158306328,1.05227138390899,1.40324038643005,0.545230400432148,-1.86142845397181,1.92995728608486,0.0626836954810816,0.0536121304334803,TRUE,10,130.670705452882,NA,TRUE
"Alistipes",185.030602519733,-0.847470170131236,0.443010864497198,-1.91297829928638,0.0557508306152148,0.156102325722601,185.030602519733,244651.08943367,FALSE,8.23246209796545,15,2.71522868331153,7.97388227889612,9,FALSE,7.97388227889612,9.19983291643685,-0.847470170131236,1.11555896834471,0.443010864497198,8.24683694676202,-1.91297829928638,1.62642096516192e-16,0.0557508306152148,TRUE,42,582.714326107113,NA,FALSE
"Flavonifractor",10.0929725600208,-0.323014684758028,0.201460912789351,-1.60336156669644,0.108854851111573,0.285743984167879,10.0929725600208,192.451130666704,FALSE,1.44186845690067,11,7.92480825118406,1.51578052121477,12,FALSE,1.51578052121477,4.03695120125406,-0.323014684758028,0.508307647219431,0.201460912789351,7.94194465367025,-1.60336156669644,1.99035753953219e-15,0.108854851111573,TRUE,6,447.617122359263,NA,FALSE
"Gemmiger",10.4176873197996,-0.591969820312455,0.382174268920522,-1.54895258119945,0.121393119509036,0.286619676308631,10.4176873197996,562.195308193921,FALSE,5.71082556778487,12,7.91034486186547,5.78267826679328,11,FALSE,5.78267826679328,4.60373198500035,-0.591969820312455,0.961136189379545,0.382174268920522,4.78988517534883,-1.54895258119945,1.66876778722231e-06,0.121393119509036,TRUE,14,360.249274445873,NA,FALSE
"Lactobacillus",0.95954805482347,-0.852023443109359,0.552195474683631,-1.54297433096044,0.122837004132271,0.286619676308631,0.95954805482347,10.0939628464143,FALSE,10.9453939829812,11,13.2312411310025,11.1568347488624,6,FALSE,11.1568347488624,1.8064567546168,-0.852023443109359,1.37510821630545,0.552195474683631,1.31368334011579,-1.54297433096044,0.188952789673962,0.122837004132271,TRUE,7,136.979421671722,NA,TRUE
"Turicibacter",2.31500452604457,-0.57386357805706,0.442055894779384,-1.29816972205168,0.19422902001454,0.409805426370435,2.31500452604457,40.5707153104188,FALSE,7.12710417478791,11,11.7460219602715,7.34019584370242,10,FALSE,7.34019584370242,2.46767350448122,-0.57386357805706,1.10760131834876,0.442055894779384,2.22794381299589,-1.29816972205168,0.0258842620358809,0.19422902001454,TRUE,12,212.904674479887,NA,TRUE
"Veillonella",11.2255987836627,0.484120751193478,0.373692159604094,1.29550684634748,0.195145441128779,0.409805426370435,11.2255987836627,1198.48826513689,FALSE,5.47196714312142,14,7.81616509760371,5.53245590970198,10,FALSE,5.53245590970198,2.35579530523342,0.484120751193478,0.947382125074266,0.373692159604094,2.48663685210311,1.29550684634748,0.0128956960077989,0.195145441128779,TRUE,23,355.546739588403,NA,TRUE
"Streptococcus",6.20194659707048,-0.292425061410667,0.238784808361978,-1.2246384659755,0.220711468093729,0.441422936187458,6.20194659707048,152.343487848445,FALSE,2.01395348376924,14,8.83594906063677,2.1091622332295,10,FALSE,2.1091622332295,3.30973845995545,-0.292425061410667,0.603045343956059,0.238784808361978,5.4883741216591,-1.2246384659755,4.05650190661566e-08,0.220711468093729,TRUE,8,381.716525977564,NA,TRUE
"Clostridium_IV",21.5567886317074,-0.360099003374964,0.309272173322904,-1.16434336625233,0.244284888767967,0.46636206037521,21.5567886317074,1896.65483933438,FALSE,3.78273502001351,11,5.53028421772423,3.82125567014403,7,FALSE,3.82125567014403,5.17698793711,-0.360099003374964,0.779241998570321,0.309272173322904,6.64362027022189,-1.16434336625233,3.06070506193756e-11,0.244284888767967,TRUE,12,472.953297022005,NA,FALSE
