"rownames","Prob(selection)"
"Roseburia",0.86375
"Lachnospiracea_incertae_sedis",0.74625
"Haemophilus",0.6025
"Alistipes",0.5475
"Unclassified_Lachnospiraceae",0.37
"Akkermansia",0.31875
"Escherichia_Shigella",0.3025
"Unclassified_Burkholderiales",0.2775
"Clostridium_IV",0.265
"Phascolarctobacterium",0.26125
"Klebsiella",0.235
"Unclassified_Bacteria",0.22375
"Prevotella",0.205
"Unclassified_Clostridiaceae_1",0.18875
"Sutterella",0.1875
"Unclassified_Bacteroidales",0.1775
"Gemmiger",0.145
"Erysipelotrichaceae_incertae_sedis",0.1325
"Dorea",0.12375
"Bifidobacterium",0.105
"Odoribacter",0.1025
"Streptococcus",0.10125
"Flavonifractor",0.10125
"Parabacteroides",0.09375
"Paraprevotella",0.08875
"Faecalibacterium",0.0875
"Ruminococcus",0.08375
"Clostridium_XlVa",0.07625
"Clostridium_XVIII",0.07375
"Clostridium_XI",0.07125
"Unclassified_Ruminococcaceae",0.07
"Lactobacillus",0.06625
"Clostridium_sensu_stricto",0.06125
"Megamonas",0.05625
"Barnesiella",0.05625
"Enterococcus",0.05125
"Turicibacter",0.03625
"Unclassified_Firmicutes",0.02625
"Bacteroides",0.01625
"Veillonella",0.01625
"Unclassified_Clostridiales",0.015
"Blautia",0.00625
