"feature","visit","Drug.Before.Diet","mean","sd","median","incidence"
"Roseburia",1,"DrugBefore_NO",0.00702772717607703,0.00742777509554387,0.0031828805109139,1
"Roseburia",1,"DrugBefore_YES",0.00391515941582147,0.00501620747259472,0.00211034066927947,0.769230769230769
"Roseburia",2,"DrugBefore_NO",0.0185961130818822,0.0340599962091879,0.00386100386100386,0.857142857142857
"Roseburia",2,"DrugBefore_YES",0.0151377517473318,0.0197037587743331,0.00634164044864456,1
"Roseburia",3,"DrugBefore_NO",0.0139544234857509,0.0165994902732829,0.00975073850447825,1
"Roseburia",3,"DrugBefore_YES",0.0153696915333491,0.0169119684199901,0.0111454077274586,1
"Roseburia",4,"DrugBefore_NO",0.054910613335293,0.0449215323657739,0.0543050067675097,1
"Roseburia",4,"DrugBefore_YES",0.0203587356193274,0.0216593274688016,0.0220834262770466,1
"Lachnospiracea_incertae_sedis",1,"DrugBefore_NO",0.00929132645911843,0.00895751403483911,0.00637818672485071,1
"Lachnospiracea_incertae_sedis",1,"DrugBefore_YES",0.0108460017987709,0.0131656705893308,0.00323974082073434,0.846153846153846
"Lachnospiracea_incertae_sedis",2,"DrugBefore_NO",0.019422796713899,0.019501591670403,0.0114503816793893,0.857142857142857
"Lachnospiracea_incertae_sedis",2,"DrugBefore_YES",0.0453503193259309,0.0553453861692451,0.0225254057312401,0.9
"Lachnospiracea_incertae_sedis",3,"DrugBefore_NO",0.0717393256484433,0.101288939176587,0.0109321220796107,1
"Lachnospiracea_incertae_sedis",3,"DrugBefore_YES",0.0417674245708544,0.049374824559348,0.0224782133622035,0.875
"Lachnospiracea_incertae_sedis",4,"DrugBefore_NO",0.0886800194192583,0.0694959744288184,0.0766563258931427,1
"Lachnospiracea_incertae_sedis",4,"DrugBefore_YES",0.0267242388388702,0.0328782342538745,0.0144992192728084,0.857142857142857
"Haemophilus",1,"DrugBefore_NO",0.00108892521142151,0.00253236052561876,0,0.4
"Haemophilus",1,"DrugBefore_YES",0.000134074560842354,0.000238347689308495,0,0.307692307692308
"Haemophilus",2,"DrugBefore_NO",0.00199200540697536,0.00236638060388254,0.00165016501650165,0.714285714285714
"Haemophilus",2,"DrugBefore_YES",0.000864111011809385,0.00178546413379272,4.26257459505541e-05,0.5
"Haemophilus",3,"DrugBefore_NO",0.0119663673180032,0.0210945211221732,0,0.333333333333333
"Haemophilus",3,"DrugBefore_YES",0.00323716593696993,0.00477928951651463,0.00116602296893611,0.625
"Haemophilus",4,"DrugBefore_NO",0.0183216386299436,0.0396679650754628,0.00170843180401866,0.833333333333333
"Haemophilus",4,"DrugBefore_YES",0.0250101028721691,0.0654987731334217,0.00022306491188936,0.714285714285714
"Alistipes",1,"DrugBefore_NO",0.0526877104358302,0.0794675794764742,0.0192841873845776,0.7
"Alistipes",1,"DrugBefore_YES",0.0169597907225957,0.0207809546855277,0.00978439691748203,0.692307692307692
"Alistipes",2,"DrugBefore_NO",0.0118489676278363,0.0187408743217411,0.000685065570561754,0.571428571428571
"Alistipes",2,"DrugBefore_YES",0.0275892862582706,0.0526455095318354,0,0.4
"Alistipes",3,"DrugBefore_NO",0.000873907615480649,0.00214062774025996,0,0.166666666666667
"Alistipes",3,"DrugBefore_YES",0.0105592409174438,0.0204892435986232,0.00151590610572504,0.625
"Alistipes",4,"DrugBefore_NO",0.00406822999467571,0.00872898897896266,0.000415973377703827,0.5
"Alistipes",4,"DrugBefore_YES",0.0096476793270274,0.0140377954301658,0.00266038774386888,0.571428571428571
"Unclassified_Lachnospiraceae",1,"DrugBefore_NO",0.0327637956611893,0.0311325195373827,0.0126856008946141,1
"Unclassified_Lachnospiraceae",1,"DrugBefore_YES",0.0266864787901947,0.0327438266867673,0.0104904390934844,0.923076923076923
"Unclassified_Lachnospiraceae",2,"DrugBefore_NO",0.0355173846869521,0.0352902777675052,0.0207477001370131,0.857142857142857
"Unclassified_Lachnospiraceae",2,"DrugBefore_YES",0.0563012374653472,0.0738372540720065,0.0328814781673823,1
"Unclassified_Lachnospiraceae",3,"DrugBefore_NO",0.134433631561705,0.157499954781932,0.0427792374141038,1
"Unclassified_Lachnospiraceae",3,"DrugBefore_YES",0.073233308863847,0.0894554470160628,0.0398200131759927,1
"Unclassified_Lachnospiraceae",4,"DrugBefore_NO",0.0919811322854442,0.0400879399742025,0.0933267355965927,1
"Unclassified_Lachnospiraceae",4,"DrugBefore_YES",0.0827288779290322,0.116999880431014,0.0391153461561085,1
