"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Bacteroides.Otu0848"	"Faecalibacterium.Otu0067"	"Bacteroides.Otu2038"	"Parabacteroides.Otu1736"	"Prevotella.Otu1987"	"Bacteroides.Otu2654"	"Bacteroides.Otu2065"	"Bacteroides.Otu0863"	"Bacteroides.Otu0929"	"Bacteroides.Otu2431"	"Bacteroides.Otu0786"	"Lactobacillus.Otu1332"	"Bacteroides.Otu1201"	"Bacteroides.Otu2625"	"Bacteroides.Otu2765"	"Bacteroides.Otu0069"	"Clostridium_XI.Otu1804"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Enterococcus.Otu1019"	"Bacteroides.Otu0661"	"Bacteroides.Otu2343"	"Bacteroides.Otu0006"	"Lachnospiracea_incertae_sedis.Otu0778"	"Blautia.Otu2475"	"Alistipes.Otu2508"	"Prevotella.Otu1633"	"Alistipes.Otu1466"	"Lachnospiracea_incertae_sedis.Otu0651"	"Faecalibacterium.Otu0751"	"Escherichia_Shigella.Otu2393"	"Bacteroides.Otu2104"	"Roseburia.Otu1051"	"Lachnospiraceae.Otu2222"	"Bacteroides.Otu2437"	"Lachnospiraceae.Otu2512"	"Lachnospiraceae.Otu0898"	"Parabacteroides.Otu1378"	"Haemophilus.Otu1497"	"Bacteroides.Otu0480"	"Bacteroides.Otu2216"	"Megamonas.Otu2657"	"Bacteroides.Otu0877"	"Clostridiales.Otu0562"	"Sutterella.Otu0171"	"Lachnospiraceae.Otu0220"	"Lachnospiracea_incertae_sedis.Otu0113"	"Roseburia.Otu2084"	"Bacteroides.Otu2375"	"Prevotella.Otu2602"	"Akkermansia.Otu1935"	"Bacteroides.Otu2069"	"Prevotella.Otu1803"	"Lachnospiraceae.Otu2599"	"Dorea.Otu1142"	"Clostridium_XlVa.Otu0236"	"Lachnospiraceae.Otu1734"	"Parabacteroides.Otu1107"	"Clostridiaceae_1.Otu1955"	"Veillonella.Otu0362"	"Clostridium_XI.Otu2681"	"Prevotella.Otu1319"	"Bacteroides.Otu2120"	"Bacteroides.Otu1976"	"Bacteroides.Otu2523"	"Turicibacter.Otu0468"	"Klebsiella.Otu1452"	"Prevotella.Otu1994"	"Roseburia.Otu2728"	"Bacteroides.Otu0200"	"Bacteroides.Otu0775"	"Sutterella.Otu1997"	"Lachnospiraceae.Otu0790"	"Prevotella.Otu2501"	"Lachnospiraceae.Otu0033"	"Parabacteroides.Otu1655"	"Lachnospiraceae.Otu0491"	"Bacteroides.Otu2460"	"Bacteroides.Otu2534"	"Lachnospiraceae.Otu2076"	"Bacteroides.Otu2416"	"Lachnospiracea_incertae_sedis.Otu2746"	"Clostridium_XlVa.Otu1856"	"Bacteroidales.Otu0696"	"Bacteroides.Otu1669"	"Prevotella.Otu0738"	"Roseburia.Otu2637"	"Phascolarctobacterium.Otu1814"	"Blautia.Otu0591"	"Bacteroides.Otu0312"	"Gemmiger.Otu0907"	"Blautia.Otu0620"	"Lachnospiracea_incertae_sedis.Otu1990"	"Prevotella.Otu0634"	"Bacteroides.Otu1411"	"Prevotella.Otu2327"	"Clostridiales.Otu1597"	"Barnesiella.Otu2015"	"Bacteroides.Otu2383"	"Bacteroides.Otu0763"	"Bacteroides.Otu0752"	"Prevotella.Otu0773"	"Bacteria.Otu0435"	"Bacteroides.Otu1883"	"Prevotella.Otu0882"	"Bacteroides.Otu1352"	"Burkholderiales.Otu0023"	"Prevotella.Otu2227"	"Bacteroides.Otu0399"	"Parabacteroides.Otu0538"	"Bacteroides.Otu0883"	"other"
384	1158	68	71	1823	0	0	26	0	1848	1011	345	30	0	310	14	12	24	10	11	0	673	29	232	150	123	6	0	96	1	39	0	14	14	0	0	2	10	0	3	0	0	0	43	0	0	6	4	39	85	0	0	12	0	1	4	60	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	36	0	101	0	1	14	0	23	0	0	13	0	25	0	14	0	16	160	86	53	1	0	1	0	0	0	170	17	7	0	0	0	0	20	0	0	0	0	0	1995
0	0	0	991	0	0	0	1	0	124	738	156	0	0	571	0	2	0	226	20	0	434	0	0	434	153	1	0	25	301	126	3	16	235	334	0	117	116	0	30	0	0	0	0	7	0	257	78	127	0	0	0	0	0	155	35	73	208	0	6	4	11	0	0	0	0	0	0	0	54	0	0	0	160	0	86	0	60	20	0	107	0	21	8	0	0	0	27	0	26	0	0	22	44	0	6	0	0	0	65	0	3	0	0	0	0	1	0	0	0	0	0	2608
1	0	2	806	0	0	1	2	0	1360	241	9	0	0	5039	0	211	0	119	27	0	18	0	0	232	144	4	0	75	464	128	330	113	185	189	0	125	107	0	11	0	0	0	0	0	0	94	80	63	0	0	0	0	0	58	21	89	94	0	0	0	15	0	0	0	0	1	3	0	63	0	0	0	166	0	23	0	39	3	0	196	0	5	17	0	0	0	67	0	23	0	0	27	3	0	1	0	0	0	3	0	0	0	0	0	0	31	0	0	0	0	0	1873
5902	3478	425	490	560	0	1	414	1	39	1264	1385	0	0	178	951	649	1206	26	27	0	683	0	825	0	176	353	0	726	1	189	1	244	5	0	708	0	49	0	20	1	0	0	115	0	0	1	1	1	337	0	89	0	0	1	0	7	4	0	7	2	1	0	83	0	0	0	1	0	5	0	303	0	0	0	0	0	0	150	97	0	60	66	2	0	113	0	0	101	29	0	10	14	82	1	150	0	0	0	4	71	106	0	0	2	0	48	0	0	8	0	2	2835
5338	3397	253	101	489	3	0	777	1	31	743	464	0	0	495	1177	401	1256	0	12	0	423	1	641	1	31	698	0	435	0	41	0	137	5	3	125	3	11	0	0	0	0	0	74	0	1	2	14	79	230	0	2	0	1	6	14	45	7	0	0	0	0	0	75	0	0	0	0	0	0	0	58	0	98	0	1	0	15	165	294	0	71	2	12	0	89	0	0	32	7	0	25	24	1	0	386	1	0	0	3	71	153	0	0	1	0	70	0	0	10	0	0	2960
48	33	20	2	1	30	0	0	0	537	6	39	3	0	78	0	7	4	70	0	0	3	3	6	0	2	486	1	44	0	0	1	3	0	0	11	0	1	31	0	42	0	0	1	1	9	0	0	0	1	0	66	7	0	1	10	1	0	0	3	0	21	0	0	0	59	25	1	0	1	3	5	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	31	0	0	0	0	1	36	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	439
0	1	1	106	1	2	4	0	0	31	0	0	0	2	11	0	9	0	91	1018	2	0	0	0	29	69	0	41	0	0	31	7	7	44	15	0	2	26	2	3	0	0	0	15	0	3	3	3	6	0	0	0	0	0	52	8	17	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	3	1	2	0	0	1	0	0	3	5	0	0	2	0	16	0	2	18	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	914
236	0	3	761	1732	9	0	0	0	0	0	1	0	0	0	0	2	4	59	14	0	0	0	177	60	118	0	0	0	48	265	4	1	83	199	0	6	14	0	0	0	0	0	0	0	0	230	12	27	1	0	0	0	0	39	12	19	31	0	0	1	75	0	0	0	0	0	0	0	2	0	0	0	26	0	0	0	0	0	0	74	0	219	2	0	0	0	154	0	3	149	24	12	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1213
420	45	89	1	18	0	0	26	0	0	9	1	607	0	1	7	3	52	4	11	0	1	316	26	15	2	0	1	0	0	0	35	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	90	0	3	0	5	2	0	0	0	0	0	5	0	0	0	0	0	0	17	0	0	31	0	0	0	0	1	16	0	62	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	1	18	0	3	0	0	452
8	64	4	18	1	4	1	7	0	3	25	4	1969	0	0	0	11	2	17	23	10	15	1263	1	8	13	0	0	31	2	9	32	5	2	0	0	0	109	89	10	0	0	216	3	0	0	33	11	18	0	0	0	449	0	3	4	1	6	173	0	8	0	0	0	0	1	0	0	0	3	2	0	0	1	0	1	0	88	1	3	0	1	0	0	0	4	0	0	19	2	0	4	1	0	1	0	0	0	2	8	0	0	0	0	0	0	4	0	0	4	44	4	1074
