"rownames","q","p-value"
"2 - 1","N_0","0.768"
"3 - 1","N_0","0.9992"
"4 - 1","N_0","1"
"2 - 1","N_0.25","0.8406"
"3 - 1","N_0.25","1"
"4 - 1","N_0.25","1"
"2 - 1","N_0.5","0.9178"
"3 - 1","N_0.5","1"
"4 - 1","N_0.5","1"
"2 - 1","N_1","0.9894"
"3 - 1","N_1","0.9998"
"4 - 1","N_1","1"
"2 - 1","N_2","0.9954"
"3 - 1","N_2","0.977"
"4 - 1","N_2","1"
"2 - 1","N_4","0.9594"
"3 - 1","N_4","0.9758"
"4 - 1","N_4","1"
"2 - 1","N_8","0.882"
"3 - 1","N_8","0.9948"
"4 - 1","N_8","1"
"2 - 1","N_Inf","0.8186"
"3 - 1","N_Inf","0.9984"
"4 - 1","N_Inf","1"
