"rownames","Prob(selection)"
"Roseburia.Otu2084",0.8875
"Lachnospiraceae.Otu2076",0.55
"Lachnospiracea_incertae_sedis.Otu0778",0.49125
"Roseburia.Otu1051",0.4675
"Roseburia.Otu2637",0.35375
"Alistipes.Otu1466",0.2275
"Lachnospiraceae.Otu1734",0.22375
"Bacteroides.Otu0775",0.22125
"Haemophilus.Otu1497",0.21
"Bacteroides.Otu0863",0.195
"Bacteroides.Otu2460",0.18875
"Bacteroides.Otu2654",0.17125
"Lachnospiraceae.Otu2599",0.155
"Clostridium_XI.Otu2681",0.1525
"Bacteroides.Otu2437",0.135
"Parabacteroides.Otu1655",0.12125
"Prevotella.Otu0634",0.09375
"Escherichia_Shigella.Otu2393",0.08625
"Lachnospiraceae.Otu0898",0.08375
"Parabacteroides.Otu1378",0.08375
"Clostridiaceae_1.Otu1955",0.07875
"Bacteroides.Otu1411",0.07875
"Faecalibacterium.Otu0067",0.0775
"Bacteroides.Otu1883",0.0775
"Klebsiella.Otu1452",0.0725
"Sutterella.Otu0171",0.07125
"Lachnospiraceae.Otu2222",0.07
"Bacteroides.Otu1669",0.06875
"Lachnospiraceae.Otu0220",0.06125
"Roseburia.Otu2728",0.06125
"Phascolarctobacterium.Otu1814",0.06
"Prevotella.Otu1633",0.05875
"Bacteroides.Otu2216",0.05625
"Bacteroides.Otu2431",0.055
"Bacteroides.Otu2343",0.055
"Bacteroides.Otu0848",0.05125
"Parabacteroides.Otu1107",0.05125
"Lachnospiraceae.Otu0491",0.05125
"Bacteroides.Otu1976",0.05
"Bacteroides.Otu2065",0.04625
"Bacteroides.Otu1201",0.04375
"Lachnospiracea_incertae_sedis.Otu0113",0.03875
"Bacteroides.Otu1352",0.03875
"Bacteroides.Otu0883",0.0375
"Lachnospiraceae.Otu2512",0.03625
"Bacteroides.Otu2069",0.03625
"Gemmiger.Otu0907",0.03625
"Prevotella.Otu0882",0.03375
"Lachnospiraceae.Otu0033",0.03125
"Bacteroides.Otu0752",0.03125
"Clostridium_XlVa.Otu1856",0.03
"Alistipes.Otu2508",0.02875
"Bacteroides.Otu0399",0.02875
"Bacteroides.Otu2375",0.0275
"Bacteroides.Otu0661",0.025
"Bacteroides.Otu0312",0.025
"Faecalibacterium.Otu0751",0.02375
"Bacteroides.Otu0877",0.02375
"Bacteroides.Otu2120",0.02375
"Bacteroides.Otu2523",0.02375
"Bacteroides.Otu2038",0.02125
"Bacteroides.Otu0786",0.02125
"Parabacteroides.Otu0538",0.02125
"Bacteroides.Otu2520",0.02
"Bacteroides.Otu2765",0.02
"Blautia.Otu2475",0.02
"Dorea.Otu1142",0.02
"Lachnospiracea_incertae_sedis.Otu1990",0.02
"Bacteroides.Otu0001",0.01875
"Clostridium_XlVa.Otu0236",0.0175
"Lachnospiracea_incertae_sedis.Otu2746",0.0175
"Bacteroides.Otu2625",0.01625
"Bacteroides.Otu0006",0.01625
"Lachnospiraceae.Otu0790",0.01625
"Bacteroides.Otu2104",0.015
"Prevotella.Otu2602",0.015
"Bacteroides.Otu0069",0.01375
"Erysipelotrichaceae_incertae_sedis.Otu0818",0.01375
"Akkermansia.Otu1935",0.01375
"Bacteroides.Otu2416",0.01375
"Bacteroides.Otu2383",0.01125
"Bacteroides.Otu0480",0.01
"Sutterella.Otu1997",0.01
"Turicibacter.Otu0468",0.00875
"Prevotella.Otu2501",0.00875
"Prevotella.Otu2327",0.00875
"Clostridium_XI.Otu1804",0.0075
"Bacteroides.Otu2534",0.0075
"Bacteroides.Otu0763",0.0075
"Clostridiales.Otu0562",0.00625
"Blautia.Otu0620",0.00625
"Bacteroides.Otu0929",0.005
"Bacteroidales.Otu0696",0.005
"Clostridiales.Otu1597",0.005
"Barnesiella.Otu2015",0.005
"Prevotella.Otu2227",0.005
"Veillonella.Otu0362",0.00375
"Prevotella.Otu1994",0.00375
"Blautia.Otu0591",0.00375
"Megamonas.Otu2657",0.0025
"Prevotella.Otu1319",0.0025
"Bacteroides.Otu0200",0.0025
"Prevotella.Otu1987",0.00125
"Lactobacillus.Otu1332",0.00125
"Parabacteroides.Otu1736",0
"Enterococcus.Otu1019",0
"Lachnospiracea_incertae_sedis.Otu0651",0
"Prevotella.Otu1803",0
"Prevotella.Otu0738",0
"Prevotella.Otu0773",0
"Bacteria.Otu0435",0
"Burkholderiales.Otu0023",0
