"feature","visit","Drug.Before.Diet","mean","sd","median","incidence"
"Roseburia.Otu2084",1,"DrugBefore_NO",0.00193679200629314,0.00236506893127499,0.00098275885446435,0.9
"Roseburia.Otu2084",1,"DrugBefore_YES",0.00117712309225749,0.00150752716403959,0.000359971202303816,0.538461538461538
"Roseburia.Otu2084",2,"DrugBefore_NO",0.00307100876205412,0.0040671726260994,0.00288778877887789,0.714285714285714
"Roseburia.Otu2084",2,"DrugBefore_YES",0.00209830202246206,0.00189762697780881,0.00197739396457215,0.8
"Roseburia.Otu2084",3,"DrugBefore_NO",0.00305362641112731,0.00372053701588486,0.00146771112846726,0.666666666666667
"Roseburia.Otu2084",3,"DrugBefore_YES",0.00507935323334165,0.00486365792600957,0.00301676237687129,1
"Roseburia.Otu2084",4,"DrugBefore_NO",0.0140649745381453,0.0166009928913447,0.00650609600353383,1
"Roseburia.Otu2084",4,"DrugBefore_YES",0.00574067425179583,0.0070906900469624,0.00312290876645104,0.857142857142857
"Lachnospiraceae.Otu2076",1,"DrugBefore_NO",0.000303333244094626,0.000401063643661607,9.10580950646512e-05,0.5
"Lachnospiraceae.Otu2076",1,"DrugBefore_YES",0.000288537797659055,0.000622514089527454,0,0.230769230769231
"Lachnospiraceae.Otu2076",2,"DrugBefore_NO",0.000829840442890519,0.00107116393411605,0,0.428571428571429
"Lachnospiraceae.Otu2076",2,"DrugBefore_YES",0.00176371644839155,0.00299786674321505,0,0.4
"Lachnospiraceae.Otu2076",3,"DrugBefore_NO",0.000342244889123307,0.000530918351955282,0,0.333333333333333
"Lachnospiraceae.Otu2076",3,"DrugBefore_YES",0.00484098392987833,0.00881547928450373,0.000479209672662931,0.5
"Lachnospiraceae.Otu2076",4,"DrugBefore_NO",0.00578091964704126,0.00448271491559954,0.00508534604526839,0.833333333333333
"Lachnospiraceae.Otu2076",4,"DrugBefore_YES",0.00283871054825414,0.00551558928403075,0,0.428571428571429
"Lachnospiracea_incertae_sedis.Otu0778",1,"DrugBefore_NO",0.00174623685991773,0.00333319203303339,0.000530409011882057,0.7
"Lachnospiracea_incertae_sedis.Otu0778",1,"DrugBefore_YES",0.00186416979927176,0.00378510029178216,0,0.461538461538462
"Lachnospiracea_incertae_sedis.Otu0778",2,"DrugBefore_NO",0.00917175986007049,0.0124689051098681,0.00313172832256802,0.857142857142857
"Lachnospiracea_incertae_sedis.Otu0778",2,"DrugBefore_YES",0.00417623309696212,0.00810102085661361,0.000882133175907586,0.7
"Lachnospiracea_incertae_sedis.Otu0778",3,"DrugBefore_NO",0.000624233990125887,0.000794486720399274,0.00029730051135688,0.5
"Lachnospiracea_incertae_sedis.Otu0778",3,"DrugBefore_YES",0.0112120160383969,0.0165784423452938,0.00188477504846627,0.625
"Lachnospiracea_incertae_sedis.Otu0778",4,"DrugBefore_NO",0.0623756181580933,0.0748519109240873,0.0480109248941244,0.833333333333333
"Lachnospiracea_incertae_sedis.Otu0778",4,"DrugBefore_YES",0.00582094239061261,0.0083732064711742,0.000122316677879029,0.571428571428571
"Roseburia.Otu1051",1,"DrugBefore_NO",0.00371387674297083,0.00525124650734714,0.00191824873227535,0.9
"Roseburia.Otu1051",1,"DrugBefore_YES",0.00155080523886662,0.00273010807680451,0.000401445202729827,0.615384615384615
"Roseburia.Otu1051",2,"DrugBefore_NO",0.00183416955400268,0.00291773822610615,0.000978665100802505,0.857142857142857
"Roseburia.Otu1051",2,"DrugBefore_YES",0.00612164876767293,0.0101959290120545,0.00113214520811076,1
"Roseburia.Otu1051",3,"DrugBefore_NO",0.00774462333347126,0.0128979975781891,0.00273441766754474,0.833333333333333
"Roseburia.Otu1051",3,"DrugBefore_YES",0.00556575450091326,0.00813799735025879,0.00257593154658828,1
"Roseburia.Otu1051",4,"DrugBefore_NO",0.0279545942025451,0.0468198657760383,0.010903315187503,1
"Roseburia.Otu1051",4,"DrugBefore_YES",0.00836901719362081,0.0102827677342148,0.00104329681794471,0.857142857142857
"Roseburia.Otu2637",1,"DrugBefore_NO",0.000645374320084694,0.00106911421677373,0.000391366295130798,0.7
"Roseburia.Otu2637",1,"DrugBefore_YES",0.000283135444818679,0.000606420144487454,0,0.230769230769231
"Roseburia.Otu2637",2,"DrugBefore_NO",0.00106921039363671,0.00152870325746582,0.000161969549724652,0.571428571428571
"Roseburia.Otu2637",2,"DrugBefore_YES",0.00266496182519178,0.00369819406363722,0.000936024550455243,0.7
"Roseburia.Otu2637",3,"DrugBefore_NO",0.000838519060644027,0.00169207321922846,0.000205214213235555,0.666666666666667
"Roseburia.Otu2637",3,"DrugBefore_YES",0.000857364062039089,0.00101076994514502,0.000660112881333451,0.625
"Roseburia.Otu2637",4,"DrugBefore_NO",0.00587921746810469,0.0095391309399988,0.00304559832047481,0.666666666666667
"Roseburia.Otu2637",4,"DrugBefore_YES",0.0029593453045692,0.0035854211256416,0.000669194735668079,0.571428571428571
"Alistipes.Otu1466",1,"DrugBefore_NO",0.0167299376816292,0.0248578402170433,0,0.4
"Alistipes.Otu1466",1,"DrugBefore_YES",0.0063374998300487,0.00843216771496192,0.0031061929722384,0.615384615384615
"Alistipes.Otu1466",2,"DrugBefore_NO",0.000979160963171787,0.00196184304849839,0,0.285714285714286
"Alistipes.Otu1466",2,"DrugBefore_YES",0.0217961951153084,0.0473512929399752,0,0.4
"Alistipes.Otu1466",3,"DrugBefore_NO",0,0,0,0
"Alistipes.Otu1466",3,"DrugBefore_YES",0.00364671921026839,0.00617531497142965,0.000858868061598592,0.625
"Alistipes.Otu1466",4,"DrugBefore_NO",0.000277495143834983,0.000679721508495933,0,0.166666666666667
"Alistipes.Otu1466",4,"DrugBefore_YES",0.00283700680449628,0.00375560567665279,0.00178850883076235,0.571428571428571
"Lachnospiraceae.Otu1734",1,"DrugBefore_NO",0.00359370299976209,0.00708941924691653,0.000992904456256521,0.9
"Lachnospiraceae.Otu1734",1,"DrugBefore_YES",0.000474374886842516,0.000657213035936448,0.000173175166681098,0.538461538461538
"Lachnospiraceae.Otu1734",2,"DrugBefore_NO",0.000452244057836616,0.000539255565060441,0.000195733020160501,0.714285714285714
"Lachnospiraceae.Otu1734",2,"DrugBefore_YES",0.00112675726558058,0.00143272713088486,0.000322733044554702,0.9
"Lachnospiraceae.Otu1734",3,"DrugBefore_NO",0.00225507093320597,0.00175370209113085,0.00207283173095866,0.833333333333333
"Lachnospiraceae.Otu1734",3,"DrugBefore_YES",0.00720832737011713,0.00978446218671337,0.00169557260890356,0.75
"Lachnospiraceae.Otu1734",4,"DrugBefore_NO",0.00350833224041415,0.00336789871557807,0.00297644816474261,1
"Lachnospiraceae.Otu1734",4,"DrugBefore_YES",0.00484826725015156,0.00575219006309216,0.00401516841400848,0.857142857142857
"Bacteroides.Otu0775",1,"DrugBefore_NO",0.000754784239244683,0.00138980133461792,0.000122054313525999,0.6
"Bacteroides.Otu0775",1,"DrugBefore_YES",0.00206708272814865,0.00301309341779704,0.000644122383252818,0.615384615384615
"Bacteroides.Otu0775",2,"DrugBefore_NO",0.0011305114583067,0.00294812271800216,0,0.285714285714286
"Bacteroides.Otu0775",2,"DrugBefore_YES",0.00211434212930194,0.00394272682754505,0.000248436870491187,0.7
"Bacteroides.Otu0775",3,"DrugBefore_NO",6.24219725343321e-05,0.00015290198144714,0,0.166666666666667
"Bacteroides.Otu0775",3,"DrugBefore_YES",0.00230600210759552,0.00391250571400128,0.000787994907043066,0.75
"Bacteroides.Otu0775",4,"DrugBefore_NO",0.00537877766359508,0.0131345290458241,0,0.333333333333333
"Bacteroides.Otu0775",4,"DrugBefore_YES",0.0050064804111469,0.00788502229981208,0.000669194735668079,0.714285714285714
"Haemophilus.Otu1497",1,"DrugBefore_NO",0.00103248574330804,0.00239676453253061,0,0.4
"Haemophilus.Otu1497",1,"DrugBefore_YES",0.000134074560842354,0.000238347689308495,0,0.307692307692308
"Haemophilus.Otu1497",2,"DrugBefore_NO",0.00185997426543695,0.00222901076230599,0.00165016501650165,0.714285714285714
"Haemophilus.Otu1497",2,"DrugBefore_YES",0.000784298435329316,0.00166712678935543,2.8162667567872e-05,0.5
"Haemophilus.Otu1497",3,"DrugBefore_NO",0.0107255638460492,0.0188377790062226,0,0.333333333333333
"Haemophilus.Otu1497",3,"DrugBefore_YES",0.00289384701691139,0.00450917402840281,0.00108126284010071,0.625
"Haemophilus.Otu1497",4,"DrugBefore_NO",0.0167827861786709,0.0365823588539924,0.00156977401145071,0.833333333333333
"Haemophilus.Otu1497",4,"DrugBefore_YES",0.0188620437776951,0.0493649803810329,0.000155424308361828,0.571428571428571
"Bacteroides.Otu0863",1,"DrugBefore_NO",0.04444102961792,0.073398616021644,0.0208488242638979,0.9
"Bacteroides.Otu0863",1,"DrugBefore_YES",0.0229364352565069,0.0434396845147934,0.0033003300330033,0.846153846153846
"Bacteroides.Otu0863",2,"DrugBefore_NO",0.00595539928358443,0.0139464335640934,0.000503609199261373,0.714285714285714
"Bacteroides.Otu0863",2,"DrugBefore_YES",0.01605040271717,0.0432792251512206,0.000102764361319494,0.5
"Bacteroides.Otu0863",3,"DrugBefore_NO",0.00291495088297838,0.00451600207053722,0,0.333333333333333
"Bacteroides.Otu0863",3,"DrugBefore_YES",0.00697548531352576,0.00922669748636502,0.00399456570025132,0.75
"Bacteroides.Otu0863",4,"DrugBefore_NO",0.00247011648752489,0.00552494530981368,0,0.333333333333333
"Bacteroides.Otu0863",4,"DrugBefore_YES",0.0213986383881884,0.0382674458692521,0.00454579327818764,0.857142857142857
"Bacteroides.Otu2460",1,"DrugBefore_NO",0.00161989906643594,0.00320042381617218,0.000602200850862198,0.6
"Bacteroides.Otu2460",1,"DrugBefore_YES",0.00368419130033339,0.00470767250487438,0.00121222616676769,0.769230769230769
"Bacteroides.Otu2460",2,"DrugBefore_NO",0.0020221258953509,0.00371362396337694,0.000167869733087124,0.571428571428571
"Bacteroides.Otu2460",2,"DrugBefore_YES",0.00126631553445711,0.0019221261723037,0.000235107127727017,0.8
"Bacteroides.Otu2460",3,"DrugBefore_NO",0.00018430404734004,0.000311309051128285,0,0.333333333333333
"Bacteroides.Otu2460",3,"DrugBefore_YES",0.00358396094182025,0.00816234437350122,0.000349281830537452,0.75
"Bacteroides.Otu2460",4,"DrugBefore_NO",0.00113409315234459,0.00182874508579474,0.000462491906391638,0.5
"Bacteroides.Otu2460",4,"DrugBefore_YES",0.000449482546005772,0.000555780485671121,0.000230751480655334,0.571428571428571
"Bacteroides.Otu2654",1,"DrugBefore_NO",0.0725732253291392,0.142272224023467,0.00223508805739922,0.7
"Bacteroides.Otu2654",1,"DrugBefore_YES",0.0288049883064894,0.0329120666490457,0.0115942028985507,0.846153846153846
"Bacteroides.Otu2654",2,"DrugBefore_NO",0.00141267842040232,0.00166434596117551,0.000825082508250825,0.714285714285714
"Bacteroides.Otu2654",2,"DrugBefore_YES",0.00924422924618477,0.018630985054608,0.00146161604383117,0.6
"Bacteroides.Otu2654",3,"DrugBefore_NO",0.00152651777979837,0.00249032223375797,0.000261004979642127,0.666666666666667
"Bacteroides.Otu2654",3,"DrugBefore_YES",0.0120108699231326,0.0269705140475857,0.000461025999904819,0.75
"Bacteroides.Otu2654",4,"DrugBefore_NO",0.00347997565688976,0.00781967528370329,0.000311623558741041,0.5
"Bacteroides.Otu2654",4,"DrugBefore_YES",0.0133905919039598,0.0194929416125435,0.00424770847306059,1
"Lachnospiraceae.Otu2599",1,"DrugBefore_NO",0.00501799752859416,0.00698656557149457,0.00256858318457562,1
"Lachnospiraceae.Otu2599",1,"DrugBefore_YES",0.00068728855925022,0.00108304651594006,0.000265580736543909,0.615384615384615
"Lachnospiraceae.Otu2599",2,"DrugBefore_NO",0.00149980541504135,0.00225746600738837,0.000489332550401253,0.714285714285714
"Lachnospiraceae.Otu2599",2,"DrugBefore_YES",0.00177341563492517,0.00230649372566332,0.00057349750708412,1
"Lachnospiraceae.Otu2599",3,"DrugBefore_NO",0.00594196781902764,0.00387903750909455,0.0056306633088791,1
"Lachnospiraceae.Otu2599",3,"DrugBefore_YES",0.00487259020348225,0.006116429590364,0.00221503012296493,0.875
"Lachnospiraceae.Otu2599",4,"DrugBefore_NO",0.00507820056033326,0.00338027369953978,0.00628490637064083,1
"Lachnospiraceae.Otu2599",4,"DrugBefore_YES",0.00324577112584609,0.00475712711822281,0.00176460208223046,0.857142857142857
"Clostridium_XI.Otu2681",1,"DrugBefore_NO",0.0112892712141189,0.0319174643268295,0.000192007014911209,0.6
"Clostridium_XI.Otu2681",1,"DrugBefore_YES",0.000612680979994,0.0013786380093904,0,0.307692307692308
"Clostridium_XI.Otu2681",2,"DrugBefore_NO",0.000360779285438295,0.000770039143379835,0,0.285714285714286
"Clostridium_XI.Otu2681",2,"DrugBefore_YES",0.000762980438384621,0.00165265094935221,7.49885477236994e-05,0.6
"Clostridium_XI.Otu2681",3,"DrugBefore_NO",0.00037523930080784,0.000411744454876707,0.000356760613628255,0.5
"Clostridium_XI.Otu2681",3,"DrugBefore_YES",0.000661473011937896,0.000834512963345448,0.000238228086352676,0.625
"Clostridium_XI.Otu2681",4,"DrugBefore_NO",0.0039571451427443,0.00476354661112516,0.00187231296431319,0.833333333333333
"Clostridium_XI.Otu2681",4,"DrugBefore_YES",0.00208885643250485,0.00265750282932718,0.000932545850170967,0.857142857142857
"Bacteroides.Otu2437",1,"DrugBefore_NO",0.00313822137695142,0.0078484837612885,3.03526983548837e-05,0.5
"Bacteroides.Otu2437",1,"DrugBefore_YES",0.00299512973159072,0.0048557937618044,0,0.461538461538462
"Bacteroides.Otu2437",2,"DrugBefore_NO",0.0135792425396386,0.0312921903540164,0,0.285714285714286
"Bacteroides.Otu2437",2,"DrugBefore_YES",0.00510661178611415,0.0102744557844042,0,0.4
"Bacteroides.Otu2437",3,"DrugBefore_NO",0.000436953807740325,0.00107031387012998,0,0.166666666666667
"Bacteroides.Otu2437",3,"DrugBefore_YES",0.0057081627606229,0.0107253125613266,0.0006265664160401,0.5
"Bacteroides.Otu2437",4,"DrugBefore_NO",0.0131948908816138,0.0322799931775185,0,0.333333333333333
"Bacteroides.Otu2437",4,"DrugBefore_YES",0.0123736094584602,0.0202059125300954,9.17375084092716e-05,0.571428571428571
"Parabacteroides.Otu1655",1,"DrugBefore_NO",0.000104640381666621,0.000230886719429409,0,0.2
"Parabacteroides.Otu1655",1,"DrugBefore_YES",0.000442799849752038,0.000831518745274318,0,0.307692307692308
"Parabacteroides.Otu1655",2,"DrugBefore_NO",0,0,0,0
"Parabacteroides.Otu1655",2,"DrugBefore_YES",0,0,0,0
"Parabacteroides.Otu1655",3,"DrugBefore_NO",0,0,0,0
"Parabacteroides.Otu1655",3,"DrugBefore_YES",0.000467308900638763,0.00101443621444613,0,0.375
"Parabacteroides.Otu1655",4,"DrugBefore_NO",1.38715494520738e-05,3.39782180993644e-05,0,0.166666666666667
"Parabacteroides.Otu1655",4,"DrugBefore_YES",0.01748974202069,0.0461075527086518,0,0.428571428571429
"Prevotella.Otu0634",1,"DrugBefore_NO",0.00692043130752147,0.0127434873841301,0,0.3
"Prevotella.Otu0634",1,"DrugBefore_YES",0.000683366545295204,0.00188658452399827,0,0.153846153846154
"Prevotella.Otu0634",2,"DrugBefore_NO",0.00095875933023747,0.00196202252539276,0.000167869733087124,0.714285714285714
"Prevotella.Otu0634",2,"DrugBefore_YES",0.00179315500412851,0.00563712588399876,0,0.3
"Prevotella.Otu0634",3,"DrugBefore_NO",0,0,0,0
"Prevotella.Otu0634",3,"DrugBefore_YES",0.000306452852020634,0.000835575533787505,0,0.25
"Prevotella.Otu0634",4,"DrugBefore_NO",8.32292967124428e-05,0.000203869308596186,0,0.166666666666667
"Prevotella.Otu0634",4,"DrugBefore_YES",0,0,0,0
"Escherichia_Shigella.Otu2393",1,"DrugBefore_NO",0.01334116492977,0.0404159377827905,6.43086816720257e-05,0.5
"Escherichia_Shigella.Otu2393",1,"DrugBefore_YES",0.0146426137912715,0.0482453076356787,0,0.307692307692308
"Escherichia_Shigella.Otu2393",2,"DrugBefore_NO",0.000850800945434598,0.0020014670681567,0,0.428571428571429
"Escherichia_Shigella.Otu2393",2,"DrugBefore_YES",1.23882412089627e-05,2.8334273834316e-05,0,0.2
"Escherichia_Shigella.Otu2393",3,"DrugBefore_NO",0.00171902281076225,0.00167522333297581,0.0017979066994724,0.666666666666667
"Escherichia_Shigella.Otu2393",3,"DrugBefore_YES",0.00274431130982702,0.00662744114020765,0.000315694637202387,0.625
"Escherichia_Shigella.Otu2393",4,"DrugBefore_NO",0.000226076694100127,0.000319743313106522,4.16146483562214e-05,0.5
"Escherichia_Shigella.Otu2393",4,"DrugBefore_YES",0.013622251966079,0.0221819639815774,0.00146780013454835,0.571428571428571
"Lachnospiraceae.Otu0898",1,"DrugBefore_NO",0.0020055174215591,0.00325942864033439,0.000587446665972891,0.9
"Lachnospiraceae.Otu0898",1,"DrugBefore_YES",0.000910359343322469,0.0016535243663525,0.000301477238468496,0.538461538461538
"Lachnospiraceae.Otu0898",2,"DrugBefore_NO",0.00292412104083717,0.0067948441519662,0.000412541254125413,0.571428571428571
"Lachnospiraceae.Otu0898",2,"DrugBefore_YES",0.00344283342242057,0.00708069284338785,0.000482024415741791,0.8
"Lachnospiraceae.Otu0898",3,"DrugBefore_NO",0.0392655426528024,0.0860218278230611,0.00513677121231722,0.833333333333333
"Lachnospiraceae.Otu0898",3,"DrugBefore_YES",0.00320026837834266,0.00421033499686713,0.00147628612422764,0.875
"Lachnospiraceae.Otu0898",4,"DrugBefore_NO",0.00208093080488092,0.00274049185890653,0.00124818947116013,0.833333333333333
"Lachnospiraceae.Otu0898",4,"DrugBefore_YES",0.00530130199347408,0.00430750273678956,0.00373740656483588,1
"Parabacteroides.Otu1378",1,"DrugBefore_NO",0.00404957988231316,0.00629124285383607,0.000306700178848595,0.6
"Parabacteroides.Otu1378",1,"DrugBefore_YES",0.00564332874026619,0.01020960444679,0,0.461538461538462
"Parabacteroides.Otu1378",2,"DrugBefore_NO",0.00284986198995429,0.00550496961939846,0,0.428571428571429
"Parabacteroides.Otu1378",2,"DrugBefore_YES",0.000523647372030978,0.00110403054841937,0,0.2
