"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Faecalibacterium"	"Parabacteroides"	"Lachnospiracea_incertae_sedis"	"Alistipes"	"Blautia"	"Roseburia"	"Unclassified_Clostridiales"	"Lactobacillus"	"Clostridium_XI"	"Erysipelotrichaceae_incertae_sedis"	"Enterococcus"	"Unclassified_Ruminococcaceae"	"Sutterella"	"Escherichia_Shigella"	"Megamonas"	"Ruminococcus"	"Clostridium_XlVa"	"Haemophilus"	"Unclassified_Bacteroidales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Clostridium_XVIII"	"Veillonella"	"Dorea"	"Akkermansia"	"Unclassified_Clostridiaceae_1"	"Clostridium_IV"	"Clostridium_sensu_stricto"	"Streptococcus"	"Turicibacter"	"Klebsiella"	"Bifidobacterium"	"Flavonifractor"	"Barnesiella"	"Gemmiger"	"Phascolarctobacterium"	"Unclassified_Burkholderiales"	"Odoribacter"	"Paraprevotella"	"other"
8933	3	523	119	0	270	113	367	69	89	0	10	14	0	139	0	0	0	55	76	3	2	10	71	120	1	11	0	1	33	135	5	1	0	7	63	0	86	0	0	0	0	220
2230	0	2459	1279	0	1192	27	252	499	255	0	240	66	0	35	0	3	0	63	281	44	0	41	40	5	42	46	0	9	5	15	4	0	0	205	16	0	0	0	0	0	0	80
7046	1	1701	1054	0	1062	81	242	406	164	0	138	44	0	33	0	341	0	34	254	12	1	27	17	12	0	27	0	0	15	0	4	1	3	122	25	0	0	0	0	0	0	134
22205	9	114	878	3	167	1150	247	14	16	0	28	32	0	224	0	1	0	6	11	20	75	29	7	12	12	2	97	8	41	1	11	0	2	0	19	1	10	101	0	0	63	270
19596	3	237	201	6	26	1268	71	85	38	0	0	14	0	495	1	0	0	95	64	0	82	51	19	2	0	16	2	0	33	0	2	0	0	0	18	0	26	33	0	0	7	101
962	37	25	9	68	11	556	6	6	18	0	92	0	0	22	9	1	0	18	2	0	1	18	13	4	0	10	68	6	16	63	0	25	1	0	19	27	0	31	0	39	0	57
105	49	163	177	7	50	0	125	55	64	14	92	1018	2	18	3	7	0	5	20	3	5	15	35	4	0	16	0	0	0	0	41	0	0	27	7	0	2	0	0	0	0	512
2394	0	974	1122	11	503	0	154	310	149	4	135	14	0	71	0	4	0	5	28	0	0	16	18	24	1	12	0	0	2	0	26	0	0	60	17	0	24	0	0	0	0	76
1965	1	71	1	0	30	0	3	5	18	0	4	11	0	26	0	35	0	33	6	0	8	36	19	4	0	0	0	0	32	0	3	0	0	1	6	0	0	0	18	0	0	81
3894	2	314	33	351	38	31	23	23	48	0	17	45	10	23	0	32	744	7	3	11	3	6	80	13	9	5	0	0	11	0	62	0	0	3	13	2	4	20	0	0	0	77
480	5	228	776	1	117	0	86	202	19	0	36	5	1	34	0	0	0	4	8	15	1	3	17	1	4	13	0	0	0	0	2	0	2	0	13	0	28	0	0	0	0	60
13891	4	177	25	1	11	4	67	43	42	10	0	7	1158	17	0	0	0	2	17	0	408	59	14	18	1	13	0	0	1	0	1	0	0	0	2	0	69	0	0	0	0	69
2670	0	329	130	10	166	692	99	77	209	0	140	10	0	742	0	11	0	88	23	0	6	28	13	20	0	79	0	8	151	23	16	42	1	2	8	0	40	4	0	0	0	110
