".record.id","SampleID","feature","Abundance"
"DrugBefore_NO.1","DrugBefore_NO.1","Bacteroides",0.542866357378257
"DrugBefore_NO.2","DrugBefore_NO.2","Bacteroides",0.386588148097683
"DrugBefore_NO.3","DrugBefore_NO.3","Bacteroides",0.257156313879615
"DrugBefore_NO.4","DrugBefore_NO.4","Bacteroides",0.445470633258905
"DrugBefore_YES.1","DrugBefore_YES.1","Bacteroides",0.794368908031601
"DrugBefore_YES.2","DrugBefore_YES.2","Bacteroides",0.676869346105192
"DrugBefore_YES.3","DrugBefore_YES.3","Bacteroides",0.667260634227019
"DrugBefore_YES.4","DrugBefore_YES.4","Bacteroides",0.681553558894927
"DrugBefore_NO.1","DrugBefore_NO.1","Prevotella",0.0641169280327622
"DrugBefore_NO.2","DrugBefore_NO.2","Prevotella",0.114598183944143
"DrugBefore_NO.3","DrugBefore_NO.3","Prevotella",0.0882392937244326
"DrugBefore_NO.4","DrugBefore_NO.4","Prevotella",0.00151711544628014
"DrugBefore_YES.1","DrugBefore_YES.1","Prevotella",0.0107437821704469
"DrugBefore_YES.2","DrugBefore_YES.2","Prevotella",0.0205503392549756
"DrugBefore_YES.3","DrugBefore_YES.3","Prevotella",0.00439977346455449
"DrugBefore_YES.4","DrugBefore_YES.4","Prevotella",0.000219896798570115
"DrugBefore_NO.1","DrugBefore_NO.1","Unclassified_Lachnospiraceae",0.0329613294268846
"DrugBefore_NO.2","DrugBefore_NO.2","Unclassified_Lachnospiraceae",0.0414346524221278
"DrugBefore_NO.3","DrugBefore_NO.3","Unclassified_Lachnospiraceae",0.162703836974076
"DrugBefore_NO.4","DrugBefore_NO.4","Unclassified_Lachnospiraceae",0.0941178808170642
"DrugBefore_YES.1","DrugBefore_YES.1","Unclassified_Lachnospiraceae",0.0324975977419578
"DrugBefore_YES.2","DrugBefore_YES.2","Unclassified_Lachnospiraceae",0.0399390123107139
"DrugBefore_YES.3","DrugBefore_YES.3","Unclassified_Lachnospiraceae",0.0613010316772287
"DrugBefore_YES.4","DrugBefore_YES.4","Unclassified_Lachnospiraceae",0.0480538102193716
"DrugBefore_NO.1","DrugBefore_NO.1","Faecalibacterium",0.0349647801126689
"DrugBefore_NO.2","DrugBefore_NO.2","Faecalibacterium",0.0722391908769141
"DrugBefore_NO.3","DrugBefore_NO.3","Faecalibacterium",0.0251259368134683
"DrugBefore_NO.4","DrugBefore_NO.4","Faecalibacterium",0.100440361885656
"DrugBefore_YES.1","DrugBefore_YES.1","Faecalibacterium",0.0138788330700706
"DrugBefore_YES.2","DrugBefore_YES.2","Faecalibacterium",0.0429031213249061
"DrugBefore_YES.3","DrugBefore_YES.3","Faecalibacterium",0.0294858547119996
"DrugBefore_YES.4","DrugBefore_YES.4","Faecalibacterium",0.0412282236726337
