"feature","mean","sd","median","incidence"
"Bacteroides",0.55651673748415,0.181252303103606,0.605063495802638,1
"Unclassified_Lachnospiraceae",0.064126143948678,0.0446492660911443,0.0447442313207497,1
"Faecalibacterium",0.0450332878085397,0.0281301092849554,0.0380965018926513,1
"Lachnospiracea_incertae_sedis",0.0390879898735877,0.0331816063078128,0.0260626852464488,1
"Prevotella",0.0380481641045206,0.0447342121329396,0.0156470607127112,1
"Parabacteroides",0.0259635613000909,0.0217343464433445,0.0212239265045086,1
"Alistipes",0.0228336904012321,0.0233608211486218,0.0158914387331976,1
"Blautia",0.0191951086259752,0.0125487896935112,0.0141200991880381,1
"Roseburia",0.0187124606166086,0.0153024348440205,0.0152523010474541,1
"Unclassified_Clostridiales",0.0173553452701761,0.0175386772011993,0.0108498145517937,1
"Unclassified_Ruminococcaceae",0.0141422108457346,0.00854364711370127,0.0111057225056079,1
"Ruminococcus",0.0118291356919017,0.0115513350131262,0.00714003144331384,1
"Clostridium_XI",0.0109872469239118,0.00780630566306844,0.00815026613713975,1
"Sutterella",0.00910023406527179,0.00789754420589347,0.00757630199078535,1
"Megamonas",0.00891095142592048,0.020026637228352,0.000999628678730781,0.75
"Lactobacillus",0.00720671435312506,0.0184364887049467,0.000254067701283107,0.625
"Unclassified_Firmicutes",0.00710491779907147,0.00805014474944771,0.00301238789697588,1
"Erysipelotrichaceae_incertae_sedis",0.00684637732840932,0.00793050919149389,0.00236936674744001,1
"Clostridium_IV",0.00654708711850131,0.00657869903414946,0.00399103208122193,1
"Unclassified_Bacteria",0.00642751060981449,0.00637922156885127,0.00483491988348246,1
"Clostridium_XlVa",0.0061252515421738,0.00383320537450291,0.00522065403424551,1
"Clostridium_XVIII",0.00490786386148133,0.00489049807309021,0.00388834312842492,1
"Escherichia_Shigella",0.00427616884461944,0.00585123905851855,0.00171025089078678,1
"Unclassified_Clostridiaceae_1",0.0041400635914618,0.0101514995549577,0.000319581861495236,1
"Unclassified_Bacteroidales",0.00411912197311459,0.00399426298220535,0.00327826370873066,1
"Veillonella",0.00403831069630419,0.00583609819583878,0.00176351813517459,1
"Haemophilus",0.00361271160894482,0.00411175597259426,0.00177550685725332,1
"Enterococcus",0.00348404178835315,0.00704845951799675,0.000347361575304392,1
"Dorea",0.00346485499433008,0.00270359754834828,0.00256496034263918,1
"Clostridium_sensu_stricto",0.00319696936283847,0.00377711351255274,0.0023421542164315,1
"Phascolarctobacterium",0.00290531589068052,0.00368052744553363,0.001489853200179,0.875
"Gemmiger",0.00289448787177005,0.0022538179667278,0.00226088847012522,1
"Streptococcus",0.00286954438629165,0.0044010049974491,0.00150551831412642,1
"Flavonifractor",0.00234760104550256,0.000929324720423584,0.00223981866583296,1
"Akkermansia",0.00181004999690755,0.00288559751014556,0.000434852745149526,0.875
"Klebsiella",0.00172527187588464,0.00343060324663534,0.000300162479500617,0.875
"Unclassified_Burkholderiales",0.00161194368494044,0.00288765098260349,3.19285210280919e-05,0.625
"Barnesiella",0.00156499557032463,0.00225256591805027,0.000404545438329403,0.875
"Bifidobacterium",0.00148564139060382,0.000788096883142026,0.00145601859163514,1
"Odoribacter",0.00138710493362651,0.00115843046476121,0.00101668220934994,1
"Turicibacter",0.00137441117898163,0.00177833614448607,0.000419526037305643,1
"Paraprevotella",0.000683398315643463,0.00102628309182337,0.000199115260350652,0.875
